Time,cheesecake factory
2022-08-29,28
2022-08-30,27
2022-08-31,26
2022-09-01,31
2022-09-02,39
2022-09-03,56
2022-09-04,62
2022-09-05,51
2022-09-06,27
2022-09-07,25
2022-09-08,25
2022-09-09,35
2022-09-10,54
2022-09-11,49
2022-09-12,27
2022-09-13,28
2022-09-14,27
2022-09-15,28
2022-09-16,38
2022-09-17,57
2022-09-18,49
2022-09-19,28
2022-09-20,28
2022-09-21,27
2022-09-22,32
2022-09-23,37
2022-09-24,56
2022-09-25,55
2022-09-26,30
2022-09-27,26
2022-09-28,27
2022-09-29,29
2022-09-30,38
2022-10-01,59
2022-10-02,49
2022-10-03,27
2022-10-04,27
2022-10-05,30
2022-10-06,28
2022-10-07,39
2022-10-08,59
2022-10-09,54
2022-10-10,33
2022-10-11,27
2022-10-12,28
2022-10-13,31
2022-10-14,41
2022-10-15,55
2022-10-16,57
2022-10-17,30
2022-10-18,27
2022-10-19,28
2022-10-20,29
2022-10-21,40
2022-10-22,57
2022-10-23,55
2022-10-24,31
2022-10-25,27
2022-10-26,27
2022-10-27,30
2022-10-28,37
2022-10-29,61
2022-10-30,49
2022-10-31,27
2022-11-01,27
2022-11-02,29
2022-11-03,29
2022-11-04,39
2022-11-05,58
2022-11-06,52
2022-11-07,30
2022-11-08,29
2022-11-09,25
2022-11-10,33
2022-11-11,50
2022-11-12,62
2022-11-13,58
2022-11-14,33
2022-11-15,30
2022-11-16,31
2022-11-17,32
2022-11-18,43
2022-11-19,62
2022-11-20,60
2022-11-21,36
2022-11-22,40
2022-11-23,53
2022-11-24,35
2022-11-25,40
2022-11-26,49
2022-11-27,45
2022-11-28,26
2022-11-29,26
2022-11-30,27
2022-12-01,29
2022-12-02,36
2022-12-03,59
2022-12-04,52
2022-12-05,31
2022-12-06,31
2022-12-07,32
2022-12-08,35
2022-12-09,41
2022-12-10,58
2022-12-11,60
2022-12-12,36
2022-12-13,34
2022-12-14,35
2022-12-15,38
2022-12-16,50
2022-12-17,67
2022-12-18,63
2022-12-19,46
2022-12-20,47
2022-12-21,49
2022-12-22,48
2022-12-23,57
2022-12-24,64
2022-12-25,48
2022-12-26,61
2022-12-27,59
2022-12-28,60
2022-12-29,61
2022-12-30,63
2022-12-31,72
2023-01-01,69
2023-01-02,54
2023-01-03,36
2023-01-04,34
2023-01-05,35
2023-01-06,47
2023-01-07,69
2023-01-08,60
2023-01-09,32
2023-01-10,31
2023-01-11,32
2023-01-12,33
2023-01-13,44
2023-01-14,77
2023-01-15,68
2023-01-16,49
2023-01-17,30
2023-01-18,31
2023-01-19,33
2023-01-20,40
2023-01-21,60
2023-01-22,56
2023-01-23,31
2023-01-24,30
2023-01-25,29
2023-01-26,32
2023-01-27,42
2023-01-28,68
2023-01-29,60
2023-01-30,30
2023-01-31,28
2023-02-01,30
2023-02-02,32
2023-02-03,41
2023-02-04,64
2023-02-05,68
2023-02-06,35
2023-02-07,30
2023-02-08,32
2023-02-09,33
2023-02-10,44
2023-02-11,67
2023-02-12,57
2023-02-13,37
2023-02-14,66
2023-02-15,53
2023-02-16,34
2023-02-17,44
2023-02-18,74
2023-02-19,71
2023-02-20,45
2023-02-21,31
2023-02-22,29
2023-02-23,32
2023-02-24,42
2023-02-25,67
2023-02-26,61
2023-02-27,34
2023-02-28,30
2023-03-01,29
2023-03-02,30
2023-03-03,37
2023-03-04,65
2023-03-05,60
2023-03-06,30
2023-03-07,28
2023-03-08,31
2023-03-09,32
2023-03-10,40
2023-03-11,63
2023-03-12,62
2023-03-13,34
2023-03-14,33
2023-03-15,33
2023-03-16,33
2023-03-17,42
2023-03-18,68
2023-03-19,61
2023-03-20,33
2023-03-21,32
2023-03-22,32
2023-03-23,35
2023-03-24,43
2023-03-25,65
2023-03-26,57
2023-03-27,32
2023-03-28,28
2023-03-29,31
2023-03-30,31
2023-03-31,42
2023-04-01,57
2023-04-02,59
2023-04-03,32
2023-04-04,28
2023-04-05,31
2023-04-06,35
2023-04-07,47
2023-04-08,63
2023-04-09,67
2023-04-10,31
2023-04-11,28
2023-04-12,29
2023-04-13,31
2023-04-14,38
2023-04-15,55
2023-04-16,51
2023-04-17,29
2023-04-18,26
2023-04-19,29
2023-04-20,30
2023-04-21,39
2023-04-22,76
2023-04-23,53
2023-04-24,29
2023-04-25,27
2023-04-26,29
2023-04-27,29
2023-04-28,38
2023-04-29,58
2023-04-30,55
2023-05-01,28
2023-05-02,27
2023-05-03,26
2023-05-04,27
2023-05-05,33
2023-05-06,53
2023-05-07,56
2023-05-08,31
2023-05-09,30
2023-05-10,33
2023-05-11,38
2023-05-12,46
2023-05-13,72
2023-05-14,100
2023-05-15,36
2023-05-16,29
2023-05-17,28
2023-05-18,32
2023-05-19,39
2023-05-20,60
2023-05-21,53
2023-05-22,31
2023-05-23,29
2023-05-24,31
2023-05-25,33
