Time,cheesecake factory
2023-12-22,57
2023-12-23,71
2023-12-24,68
2023-12-25,45
2023-12-26,47
2023-12-27,54
2023-12-28,56
2023-12-29,68
2023-12-30,73
2023-12-31,76
2024-01-01,65
2024-01-02,40
2024-01-03,38
2024-01-04,38
2024-01-05,45
2024-01-06,67
2024-01-07,55
2024-01-08,30
2024-01-09,29
2024-01-10,31
2024-01-11,34
2024-01-12,38
2024-01-13,59
2024-01-14,61
2024-01-15,42
2024-01-16,27
2024-01-17,28
2024-01-18,30
2024-01-19,36
2024-01-20,62
2024-01-21,59
2024-01-22,29
2024-01-23,30
2024-01-24,32
2024-01-25,33
2024-01-26,41
2024-01-27,69
2024-01-28,58
2024-01-29,29
2024-01-30,30
2024-01-31,33
2024-02-01,33
2024-02-02,41
2024-02-03,67
2024-02-04,62
2024-02-05,30
2024-02-06,29
2024-02-07,32
2024-02-08,32
2024-02-09,41
2024-02-10,67
2024-02-11,55
2024-02-12,29
2024-02-13,39
2024-02-14,66
2024-02-15,54
2024-02-16,57
2024-02-17,78
2024-02-18,72
2024-02-19,50
2024-02-20,34
2024-02-21,33
2024-02-22,35
2024-02-23,44
2024-02-24,73
2024-02-25,67
2024-02-26,33
2024-02-27,30
2024-02-28,30
2024-02-29,32
2024-03-01,41
2024-03-02,69
2024-03-03,71
2024-03-04,34
2024-03-05,29
2024-03-06,27
2024-03-07,32
2024-03-08,43
2024-03-09,69
2024-03-10,66
2024-03-11,32
2024-03-12,32
2024-03-13,35
2024-03-14,34
2024-03-15,44
2024-03-16,66
2024-03-17,60
2024-03-18,32
2024-03-19,28
2024-03-20,31
2024-03-21,32
2024-03-22,41
2024-03-23,67
2024-03-24,63
2024-03-25,35
2024-03-26,32
2024-03-27,35
2024-03-28,40
2024-03-29,55
2024-03-30,65
2024-03-31,66
2024-04-01,40
2024-04-02,33
2024-04-03,32
2024-04-04,33
2024-04-05,45
2024-04-06,65
2024-04-07,58
2024-04-08,29
2024-04-09,30
2024-04-10,31
2024-04-11,32
2024-04-12,43
2024-04-13,65
2024-04-14,62
2024-04-15,33
2024-04-16,29
2024-04-17,30
2024-04-18,31
2024-04-19,40
2024-04-20,65
2024-04-21,59
2024-04-22,29
2024-04-23,28
2024-04-24,32
2024-04-25,32
2024-04-26,41
2024-04-27,67
2024-04-28,57
2024-04-29,33
2024-04-30,28
2024-05-01,29
2024-05-02,31
2024-05-03,38
2024-05-04,58
2024-05-05,55
2024-05-06,33
2024-05-07,31
2024-05-08,34
2024-05-09,39
2024-05-10,54
2024-05-11,99
2024-05-12,100
2024-05-13,35
2024-05-14,31
2024-05-15,30
2024-05-16,30
2024-05-17,41
2024-05-18,61
2024-05-19,57
2024-05-20,31
2024-05-21,30
2024-05-22,31
2024-05-23,34
2024-05-24,41
2024-05-25,58
2024-05-26,56
2024-05-27,47
2024-05-28,31
2024-05-29,31
2024-05-30,33
2024-05-31,39
2024-06-01,57
2024-06-02,53
2024-06-03,31
2024-06-04,32
2024-06-05,32
2024-06-06,35
2024-06-07,39
2024-06-08,56
2024-06-09,54
2024-06-10,39
2024-06-11,35
2024-06-12,35
2024-06-13,36
2024-06-14,45
2024-06-15,59
2024-06-16,69
2024-06-17,38
2024-06-18,33
2024-06-19,39
2024-06-20,36
2024-06-21,42
2024-06-22,54
2024-06-23,51
2024-06-24,33
2024-06-25,31
2024-06-26,34
2024-06-27,33
2024-06-28,41
2024-06-29,55
2024-06-30,53
2024-07-01,34
2024-07-02,32
2024-07-03,33
2024-07-04,44
2024-07-05,45
2024-07-06,53
2024-07-07,48
2024-07-08,32
2024-07-09,31
2024-07-10,32
2024-07-11,33
2024-07-12,41
2024-07-13,56
2024-07-14,53
2024-07-15,30
2024-07-16,31
2024-07-17,33
2024-07-18,36
2024-07-19,42
2024-07-20,57
2024-07-21,55
2024-07-22,34
2024-07-23,34
2024-07-24,34
2024-07-25,38
2024-07-26,45
2024-07-27,57
2024-07-28,57
2024-07-29,43
2024-07-30,55
2024-07-31,43
2024-08-01,38
2024-08-02,42
2024-08-03,57
2024-08-04,57
2024-08-05,33
2024-08-06,32
2024-08-07,33
2024-08-08,34
2024-08-09,42
2024-08-10,55
2024-08-11,52
2024-08-12,32
2024-08-13,30
2024-08-14,32
2024-08-15,33
2024-08-16,41
2024-08-17,56
2024-08-18,53
2024-08-19,30
2024-08-20,30
2024-08-21,29
2024-08-22,30
2024-08-23,38
2024-08-24,57
2024-08-25,53
2024-08-26,28
2024-08-27,28
2024-08-28,29
2024-08-29,29
2024-08-30,36
2024-08-31,53
2024-09-01,59
2024-09-02,49
2024-09-03,27
2024-09-04,24
2024-09-05,26
2024-09-06,31
2024-09-07,51
2024-09-08,46
2024-09-09,26
2024-09-10,25
2024-09-11,24
2024-09-12,28
2024-09-13,38
2024-09-14,59
2024-09-15,48
2024-09-16,27
