Time,cheesecake factory
2023-04-26,29
2023-04-27,29
2023-04-28,38
2023-04-29,58
2023-04-30,55
2023-05-01,28
2023-05-02,27
2023-05-03,26
2023-05-04,27
2023-05-05,33
2023-05-06,53
2023-05-07,56
2023-05-08,31
2023-05-09,30
2023-05-10,33
2023-05-11,38
2023-05-12,46
2023-05-13,72
2023-05-14,100
2023-05-15,36
2023-05-16,29
2023-05-17,28
2023-05-18,32
2023-05-19,39
2023-05-20,60
2023-05-21,53
2023-05-22,31
2023-05-23,29
2023-05-24,31
2023-05-25,33
2023-05-26,39
2023-05-27,53
2023-05-28,54
2023-05-29,44
2023-05-30,27
2023-05-31,28
2023-06-01,31
2023-06-02,37
2023-06-03,51
2023-06-04,51
2023-06-05,30
2023-06-06,30
2023-06-07,33
2023-06-08,35
2023-06-09,39
2023-06-10,54
2023-06-11,51
2023-06-12,34
2023-06-13,32
2023-06-14,34
2023-06-15,35
2023-06-16,43
2023-06-17,60
2023-06-18,69
2023-06-19,39
2023-06-20,32
2023-06-21,33
2023-06-22,31
2023-06-23,43
2023-06-24,55
2023-06-25,59
2023-06-26,34
2023-06-27,32
2023-06-28,32
2023-06-29,34
2023-06-30,37
2023-07-01,50
2023-07-02,55
2023-07-03,41
2023-07-04,44
2023-07-05,32
2023-07-06,34
2023-07-07,42
2023-07-08,61
2023-07-09,56
2023-07-10,35
2023-07-11,32
2023-07-12,33
2023-07-13,36
2023-07-14,42
2023-07-15,61
2023-07-16,55
2023-07-17,35
2023-07-18,31
2023-07-19,34
2023-07-20,34
2023-07-21,44
2023-07-22,58
2023-07-23,60
2023-07-24,37
2023-07-25,32
2023-07-26,34
2023-07-27,36
2023-07-28,45
2023-07-29,61
2023-07-30,59
2023-07-31,40
2023-08-01,36
2023-08-02,35
2023-08-03,35
2023-08-04,41
2023-08-05,58
2023-08-06,57
2023-08-07,36
2023-08-08,32
2023-08-09,33
2023-08-10,35
2023-08-11,41
2023-08-12,57
2023-08-13,63
2023-08-14,34
2023-08-15,31
2023-08-16,33
2023-08-17,32
2023-08-18,40
2023-08-19,55
2023-08-20,53
2023-08-21,29
2023-08-22,30
2023-08-23,30
2023-08-24,30
2023-08-25,37
2023-08-26,57
2023-08-27,51
2023-08-28,27
2023-08-29,26
2023-08-30,28
2023-08-31,29
2023-09-01,37
2023-09-02,51
2023-09-03,54
2023-09-04,50
2023-09-05,25
2023-09-06,25
2023-09-07,26
2023-09-08,33
2023-09-09,49
2023-09-10,48
2023-09-11,26
2023-09-12,24
2023-09-13,27
2023-09-14,27
2023-09-15,35
2023-09-16,54
2023-09-17,47
2023-09-18,26
2023-09-19,25
2023-09-20,26
2023-09-21,28
2023-09-22,36
2023-09-23,56
2023-09-24,52
2023-09-25,29
2023-09-26,26
2023-09-27,27
2023-09-28,30
2023-09-29,36
2023-09-30,53
2023-10-01,47
2023-10-02,27
2023-10-03,27
2023-10-04,27
2023-10-05,28
2023-10-06,37
2023-10-07,54
2023-10-08,52
2023-10-09,33
2023-10-10,27
2023-10-11,27
2023-10-12,33
2023-10-13,55
2023-10-14,72
2023-10-15,62
2023-10-16,35
2023-10-17,34
2023-10-18,31
2023-10-19,34
2023-10-20,42
2023-10-21,58
2023-10-22,57
2023-10-23,33
2023-10-24,32
2023-10-25,35
2023-10-26,39
2023-10-27,53
2023-10-28,63
2023-10-29,57
2023-10-30,33
2023-10-31,29
2023-11-01,28
2023-11-02,34
2023-11-03,41
2023-11-04,60
2023-11-05,57
2023-11-06,33
2023-11-07,31
2023-11-08,32
2023-11-09,35
2023-11-10,48
2023-11-11,65
2023-11-12,60
2023-11-13,32
2023-11-14,29
2023-11-15,33
2023-11-16,36
2023-11-17,42
2023-11-18,61
2023-11-19,58
2023-11-20,41
2023-11-21,40
2023-11-22,46
2023-11-23,38
2023-11-24,41
2023-11-25,50
2023-11-26,48
2023-11-27,27
2023-11-28,26
2023-11-29,28
2023-11-30,29
2023-12-01,37
2023-12-02,56
2023-12-03,52
2023-12-04,32
2023-12-05,30
2023-12-06,31
2023-12-07,31
2023-12-08,41
2023-12-09,62
2023-12-10,65
2023-12-11,32
2023-12-12,32
2023-12-13,33
2023-12-14,38
2023-12-15,46
2023-12-16,63
2023-12-17,58
2023-12-18,38
2023-12-19,40
2023-12-20,45
2023-12-21,48
2023-12-22,55
2023-12-23,69
2023-12-24,66
2023-12-25,43
2023-12-26,46
2023-12-27,52
2023-12-28,54
2023-12-29,66
2023-12-30,71
2023-12-31,74
2024-01-01,64
2024-01-02,39
2024-01-03,37
2024-01-04,37
2024-01-05,44
2024-01-06,66
2024-01-07,53
2024-01-08,29
2024-01-09,28
2024-01-10,30
2024-01-11,33
2024-01-12,37
2024-01-13,58
2024-01-14,60
2024-01-15,40
2024-01-16,27
2024-01-17,27
2024-01-18,29
2024-01-19,35
2024-01-20,60
