Time,jurassic park
2023-04-26,34
2023-04-27,31
2023-04-28,34
2023-04-29,36
2023-04-30,42
2023-05-01,29
2023-05-02,30
2023-05-03,29
2023-05-04,31
2023-05-05,38
2023-05-06,37
2023-05-07,39
2023-05-08,28
2023-05-09,29
2023-05-10,37
2023-05-11,34
2023-05-12,30
2023-05-13,35
2023-05-14,43
2023-05-15,32
2023-05-16,28
2023-05-17,29
2023-05-18,31
2023-05-19,30
2023-05-20,46
2023-05-21,53
2023-05-22,31
2023-05-23,29
2023-05-24,30
2023-05-25,33
2023-05-26,37
2023-05-27,63
2023-05-28,53
2023-05-29,46
2023-05-30,35
2023-05-31,31
2023-06-01,35
2023-06-02,37
2023-06-03,62
2023-06-04,56
2023-06-05,39
2023-06-06,39
2023-06-07,43
2023-06-08,47
2023-06-09,49
2023-06-10,63
2023-06-11,74
2023-06-12,57
2023-06-13,46
2023-06-14,39
2023-06-15,41
2023-06-16,43
2023-06-17,44
2023-06-18,52
2023-06-19,60
2023-06-20,48
2023-06-21,39
2023-06-22,37
2023-06-23,40
2023-06-24,46
2023-06-25,51
2023-06-26,45
2023-06-27,39
2023-06-28,37
2023-06-29,37
2023-06-30,35
2023-07-01,43
2023-07-02,57
2023-07-03,49
2023-07-04,59
2023-07-05,42
2023-07-06,43
2023-07-07,48
2023-07-08,88
2023-07-09,68
2023-07-10,49
2023-07-11,45
2023-07-12,39
2023-07-13,41
2023-07-14,43
2023-07-15,51
2023-07-16,70
2023-07-17,51
2023-07-18,44
2023-07-19,45
2023-07-20,54
2023-07-21,41
2023-07-22,54
2023-07-23,60
2023-07-24,42
2023-07-25,35
2023-07-26,36
2023-07-27,33
2023-07-28,37
2023-07-29,45
2023-07-30,47
2023-07-31,35
2023-08-01,32
2023-08-02,34
2023-08-03,36
2023-08-04,40
2023-08-05,51
2023-08-06,72
2023-08-07,50
2023-08-08,40
2023-08-09,39
2023-08-10,46
2023-08-11,42
2023-08-12,49
2023-08-13,57
2023-08-14,48
2023-08-15,40
2023-08-16,39
2023-08-17,40
2023-08-18,39
2023-08-19,50
2023-08-20,56
2023-08-21,42
2023-08-22,41
2023-08-23,40
2023-08-24,42
2023-08-25,50
2023-08-26,98
2023-08-27,100
2023-08-28,59
2023-08-29,47
2023-08-30,46
2023-08-31,41
2023-09-01,42
2023-09-02,53
2023-09-03,56
2023-09-04,57
2023-09-05,37
2023-09-06,29
2023-09-07,32
2023-09-08,29
2023-09-09,44
2023-09-10,51
2023-09-11,39
2023-09-12,27
2023-09-13,28
2023-09-14,29
2023-09-15,30
2023-09-16,36
2023-09-17,37
2023-09-18,30
2023-09-19,27
2023-09-20,26
2023-09-21,29
2023-09-22,31
2023-09-23,45
2023-09-24,43
2023-09-25,33
2023-09-26,27
2023-09-27,29
2023-09-28,30
2023-09-29,27
2023-09-30,35
2023-10-01,39
2023-10-02,27
2023-10-03,26
2023-10-04,29
2023-10-05,28
2023-10-06,30
2023-10-07,34
2023-10-08,35
2023-10-09,29
2023-10-10,27
2023-10-11,30
2023-10-12,31
2023-10-13,33
2023-10-14,38
2023-10-15,37
2023-10-16,31
2023-10-17,31
2023-10-18,30
2023-10-19,33
2023-10-20,40
2023-10-21,39
2023-10-22,39
2023-10-23,29
2023-10-24,31
2023-10-25,38
2023-10-26,37
2023-10-27,41
2023-10-28,50
2023-10-29,42
2023-10-30,32
2023-10-31,45
2023-11-01,32
2023-11-02,28
2023-11-03,30
2023-11-04,44
2023-11-05,44
2023-11-06,27
2023-11-07,25
2023-11-08,25
2023-11-09,26
2023-11-10,29
2023-11-11,37
2023-11-12,40
2023-11-13,29
2023-11-14,26
2023-11-15,29
2023-11-16,29
2023-11-17,29
2023-11-18,34
2023-11-19,37
2023-11-20,31
2023-11-21,31
2023-11-22,33
2023-11-23,39
2023-11-24,44
2023-11-25,42
2023-11-26,45
2023-11-27,31
2023-11-28,29
2023-11-29,30
2023-11-30,30
2023-12-01,28
2023-12-02,34
2023-12-03,36
2023-12-04,25
2023-12-05,27
2023-12-06,26
2023-12-07,29
2023-12-08,84
2023-12-09,74
2023-12-10,63
2023-12-11,46
2023-12-12,38
2023-12-13,33
2023-12-14,35
2023-12-15,31
2023-12-16,48
2023-12-17,49
2023-12-18,32
2023-12-19,30
2023-12-20,32
2023-12-21,33
2023-12-22,31
2023-12-23,39
2023-12-24,39
2023-12-25,64
2023-12-26,44
2023-12-27,37
2023-12-28,36
2023-12-29,37
2023-12-30,43
2023-12-31,38
2024-01-01,50
2024-01-02,39
2024-01-03,35
2024-01-04,35
2024-01-05,38
2024-01-06,59
2024-01-07,70
2024-01-08,49
2024-01-09,47
2024-01-10,45
2024-01-11,45
2024-01-12,46
2024-01-13,59
2024-01-14,63
2024-01-15,52
2024-01-16,40
2024-01-17,41
2024-01-18,37
2024-01-19,34
2024-01-20,50
