Time,jurassic park
2022-01-01,7
2022-01-02,9
2022-01-03,6
2022-01-04,6
2022-01-05,5
2022-01-06,5
2022-01-07,6
2022-01-08,7
2022-01-09,7
2022-01-10,5
2022-01-11,5
2022-01-12,5
2022-01-13,5
2022-01-14,4
2022-01-15,6
2022-01-16,7
2022-01-17,6
2022-01-18,4
2022-01-19,6
2022-01-20,5
2022-01-21,5
2022-01-22,7
2022-01-23,10
2022-01-24,7
2022-01-25,5
2022-01-26,5
2022-01-27,5
2022-01-28,5
2022-01-29,8
2022-01-30,8
2022-01-31,5
2022-02-01,6
2022-02-02,5
2022-02-03,5
2022-02-04,7
2022-02-05,10
2022-02-06,11
2022-02-07,8
2022-02-08,5
2022-02-09,5
2022-02-10,11
2022-02-11,18
2022-02-12,20
2022-02-13,37
2022-02-14,19
2022-02-15,12
2022-02-16,10
2022-02-17,10
2022-02-18,9
2022-02-19,12
2022-02-20,12
2022-02-21,9
2022-02-22,7
2022-02-23,8
2022-02-24,7
2022-02-25,7
2022-02-26,10
2022-02-27,11
2022-02-28,7
2022-03-01,6
2022-03-02,6
2022-03-03,5
2022-03-04,7
2022-03-05,8
2022-03-06,10
2022-03-07,8
2022-03-08,6
2022-03-09,6
2022-03-10,6
2022-03-11,7
2022-03-12,9
2022-03-13,11
2022-03-14,6
2022-03-15,6
2022-03-16,8
2022-03-17,6
2022-03-18,7
2022-03-19,9
2022-03-20,11
2022-03-21,9
2022-03-22,6
2022-03-23,6
2022-03-24,6
2022-03-25,6
2022-03-26,8
2022-03-27,10
2022-03-28,6
2022-03-29,6
2022-03-30,6
2022-03-31,6
2022-04-01,6
2022-04-02,8
2022-04-03,9
2022-04-04,6
2022-04-05,6
2022-04-06,6
2022-04-07,6
2022-04-08,7
2022-04-09,8
2022-04-10,8
2022-04-11,7
2022-04-12,7
2022-04-13,6
2022-04-14,7
2022-04-15,9
2022-04-16,12
2022-04-17,12
2022-04-18,10
2022-04-19,7
2022-04-20,6
2022-04-21,7
2022-04-22,7
2022-04-23,9
2022-04-24,11
2022-04-25,13
2022-04-26,7
2022-04-27,7
2022-04-28,10
2022-04-29,10
2022-04-30,13
2022-05-01,14
2022-05-02,9
2022-05-03,8
2022-05-04,8
2022-05-05,8
2022-05-06,8
2022-05-07,12
2022-05-08,13
2022-05-09,9
2022-05-10,9
2022-05-11,8
2022-05-12,10
2022-05-13,9
2022-05-14,12
2022-05-15,15
2022-05-16,10
2022-05-17,10
2022-05-18,11
2022-05-19,11
2022-05-20,11
2022-05-21,17
2022-05-22,21
2022-05-23,19
2022-05-24,20
2022-05-25,13
2022-05-26,14
2022-05-27,15
2022-05-28,19
2022-05-29,21
2022-05-30,22
2022-05-31,16
2022-06-01,17
2022-06-02,17
2022-06-03,20
2022-06-04,30
2022-06-05,33
2022-06-06,30
2022-06-07,31
2022-06-08,35
2022-06-09,51
2022-06-10,75
2022-06-11,91
2022-06-12,100
2022-06-13,58
2022-06-14,38
2022-06-15,37
2022-06-16,31
2022-06-17,34
2022-06-18,60
2022-06-19,74
2022-06-20,49
2022-06-21,33
2022-06-22,27
2022-06-23,22
2022-06-24,21
2022-06-25,29
2022-06-26,33
2022-06-27,22
2022-06-28,18
2022-06-29,18
2022-06-30,16
2022-07-01,17
2022-07-02,25
2022-07-03,24
2022-07-04,21
2022-07-05,17
2022-07-06,14
2022-07-07,15
2022-07-08,17
2022-07-09,22
2022-07-10,22
2022-07-11,15
2022-07-12,12
2022-07-13,12
2022-07-14,13
2022-07-15,16
2022-07-16,24
2022-07-17,25
2022-07-18,17
2022-07-19,13
2022-07-20,13
2022-07-21,11
2022-07-22,13
2022-07-23,19
2022-07-24,21
2022-07-25,13
2022-07-26,11
2022-07-27,10
2022-07-28,9
2022-07-29,11
2022-07-30,14
2022-07-31,15
2022-08-01,10
2022-08-02,9
2022-08-03,12
2022-08-04,9
2022-08-05,9
2022-08-06,12
2022-08-07,13
2022-08-08,9
2022-08-09,7
2022-08-10,7
2022-08-11,8
2022-08-12,7
2022-08-13,10
2022-08-14,12
2022-08-15,7
2022-08-16,9
2022-08-17,8
2022-08-18,9
2022-08-19,9
2022-08-20,13
2022-08-21,15
2022-08-22,8
2022-08-23,8
2022-08-24,7
2022-08-25,7
2022-08-26,8
2022-08-27,10
2022-08-28,12
2022-08-29,7
2022-08-30,7
2022-08-31,6
2022-09-01,7
2022-09-02,10
2022-09-03,19
2022-09-04,20
2022-09-05,19
2022-09-06,10
2022-09-07,8
2022-09-08,8
2022-09-09,7
2022-09-10,11
2022-09-11,12
2022-09-12,7
2022-09-13,6
2022-09-14,7
2022-09-15,6
2022-09-16,7
2022-09-17,10
2022-09-18,11
2022-09-19,8
2022-09-20,6
2022-09-21,6
2022-09-22,6
2022-09-23,6
2022-09-24,9
2022-09-25,9
2022-09-26,6
2022-09-27,5
