Time,olympics 2024
2023-04-26,7
2023-04-27,6
2023-04-28,5
2023-04-29,7
2023-04-30,9
2023-05-01,7
2023-05-02,8
2023-05-03,7
2023-05-04,5
2023-05-05,5
2023-05-06,9
2023-05-07,9
2023-05-08,8
2023-05-09,9
2023-05-10,9
2023-05-11,12
2023-05-12,16
2023-05-13,16
2023-05-14,15
2023-05-15,13
2023-05-16,11
2023-05-17,8
2023-05-18,9
2023-05-19,7
2023-05-20,9
2023-05-21,12
2023-05-22,10
2023-05-23,10
2023-05-24,9
2023-05-25,9
2023-05-26,7
2023-05-27,10
2023-05-28,11
2023-05-29,13
2023-05-30,11
2023-05-31,8
2023-06-01,7
2023-06-02,11
2023-06-03,12
2023-06-04,13
2023-06-05,16
2023-06-06,14
2023-06-07,34
2023-06-08,31
2023-06-09,17
2023-06-10,18
2023-06-11,19
2023-06-12,14
2023-06-13,12
2023-06-14,13
2023-06-15,12
2023-06-16,13
2023-06-17,18
2023-06-18,17
2023-06-19,14
2023-06-20,77
2023-06-21,23
2023-06-22,15
2023-06-23,13
2023-06-24,19
2023-06-25,16
2023-06-26,14
2023-06-27,15
2023-06-28,15
2023-06-29,14
2023-06-30,14
2023-07-01,18
2023-07-02,25
2023-07-03,16
2023-07-04,17
2023-07-05,15
2023-07-06,15
2023-07-07,16
2023-07-08,20
2023-07-09,23
2023-07-10,22
2023-07-11,16
2023-07-12,13
2023-07-13,16
2023-07-14,20
2023-07-15,22
2023-07-16,29
2023-07-17,19
2023-07-18,17
2023-07-19,14
2023-07-20,14
2023-07-21,17
2023-07-22,27
2023-07-23,28
2023-07-24,19
2023-07-25,23
2023-07-26,34
2023-07-27,28
2023-07-28,19
2023-07-29,21
2023-07-30,26
2023-07-31,20
2023-08-01,16
2023-08-02,13
2023-08-03,16
2023-08-04,21
2023-08-05,22
2023-08-06,50
2023-08-07,28
2023-08-08,23
2023-08-09,19
2023-08-10,17
2023-08-11,16
2023-08-12,21
2023-08-13,25
2023-08-14,15
2023-08-15,14
2023-08-16,15
2023-08-17,15
2023-08-18,14
2023-08-19,22
2023-08-20,32
2023-08-21,23
2023-08-22,26
2023-08-23,21
2023-08-24,19
2023-08-25,19
2023-08-26,30
2023-08-27,49
2023-08-28,41
2023-08-29,19
2023-08-30,20
2023-08-31,17
2023-09-01,15
2023-09-02,20
2023-09-03,23
2023-09-04,20
2023-09-05,16
2023-09-06,15
2023-09-07,13
2023-09-08,30
2023-09-09,24
2023-09-10,22
2023-09-11,39
2023-09-12,22
2023-09-13,20
2023-09-14,18
2023-09-15,13
2023-09-16,15
2023-09-17,20
2023-09-18,21
2023-09-19,16
2023-09-20,15
2023-09-21,13
2023-09-22,16
2023-09-23,14
2023-09-24,21
2023-09-25,23
2023-09-26,15
2023-09-27,13
2023-09-28,13
2023-09-29,16
2023-09-30,19
2023-10-01,22
2023-10-02,24
2023-10-03,25
2023-10-04,23
2023-10-05,31
2023-10-06,27
2023-10-07,22
2023-10-08,23
2023-10-09,36
2023-10-10,21
2023-10-11,17
2023-10-12,15
2023-10-13,14
2023-10-14,19
2023-10-15,18
2023-10-16,27
2023-10-17,26
2023-10-18,21
2023-10-19,18
2023-10-20,20
2023-10-21,19
2023-10-22,29
2023-10-23,29
2023-10-24,17
2023-10-25,16
2023-10-26,16
2023-10-27,16
2023-10-28,17
2023-10-29,19
2023-10-30,28
2023-10-31,15
2023-11-01,15
2023-11-02,16
2023-11-03,12
2023-11-04,16
2023-11-05,20
2023-11-06,21
2023-11-07,15
2023-11-08,14
2023-11-09,14
2023-11-10,15
2023-11-11,14
2023-11-12,21
2023-11-13,24
2023-11-14,19
2023-11-15,14
2023-11-16,16
2023-11-17,17
2023-11-18,17
2023-11-19,22
2023-11-20,23
2023-11-21,17
2023-11-22,16
2023-11-23,40
2023-11-24,31
2023-11-25,22
2023-11-26,28
2023-11-27,19
2023-11-28,18
2023-11-29,20
2023-11-30,21
2023-12-01,15
2023-12-02,23
2023-12-03,25
2023-12-04,36
2023-12-05,19
2023-12-06,21
2023-12-07,21
2023-12-08,17
2023-12-09,22
2023-12-10,28
2023-12-11,36
2023-12-12,21
2023-12-13,21
2023-12-14,18
2023-12-15,19
2023-12-16,19
2023-12-17,24
2023-12-18,29
2023-12-19,18
2023-12-20,20
2023-12-21,22
2023-12-22,20
2023-12-23,30
2023-12-24,31
2023-12-25,29
2023-12-26,29
2023-12-27,31
2023-12-28,31
2023-12-29,30
2023-12-30,39
2023-12-31,40
2024-01-01,100
2024-01-02,54
2024-01-03,50
2024-01-04,41
2024-01-05,43
2024-01-06,48
2024-01-07,50
2024-01-08,77
2024-01-09,42
2024-01-10,37
2024-01-11,37
2024-01-12,37
2024-01-13,72
2024-01-14,84
2024-01-15,77
2024-01-16,35
2024-01-17,45
2024-01-18,38
2024-01-19,50
2024-01-20,56
