Time,spectrum
2025-04-15,91
2025-04-16,86
2025-04-17,83
2025-04-18,86
2025-04-19,82
2025-04-20,75
2025-04-21,81
2025-04-22,77
2025-04-23,82
2025-04-24,82
2025-04-25,75
2025-04-26,74
2025-04-27,72
2025-04-28,75
2025-04-29,77
2025-04-30,77
2025-05-01,77
2025-05-02,79
2025-05-03,75
2025-05-04,69
2025-05-05,73
2025-05-06,74
2025-05-07,70
2025-05-08,72
2025-05-09,74
2025-05-10,69
2025-05-11,62
2025-05-12,74
2025-05-13,73
2025-05-14,71
2025-05-15,72
2025-05-16,74
2025-05-17,86
2025-05-18,74
2025-05-19,74
2025-05-20,73
2025-05-21,70
2025-05-22,73
2025-05-23,72
2025-05-24,63
2025-05-25,62
2025-05-26,62
2025-05-27,71
2025-05-28,72
2025-05-29,71
2025-05-30,76
2025-05-31,70
2025-06-01,62
2025-06-02,69
2025-06-03,73
2025-06-04,69
2025-06-05,70
2025-06-06,74
2025-06-07,64
2025-06-08,63
2025-06-09,68
2025-06-10,70
2025-06-11,67
2025-06-12,72
2025-06-13,72
2025-06-14,67
2025-06-15,68
2025-06-16,73
2025-06-17,72
2025-06-18,70
2025-06-19,70
2025-06-20,69
2025-06-21,63
2025-06-22,61
2025-06-23,73
2025-06-24,73
2025-06-25,71
2025-06-26,73
2025-06-27,74
2025-06-28,62
2025-06-29,60
2025-06-30,71
2025-07-01,75
2025-07-02,74
2025-07-03,72
2025-07-04,61
2025-07-05,62
2025-07-06,63
2025-07-07,75
2025-07-08,74
2025-07-09,76
2025-07-10,74
2025-07-11,75
2025-07-12,68
2025-07-13,61
2025-07-14,82
2025-07-15,75
2025-07-16,72
2025-07-17,76
2025-07-18,72
2025-07-19,70
2025-07-20,65
2025-07-21,74
2025-07-22,72
2025-07-23,74
2025-07-24,73
2025-07-25,74
2025-07-26,69
2025-07-27,65
2025-07-28,77
2025-07-29,85
2025-07-30,78
2025-07-31,83
2025-08-01,100
2025-08-02,72
2025-08-03,64
2025-08-04,74
2025-08-05,86
2025-08-06,77
2025-08-07,76
2025-08-08,78
2025-08-09,72
2025-08-10,67
2025-08-11,72
2025-08-12,73
2025-08-13,72
2025-08-14,73
2025-08-15,70
2025-08-16,66
2025-08-17,64
2025-08-18,72
2025-08-19,72
2025-08-20,72
2025-08-21,70
2025-08-22,71
2025-08-23,70
2025-08-24,66
2025-08-25,71
2025-08-26,71
2025-08-27,70
2025-08-28,70
2025-08-29,72
2025-08-30,75
2025-08-31,66
2025-09-01,63
2025-09-02,69
2025-09-03,72
2025-09-04,71
2025-09-05,75
2025-09-06,75
2025-09-07,71
2025-09-08,71
2025-09-09,70
2025-09-10,65
2025-09-11,68
2025-09-12,72
2025-09-13,73
2025-09-14,67
2025-09-15,69
2025-09-16,70
2025-09-17,69
2025-09-18,69
2025-09-19,67
2025-09-20,75
2025-09-21,68
2025-09-22,71
2025-09-23,77
2025-09-24,72
2025-09-25,74
2025-09-26,86
2025-09-27,73
2025-09-28,74
2025-09-29,69
2025-09-30,79
2025-10-01,77
2025-10-02,76
2025-10-03,71
2025-10-04,69
2025-10-05,67
2025-10-06,70
2025-10-07,73
2025-10-08,82
2025-10-09,81
2025-10-10,74
2025-10-11,69
2025-10-12,59
2025-10-13,70
2025-10-14,68
2025-10-15,72
2025-10-16,71
2025-10-17,73
2025-10-18,69
2025-10-19,70
2025-10-20,75
2025-10-21,71
2025-10-22,74
2025-10-23,71
2025-10-24,74
2025-10-25,74
2025-10-26,67
2025-10-27,68
2025-10-28,71
2025-10-29,70
2025-10-30,74
2025-10-31,74
2025-11-01,77
2025-11-02,72
2025-11-03,77
2025-11-04,76
2025-11-05,73
2025-11-06,72
2025-11-07,74
2025-11-08,73
2025-11-09,68
2025-11-10,68
2025-11-11,75
2025-11-12,69
2025-11-13,75
2025-11-14,75
2025-11-15,69
2025-11-16,67
2025-11-17,68
2025-11-18,68
2025-11-19,71
2025-11-20,74
2025-11-21,73
2025-11-22,69
2025-11-23,62
2025-11-24,68
2025-11-25,74
2025-11-26,73
2025-11-27,55
2025-11-28,67
2025-11-29,72
2025-11-30,65
2025-12-01,74
2025-12-02,78
2025-12-03,72
2025-12-04,69
2025-12-05,69
2025-12-06,68
2025-12-07,62
2025-12-08,66
2025-12-09,66
2025-12-10,65
2025-12-11,68
2025-12-12,69
2025-12-13,65
2025-12-14,58
2025-12-15,65
2025-12-16,67
2025-12-17,69
2025-12-18,67
2025-12-19,70
2025-12-20,66
2025-12-21,60
2025-12-22,65
2025-12-23,68
2025-12-24,62
2025-12-25,51
2025-12-26,68
2025-12-27,71
2025-12-28,64
2025-12-29,79
2025-12-30,74
2025-12-31,69
2026-01-01,63
2026-01-02,73
2026-01-03,65
2026-01-04,63
2026-01-05,66
2026-01-06,65
2026-01-07,66
2026-01-08,67
2026-01-09,71
