Time,peaky blinders
2022-08-29,82
2022-08-30,75
2022-08-31,72
2022-09-01,70
2022-09-02,73
2022-09-03,81
2022-09-04,88
2022-09-05,92
2022-09-06,81
2022-09-07,71
2022-09-08,71
2022-09-09,73
2022-09-10,84
2022-09-11,89
2022-09-12,70
2022-09-13,65
2022-09-14,67
2022-09-15,55
2022-09-16,56
2022-09-17,76
2022-09-18,76
2022-09-19,61
2022-09-20,54
2022-09-21,57
2022-09-22,58
2022-09-23,57
2022-09-24,68
2022-09-25,69
2022-09-26,56
2022-09-27,59
2022-09-28,54
2022-09-29,58
2022-09-30,56
2022-10-01,63
2022-10-02,73
2022-10-03,55
2022-10-04,53
2022-10-05,53
2022-10-06,56
2022-10-07,57
2022-10-08,66
2022-10-09,67
2022-10-10,57
2022-10-11,53
2022-10-12,56
2022-10-13,54
2022-10-14,58
2022-10-15,64
2022-10-16,67
2022-10-17,53
2022-10-18,59
2022-10-19,59
2022-10-20,59
2022-10-21,57
2022-10-22,70
2022-10-23,77
2022-10-24,60
2022-10-25,69
2022-10-26,68
2022-10-27,74
2022-10-28,70
2022-10-29,100
2022-10-30,90
2022-10-31,77
2022-11-01,56
2022-11-02,52
2022-11-03,50
2022-11-04,52
2022-11-05,63
2022-11-06,62
2022-11-07,55
2022-11-08,55
2022-11-09,48
2022-11-10,55
2022-11-11,58
2022-11-12,69
2022-11-13,75
2022-11-14,55
2022-11-15,56
2022-11-16,50
2022-11-17,55
2022-11-18,56
2022-11-19,67
2022-11-20,66
2022-11-21,56
2022-11-22,57
2022-11-23,61
2022-11-24,65
2022-11-25,58
2022-11-26,64
2022-11-27,81
2022-11-28,51
2022-11-29,52
2022-11-30,56
2022-12-01,53
2022-12-02,55
2022-12-03,67
2022-12-04,79
2022-12-05,55
2022-12-06,50
2022-12-07,54
2022-12-08,57
2022-12-09,52
2022-12-10,68
2022-12-11,69
2022-12-12,66
2022-12-13,55
2022-12-14,57
2022-12-15,58
2022-12-16,60
2022-12-17,72
2022-12-18,63
2022-12-19,70
2022-12-20,61
2022-12-21,56
2022-12-22,60
2022-12-23,68
2022-12-24,71
2022-12-25,75
2022-12-26,70
2022-12-27,78
2022-12-28,79
2022-12-29,81
2022-12-30,71
2022-12-31,77
2023-01-01,68
2023-01-02,86
2023-01-03,66
2023-01-04,67
2023-01-05,69
2023-01-06,67
2023-01-07,81
2023-01-08,78
2023-01-09,64
2023-01-10,60
2023-01-11,65
2023-01-12,66
2023-01-13,65
2023-01-14,77
2023-01-15,68
2023-01-16,67
2023-01-17,57
2023-01-18,63
2023-01-19,59
2023-01-20,69
2023-01-21,80
2023-01-22,80
2023-01-23,64
2023-01-24,58
2023-01-25,56
2023-01-26,66
2023-01-27,57
2023-01-28,74
2023-01-29,82
2023-01-30,63
2023-01-31,59
2023-02-01,58
2023-02-02,60
2023-02-03,56
2023-02-04,71
2023-02-05,83
2023-02-06,64
2023-02-07,55
2023-02-08,57
2023-02-09,53
2023-02-10,52
2023-02-11,61
2023-02-12,63
2023-02-13,46
2023-02-14,47
2023-02-15,49
2023-02-16,54
2023-02-17,56
2023-02-18,70
2023-02-19,67
2023-02-20,61
2023-02-21,54
2023-02-22,55
2023-02-23,52
2023-02-24,53
2023-02-25,57
2023-02-26,67
2023-02-27,52
2023-02-28,46
2023-03-01,48
2023-03-02,48
2023-03-03,45
2023-03-04,60
2023-03-05,64
2023-03-06,49
2023-03-07,48
2023-03-08,49
2023-03-09,46
2023-03-10,47
2023-03-11,58
2023-03-12,60
2023-03-13,49
2023-03-14,50
2023-03-15,51
2023-03-16,50
2023-03-17,56
2023-03-18,62
2023-03-19,66
2023-03-20,54
2023-03-21,53
2023-03-22,53
2023-03-23,51
2023-03-24,51
2023-03-25,55
2023-03-26,67
2023-03-27,48
2023-03-28,46
2023-03-29,42
2023-03-30,44
2023-03-31,43
2023-04-01,49
2023-04-02,55
2023-04-03,43
2023-04-04,41
2023-04-05,46
2023-04-06,46
2023-04-07,47
2023-04-08,61
2023-04-09,60
2023-04-10,45
2023-04-11,45
2023-04-12,45
2023-04-13,41
2023-04-14,45
2023-04-15,50
2023-04-16,59
2023-04-17,41
2023-04-18,41
2023-04-19,41
2023-04-20,38
2023-04-21,46
2023-04-22,50
2023-04-23,52
2023-04-24,48
2023-04-25,42
2023-04-26,45
2023-04-27,38
2023-04-28,40
2023-04-29,52
2023-04-30,56
2023-05-01,44
2023-05-02,39
2023-05-03,40
2023-05-04,39
2023-05-05,39
2023-05-06,50
2023-05-07,50
2023-05-08,43
2023-05-09,41
2023-05-10,37
2023-05-11,39
2023-05-12,39
2023-05-13,45
2023-05-14,53
2023-05-15,40
2023-05-16,39
2023-05-17,40
2023-05-18,38
2023-05-19,43
2023-05-20,51
2023-05-21,55
2023-05-22,39
2023-05-23,41
2023-05-24,43
2023-05-25,41
