Time,peaky blinders
2023-12-22,57
2023-12-23,66
2023-12-24,61
2023-12-25,62
2023-12-26,61
2023-12-27,63
2023-12-28,56
2023-12-29,70
2023-12-30,70
2023-12-31,73
2024-01-01,69
2024-01-02,60
2024-01-03,61
2024-01-04,55
2024-01-05,81
2024-01-06,85
2024-01-07,88
2024-01-08,79
2024-01-09,78
2024-01-10,64
2024-01-11,62
2024-01-12,65
2024-01-13,78
2024-01-14,86
2024-01-15,73
2024-01-16,61
2024-01-17,66
2024-01-18,64
2024-01-19,60
2024-01-20,83
2024-01-21,80
2024-01-22,58
2024-01-23,62
2024-01-24,60
2024-01-25,55
2024-01-26,59
2024-01-27,70
2024-01-28,86
2024-01-29,91
2024-01-30,65
2024-01-31,60
2024-02-01,59
2024-02-02,64
2024-02-03,69
2024-02-04,67
2024-02-05,57
2024-02-06,46
2024-02-07,51
2024-02-08,50
2024-02-09,55
2024-02-10,78
2024-02-11,69
2024-02-12,39
2024-02-13,52
2024-02-14,44
2024-02-15,44
2024-02-16,51
2024-02-17,65
2024-02-18,70
2024-02-19,91
2024-02-20,53
2024-02-21,58
2024-02-22,53
2024-02-23,55
2024-02-24,72
2024-02-25,77
2024-02-26,60
2024-02-27,52
2024-02-28,55
2024-02-29,65
2024-03-01,53
2024-03-02,61
2024-03-03,71
2024-03-04,56
2024-03-05,54
2024-03-06,46
2024-03-07,47
2024-03-08,50
2024-03-09,61
2024-03-10,70
2024-03-11,91
2024-03-12,63
2024-03-13,55
2024-03-14,56
2024-03-15,60
2024-03-16,76
2024-03-17,82
2024-03-18,59
2024-03-19,54
2024-03-20,62
2024-03-21,65
2024-03-22,93
2024-03-23,100
2024-03-24,77
2024-03-25,58
2024-03-26,58
2024-03-27,57
2024-03-28,59
2024-03-29,59
2024-03-30,70
2024-03-31,82
2024-04-01,74
2024-04-02,59
2024-04-03,58
2024-04-04,50
2024-04-05,50
2024-04-06,59
2024-04-07,59
2024-04-08,45
2024-04-09,44
2024-04-10,50
2024-04-11,46
2024-04-12,41
2024-04-13,53
2024-04-14,55
2024-04-15,42
2024-04-16,40
2024-04-17,43
2024-04-18,44
2024-04-19,43
2024-04-20,55
2024-04-21,59
2024-04-22,43
2024-04-23,40
2024-04-24,39
2024-04-25,41
2024-04-26,43
2024-04-27,46
2024-04-28,56
2024-04-29,40
2024-04-30,37
2024-05-01,38
2024-05-02,37
2024-05-03,42
2024-05-04,46
2024-05-05,49
2024-05-06,40
2024-05-07,33
2024-05-08,35
2024-05-09,33
2024-05-10,35
2024-05-11,42
2024-05-12,45
2024-05-13,35
2024-05-14,35
2024-05-15,34
2024-05-16,37
2024-05-17,33
2024-05-18,44
2024-05-19,42
2024-05-20,31
2024-05-21,34
2024-05-22,31
2024-05-23,34
2024-05-24,31
2024-05-25,41
2024-05-26,43
2024-05-27,51
2024-05-28,39
2024-05-29,35
2024-05-30,38
2024-05-31,30
2024-06-01,41
2024-06-02,48
2024-06-03,39
2024-06-04,45
2024-06-05,69
2024-06-06,69
2024-06-07,47
2024-06-08,51
2024-06-09,51
2024-06-10,42
2024-06-11,42
2024-06-12,40
2024-06-13,36
2024-06-14,34
2024-06-15,41
2024-06-16,46
2024-06-17,37
2024-06-18,34
2024-06-19,40
2024-06-20,41
2024-06-21,38
2024-06-22,41
2024-06-23,47
2024-06-24,35
2024-06-25,33
2024-06-26,35
2024-06-27,34
2024-06-28,30
2024-06-29,40
2024-06-30,45
2024-07-01,32
2024-07-02,31
2024-07-03,37
2024-07-04,41
2024-07-05,36
2024-07-06,47
2024-07-07,53
2024-07-08,33
2024-07-09,36
2024-07-10,35
2024-07-11,34
2024-07-12,32
2024-07-13,37
2024-07-14,36
2024-07-15,31
2024-07-16,32
2024-07-17,32
2024-07-18,35
2024-07-19,33
2024-07-20,38
2024-07-21,40
2024-07-22,32
2024-07-23,31
2024-07-24,32
2024-07-25,37
2024-07-26,35
2024-07-27,38
2024-07-28,45
2024-07-29,32
2024-07-30,34
2024-07-31,32
2024-08-01,34
2024-08-02,31
2024-08-03,33
2024-08-04,36
2024-08-05,37
2024-08-06,32
2024-08-07,35
2024-08-08,31
2024-08-09,31
2024-08-10,36
2024-08-11,37
2024-08-12,35
2024-08-13,33
2024-08-14,31
2024-08-15,32
2024-08-16,31
2024-08-17,38
2024-08-18,45
2024-08-19,34
2024-08-20,33
2024-08-21,29
2024-08-22,30
2024-08-23,31
2024-08-24,35
2024-08-25,42
2024-08-26,35
2024-08-27,31
2024-08-28,33
2024-08-29,42
2024-08-30,42
2024-08-31,46
2024-09-01,47
2024-09-02,59
2024-09-03,40
2024-09-04,33
2024-09-05,34
2024-09-06,34
2024-09-07,36
2024-09-08,39
2024-09-09,28
2024-09-10,30
2024-09-11,26
2024-09-12,32
2024-09-13,31
2024-09-14,36
2024-09-15,37
2024-09-16,31
