Time,peaky blinders
2023-04-26,39
2023-04-27,33
2023-04-28,34
2023-04-29,45
2023-04-30,48
2023-05-01,38
2023-05-02,33
2023-05-03,35
2023-05-04,34
2023-05-05,34
2023-05-06,44
2023-05-07,44
2023-05-08,37
2023-05-09,35
2023-05-10,33
2023-05-11,34
2023-05-12,34
2023-05-13,39
2023-05-14,46
2023-05-15,35
2023-05-16,34
2023-05-17,34
2023-05-18,33
2023-05-19,38
2023-05-20,44
2023-05-21,48
2023-05-22,33
2023-05-23,36
2023-05-24,37
2023-05-25,36
2023-05-26,33
2023-05-27,45
2023-05-28,44
2023-05-29,49
2023-05-30,38
2023-05-31,35
2023-06-01,34
2023-06-02,36
2023-06-03,43
2023-06-04,49
2023-06-05,40
2023-06-06,34
2023-06-07,35
2023-06-08,36
2023-06-09,34
2023-06-10,46
2023-06-11,47
2023-06-12,40
2023-06-13,36
2023-06-14,39
2023-06-15,38
2023-06-16,36
2023-06-17,42
2023-06-18,42
2023-06-19,42
2023-06-20,39
2023-06-21,35
2023-06-22,37
2023-06-23,37
2023-06-24,46
2023-06-25,48
2023-06-26,38
2023-06-27,39
2023-06-28,39
2023-06-29,40
2023-06-30,40
2023-07-01,47
2023-07-02,53
2023-07-03,41
2023-07-04,52
2023-07-05,50
2023-07-06,78
2023-07-07,82
2023-07-08,100
2023-07-09,62
2023-07-10,47
2023-07-11,47
2023-07-12,44
2023-07-13,47
2023-07-14,55
2023-07-15,61
2023-07-16,75
2023-07-17,52
2023-07-18,58
2023-07-19,60
2023-07-20,56
2023-07-21,71
2023-07-22,88
2023-07-23,99
2023-07-24,85
2023-07-25,83
2023-07-26,77
2023-07-27,71
2023-07-28,75
2023-07-29,83
2023-07-30,80
2023-07-31,67
2023-08-01,63
2023-08-02,66
2023-08-03,65
2023-08-04,56
2023-08-05,66
2023-08-06,85
2023-08-07,66
2023-08-08,59
2023-08-09,59
2023-08-10,53
2023-08-11,60
2023-08-12,58
2023-08-13,75
2023-08-14,58
2023-08-15,54
2023-08-16,57
2023-08-17,55
2023-08-18,57
2023-08-19,74
2023-08-20,63
2023-08-21,51
2023-08-22,51
2023-08-23,47
2023-08-24,49
2023-08-25,49
2023-08-26,58
2023-08-27,64
2023-08-28,49
2023-08-29,51
2023-08-30,66
2023-08-31,73
2023-09-01,56
2023-09-02,62
2023-09-03,65
2023-09-04,73
2023-09-05,53
2023-09-06,47
2023-09-07,50
2023-09-08,43
2023-09-09,57
2023-09-10,51
2023-09-11,40
2023-09-12,48
2023-09-13,44
2023-09-14,43
2023-09-15,40
2023-09-16,47
2023-09-17,52
2023-09-18,42
2023-09-19,40
2023-09-20,42
2023-09-21,50
2023-09-22,56
2023-09-23,53
2023-09-24,61
2023-09-25,48
2023-09-26,43
2023-09-27,44
2023-09-28,45
2023-09-29,43
2023-09-30,52
2023-10-01,50
2023-10-02,39
2023-10-03,43
2023-10-04,45
2023-10-05,44
2023-10-06,40
2023-10-07,49
2023-10-08,52
2023-10-09,47
2023-10-10,55
2023-10-11,47
2023-10-12,45
2023-10-13,48
2023-10-14,49
2023-10-15,56
2023-10-16,45
2023-10-17,48
2023-10-18,44
2023-10-19,45
2023-10-20,44
2023-10-21,49
2023-10-22,54
2023-10-23,45
2023-10-24,47
2023-10-25,46
2023-10-26,47
2023-10-27,49
2023-10-28,70
2023-10-29,59
2023-10-30,48
2023-10-31,44
2023-11-01,43
2023-11-02,38
2023-11-03,37
2023-11-04,48
2023-11-05,44
2023-11-06,41
2023-11-07,42
2023-11-08,39
2023-11-09,37
2023-11-10,38
2023-11-11,44
2023-11-12,48
2023-11-13,38
2023-11-14,41
2023-11-15,38
2023-11-16,43
2023-11-17,37
2023-11-18,45
2023-11-19,46
2023-11-20,39
2023-11-21,39
2023-11-22,47
2023-11-23,46
2023-11-24,47
2023-11-25,52
2023-11-26,52
2023-11-27,40
2023-11-28,39
2023-11-29,38
2023-11-30,40
2023-12-01,39
2023-12-02,46
2023-12-03,46
2023-12-04,39
2023-12-05,45
2023-12-06,46
2023-12-07,47
2023-12-08,45
2023-12-09,48
2023-12-10,55
2023-12-11,39
2023-12-12,41
2023-12-13,39
2023-12-14,41
2023-12-15,45
2023-12-16,49
2023-12-17,46
2023-12-18,44
2023-12-19,45
2023-12-20,48
2023-12-21,49
2023-12-22,50
2023-12-23,57
2023-12-24,53
2023-12-25,54
2023-12-26,54
2023-12-27,55
2023-12-28,49
2023-12-29,61
2023-12-30,61
2023-12-31,63
2024-01-01,60
2024-01-02,53
2024-01-03,53
2024-01-04,48
2024-01-05,70
2024-01-06,74
2024-01-07,77
2024-01-08,69
2024-01-09,68
2024-01-10,55
2024-01-11,54
2024-01-12,56
2024-01-13,68
2024-01-14,75
2024-01-15,64
2024-01-16,53
2024-01-17,57
2024-01-18,56
2024-01-19,52
2024-01-20,72
