Time,peaky blinders
2022-01-01,16
2022-01-02,20
2022-01-03,17
2022-01-04,17
2022-01-05,15
2022-01-06,12
2022-01-07,14
2022-01-08,18
2022-01-09,16
2022-01-10,12
2022-01-11,12
2022-01-12,13
2022-01-13,10
2022-01-14,10
2022-01-15,14
2022-01-16,15
2022-01-17,13
2022-01-18,12
2022-01-19,11
2022-01-20,11
2022-01-21,12
2022-01-22,14
2022-01-23,13
2022-01-24,13
2022-01-25,10
2022-01-26,10
2022-01-27,11
2022-01-28,12
2022-01-29,14
2022-01-30,14
2022-01-31,12
2022-02-01,12
2022-02-02,14
2022-02-03,13
2022-02-04,14
2022-02-05,14
2022-02-06,15
2022-02-07,12
2022-02-08,12
2022-02-09,11
2022-02-10,9
2022-02-11,13
2022-02-12,16
2022-02-13,13
2022-02-14,10
2022-02-15,16
2022-02-16,16
2022-02-17,14
2022-02-18,15
2022-02-19,16
2022-02-20,19
2022-02-21,19
2022-02-22,21
2022-02-23,20
2022-02-24,18
2022-02-25,19
2022-02-26,26
2022-02-27,59
2022-02-28,67
2022-03-01,37
2022-03-02,25
2022-03-03,24
2022-03-04,23
2022-03-05,26
2022-03-06,28
2022-03-07,30
2022-03-08,22
2022-03-09,20
2022-03-10,18
2022-03-11,17
2022-03-12,20
2022-03-13,21
2022-03-14,20
2022-03-15,16
2022-03-16,14
2022-03-17,15
2022-03-18,15
2022-03-19,16
2022-03-20,18
2022-03-21,18
2022-03-22,16
2022-03-23,17
2022-03-24,17
2022-03-25,15
2022-03-26,17
2022-03-27,20
2022-03-28,17
2022-03-29,15
2022-03-30,15
2022-03-31,13
2022-04-01,13
2022-04-02,16
2022-04-03,23
2022-04-04,25
2022-04-05,20
2022-04-06,18
2022-04-07,15
2022-04-08,15
2022-04-09,17
2022-04-10,19
2022-04-11,16
2022-04-12,15
2022-04-13,14
2022-04-14,14
2022-04-15,14
2022-04-16,17
2022-04-17,19
2022-04-18,16
2022-04-19,13
2022-04-20,12
2022-04-21,12
2022-04-22,12
2022-04-23,14
2022-04-24,17
2022-04-25,13
2022-04-26,12
2022-04-27,11
2022-04-28,10
2022-04-29,10
2022-04-30,12
2022-05-01,14
2022-05-02,11
2022-05-03,10
2022-05-04,9
2022-05-05,9
2022-05-06,10
2022-05-07,12
2022-05-08,13
2022-05-09,9
2022-05-10,9
2022-05-11,9
2022-05-12,9
2022-05-13,9
2022-05-14,12
2022-05-15,13
2022-05-16,9
2022-05-17,10
2022-05-18,9
2022-05-19,12
2022-05-20,12
2022-05-21,12
2022-05-22,12
2022-05-23,10
2022-05-24,10
2022-05-25,10
2022-05-26,11
2022-05-27,11
2022-05-28,18
2022-05-29,14
2022-05-30,14
2022-05-31,11
2022-06-01,11
2022-06-02,11
2022-06-03,12
2022-06-04,14
2022-06-05,15
2022-06-06,16
2022-06-07,17
2022-06-08,18
2022-06-09,18
2022-06-10,46
2022-06-11,90
2022-06-12,100
2022-06-13,79
2022-06-14,66
2022-06-15,58
2022-06-16,58
2022-06-17,44
2022-06-18,54
2022-06-19,55
2022-06-20,46
2022-06-21,41
2022-06-22,40
2022-06-23,37
2022-06-24,33
2022-06-25,37
2022-06-26,39
2022-06-27,33
2022-06-28,30
2022-06-29,29
2022-06-30,28
2022-07-01,27
2022-07-02,27
2022-07-03,29
2022-07-04,31
2022-07-05,24
2022-07-06,23
2022-07-07,24
2022-07-08,22
2022-07-09,26
2022-07-10,27
2022-07-11,23
2022-07-12,20
2022-07-13,18
2022-07-14,19
2022-07-15,18
2022-07-16,21
2022-07-17,23
2022-07-18,20
2022-07-19,20
2022-07-20,17
2022-07-21,17
2022-07-22,17
2022-07-23,19
2022-07-24,21
2022-07-25,18
2022-07-26,17
2022-07-27,15
2022-07-28,15
2022-07-29,15
2022-07-30,17
2022-07-31,20
2022-08-01,16
2022-08-02,15
2022-08-03,14
2022-08-04,15
2022-08-05,15
2022-08-06,16
2022-08-07,19
2022-08-08,15
2022-08-09,13
2022-08-10,12
2022-08-11,13
2022-08-12,12
2022-08-13,14
2022-08-14,16
2022-08-15,13
2022-08-16,12
2022-08-17,12
2022-08-18,12
2022-08-19,12
2022-08-20,14
2022-08-21,16
2022-08-22,13
2022-08-23,13
2022-08-24,12
2022-08-25,11
2022-08-26,11
2022-08-27,13
2022-08-28,15
2022-08-29,12
2022-08-30,10
2022-08-31,10
2022-09-01,10
2022-09-02,10
2022-09-03,11
2022-09-04,12
2022-09-05,13
2022-09-06,11
2022-09-07,10
2022-09-08,10
2022-09-09,10
2022-09-10,12
2022-09-11,12
2022-09-12,10
2022-09-13,9
2022-09-14,9
2022-09-15,8
2022-09-16,8
2022-09-17,11
2022-09-18,11
2022-09-19,9
2022-09-20,8
2022-09-21,8
2022-09-22,8
2022-09-23,8
2022-09-24,10
2022-09-25,10
2022-09-26,8
2022-09-27,8
