Time,pizza near me
2023-12-22,64
2023-12-23,83
2023-12-24,85
2023-12-25,100
2023-12-26,74
2023-12-27,56
2023-12-28,58
2023-12-29,74
2023-12-30,81
2023-12-31,91
2024-01-01,97
2024-01-02,45
2024-01-03,38
2024-01-04,41
2024-01-05,52
2024-01-06,75
2024-01-07,67
2024-01-08,36
2024-01-09,35
2024-01-10,36
2024-01-11,38
2024-01-12,50
2024-01-13,78
2024-01-14,71
2024-01-15,52
2024-01-16,36
2024-01-17,36
2024-01-18,37
2024-01-19,49
2024-01-20,72
2024-01-21,74
2024-01-22,38
2024-01-23,34
2024-01-24,36
2024-01-25,38
2024-01-26,51
2024-01-27,67
2024-01-28,72
2024-01-29,35
2024-01-30,31
2024-01-31,35
2024-02-01,35
2024-02-02,44
2024-02-03,72
2024-02-04,66
2024-02-05,36
2024-02-06,32
2024-02-07,38
2024-02-08,37
2024-02-09,57
2024-02-10,74
2024-02-11,94
2024-02-12,32
2024-02-13,34
2024-02-14,48
2024-02-15,40
2024-02-16,49
2024-02-17,74
2024-02-18,72
2024-02-19,39
2024-02-20,34
2024-02-21,33
2024-02-22,37
2024-02-23,48
2024-02-24,83
2024-02-25,71
2024-02-26,36
2024-02-27,32
2024-02-28,33
2024-02-29,38
2024-03-01,52
2024-03-02,76
2024-03-03,72
2024-03-04,36
2024-03-05,32
2024-03-06,34
2024-03-07,36
2024-03-08,50
2024-03-09,75
2024-03-10,71
2024-03-11,38
2024-03-12,38
2024-03-13,35
2024-03-14,51
2024-03-15,57
2024-03-16,75
2024-03-17,71
2024-03-18,38
2024-03-19,33
2024-03-20,35
2024-03-21,37
2024-03-22,53
2024-03-23,76
2024-03-24,64
2024-03-25,36
2024-03-26,36
2024-03-27,42
2024-03-28,41
2024-03-29,58
2024-03-30,73
2024-03-31,75
2024-04-01,38
2024-04-02,39
2024-04-03,36
2024-04-04,36
2024-04-05,53
2024-04-06,77
2024-04-07,62
2024-04-08,35
2024-04-09,33
2024-04-10,39
2024-04-11,36
2024-04-12,47
2024-04-13,73
2024-04-14,61
2024-04-15,35
2024-04-16,36
2024-04-17,36
2024-04-18,36
2024-04-19,48
2024-04-20,79
2024-04-21,71
2024-04-22,38
2024-04-23,33
2024-04-24,36
2024-04-25,37
2024-04-26,49
2024-04-27,77
2024-04-28,62
2024-04-29,35
2024-04-30,36
2024-05-01,34
2024-05-02,37
2024-05-03,50
2024-05-04,77
2024-05-05,63
2024-05-06,35
2024-05-07,32
2024-05-08,34
2024-05-09,37
2024-05-10,47
2024-05-11,73
2024-05-12,74
2024-05-13,35
2024-05-14,36
2024-05-15,35
2024-05-16,36
2024-05-17,48
2024-05-18,72
2024-05-19,67
2024-05-20,41
2024-05-21,38
2024-05-22,38
2024-05-23,42
2024-05-24,55
2024-05-25,75
2024-05-26,78
2024-05-27,76
2024-05-28,38
2024-05-29,40
2024-05-30,40
2024-05-31,56
2024-06-01,79
2024-06-02,71
2024-06-03,40
2024-06-04,40
2024-06-05,41
2024-06-06,44
2024-06-07,55
2024-06-08,75
2024-06-09,68
2024-06-10,42
2024-06-11,38
2024-06-12,38
2024-06-13,44
2024-06-14,55
2024-06-15,69
2024-06-16,70
2024-06-17,45
2024-06-18,41
2024-06-19,51
2024-06-20,45
2024-06-21,62
2024-06-22,81
2024-06-23,68
2024-06-24,45
2024-06-25,42
2024-06-26,40
2024-06-27,46
2024-06-28,59
2024-06-29,80
2024-06-30,77
2024-07-01,45
2024-07-02,48
2024-07-03,48
2024-07-04,81
2024-07-05,79
2024-07-06,80
2024-07-07,71
2024-07-08,52
2024-07-09,47
2024-07-10,43
2024-07-11,44
2024-07-12,60
2024-07-13,71
2024-07-14,74
2024-07-15,42
2024-07-16,42
2024-07-17,42
2024-07-18,45
2024-07-19,60
2024-07-20,77
2024-07-21,74
2024-07-22,43
2024-07-23,42
2024-07-24,42
2024-07-25,46
2024-07-26,58
2024-07-27,77
2024-07-28,76
2024-07-29,43
2024-07-30,42
2024-07-31,42
2024-08-01,45
2024-08-02,64
2024-08-03,76
2024-08-04,73
2024-08-05,40
2024-08-06,40
2024-08-07,42
2024-08-08,41
2024-08-09,57
2024-08-10,70
2024-08-11,67
2024-08-12,43
2024-08-13,40
2024-08-14,40
2024-08-15,41
2024-08-16,56
2024-08-17,77
2024-08-18,69
2024-08-19,40
2024-08-20,38
2024-08-21,36
2024-08-22,38
2024-08-23,52
2024-08-24,73
2024-08-25,67
2024-08-26,38
2024-08-27,34
2024-08-28,34
2024-08-29,39
2024-08-30,50
2024-08-31,78
2024-09-01,77
2024-09-02,70
2024-09-03,33
2024-09-04,33
2024-09-05,37
2024-09-06,45
2024-09-07,68
2024-09-08,60
2024-09-09,35
2024-09-10,33
2024-09-11,32
2024-09-12,37
2024-09-13,53
2024-09-14,68
2024-09-15,60
2024-09-16,33
