Time,sams club
2023-12-22,75
2023-12-23,86
2023-12-24,80
2023-12-25,39
2023-12-26,59
2023-12-27,63
2023-12-28,60
2023-12-29,63
2023-12-30,69
2023-12-31,78
2024-01-01,70
2024-01-02,56
2024-01-03,58
2024-01-04,57
2024-01-05,56
2024-01-06,68
2024-01-07,69
2024-01-08,54
2024-01-09,52
2024-01-10,54
2024-01-11,54
2024-01-12,57
2024-01-13,65
2024-01-14,65
2024-01-15,61
2024-01-16,49
2024-01-17,51
2024-01-18,56
2024-01-19,53
2024-01-20,63
2024-01-21,70
2024-01-22,53
2024-01-23,53
2024-01-24,51
2024-01-25,50
2024-01-26,60
2024-01-27,72
2024-01-28,65
2024-01-29,53
2024-01-30,55
2024-01-31,53
2024-02-01,52
2024-02-02,59
2024-02-03,69
2024-02-04,76
2024-02-05,54
2024-02-06,55
2024-02-07,55
2024-02-08,55
2024-02-09,58
2024-02-10,65
2024-02-11,62
2024-02-12,44
2024-02-13,54
2024-02-14,49
2024-02-15,49
2024-02-16,56
2024-02-17,64
2024-02-18,68
2024-02-19,58
2024-02-20,50
2024-02-21,50
2024-02-22,50
2024-02-23,56
2024-02-24,67
2024-02-25,69
2024-02-26,49
2024-02-27,52
2024-02-28,49
2024-02-29,50
2024-03-01,55
2024-03-02,64
2024-03-03,70
2024-03-04,53
2024-03-05,55
2024-03-06,52
2024-03-07,53
2024-03-08,56
2024-03-09,67
2024-03-10,67
2024-03-11,51
2024-03-12,53
2024-03-13,55
2024-03-14,54
2024-03-15,55
2024-03-16,66
2024-03-17,77
2024-03-18,53
2024-03-19,58
2024-03-20,51
2024-03-21,53
2024-03-22,52
2024-03-23,67
2024-03-24,70
2024-03-25,52
2024-03-26,50
2024-03-27,56
2024-03-28,56
2024-03-29,58
2024-03-30,76
2024-03-31,71
2024-04-01,56
2024-04-02,51
2024-04-03,58
2024-04-04,59
2024-04-05,63
2024-04-06,63
2024-04-07,69
2024-04-08,48
2024-04-09,53
2024-04-10,57
2024-04-11,53
2024-04-12,55
2024-04-13,74
2024-04-14,68
2024-04-15,61
2024-04-16,57
2024-04-17,57
2024-04-18,57
2024-04-19,65
2024-04-20,66
2024-04-21,69
2024-04-22,58
2024-04-23,54
2024-04-24,60
2024-04-25,59
2024-04-26,56
2024-04-27,66
2024-04-28,76
2024-04-29,57
2024-04-30,59
2024-05-01,59
2024-05-02,62
2024-05-03,61
2024-05-04,70
2024-05-05,74
2024-05-06,64
2024-05-07,60
2024-05-08,59
2024-05-09,60
2024-05-10,63
2024-05-11,72
2024-05-12,75
2024-05-13,64
2024-05-14,54
2024-05-15,57
2024-05-16,55
2024-05-17,59
2024-05-18,67
2024-05-19,72
2024-05-20,64
2024-05-21,83
2024-05-22,61
2024-05-23,60
2024-05-24,65
2024-05-25,77
2024-05-26,76
2024-05-27,95
2024-05-28,62
2024-05-29,60
2024-05-30,62
2024-05-31,67
2024-06-01,73
2024-06-02,72
2024-06-03,61
2024-06-04,60
2024-06-05,65
2024-06-06,62
2024-06-07,65
2024-06-08,67
2024-06-09,78
2024-06-10,66
2024-06-11,68
2024-06-12,64
2024-06-13,63
2024-06-14,67
2024-06-15,70
2024-06-16,70
2024-06-17,60
2024-06-18,60
2024-06-19,71
2024-06-20,66
2024-06-21,66
2024-06-22,75
2024-06-23,72
2024-06-24,62
2024-06-25,61
2024-06-26,60
2024-06-27,63
2024-06-28,64
2024-06-29,71
2024-06-30,72
2024-07-01,66
2024-07-02,68
2024-07-03,77
2024-07-04,100
2024-07-05,64
2024-07-06,67
2024-07-07,83
2024-07-08,64
2024-07-09,66
2024-07-10,61
2024-07-11,65
2024-07-12,63
2024-07-13,68
2024-07-14,66
2024-07-15,55
2024-07-16,70
2024-07-17,66
2024-07-18,62
2024-07-19,63
2024-07-20,72
2024-07-21,68
2024-07-22,61
2024-07-23,60
2024-07-24,59
2024-07-25,60
2024-07-26,62
2024-07-27,68
2024-07-28,72
2024-07-29,61
2024-07-30,59
2024-07-31,59
2024-08-01,60
2024-08-02,67
2024-08-03,67
2024-08-04,70
2024-08-05,58
2024-08-06,56
2024-08-07,61
2024-08-08,58
2024-08-09,60
2024-08-10,70
2024-08-11,73
2024-08-12,62
2024-08-13,59
2024-08-14,61
2024-08-15,71
2024-08-16,64
2024-08-17,73
2024-08-18,73
2024-08-19,63
2024-08-20,62
2024-08-21,57
2024-08-22,60
2024-08-23,65
2024-08-24,75
2024-08-25,74
2024-08-26,58
2024-08-27,55
2024-08-28,56
2024-08-29,58
2024-08-30,61
2024-08-31,66
2024-09-01,78
2024-09-02,100
2024-09-03,56
2024-09-04,57
2024-09-05,55
2024-09-06,57
2024-09-07,68
2024-09-08,75
2024-09-09,61
2024-09-10,59
2024-09-11,56
2024-09-12,57
2024-09-13,65
2024-09-14,69
2024-09-15,67
2024-09-16,56
