Time,sams club
2022-08-29,56
2022-08-30,51
2022-08-31,56
2022-09-01,62
2022-09-02,59
2022-09-03,71
2022-09-04,75
2022-09-05,92
2022-09-06,57
2022-09-07,50
2022-09-08,50
2022-09-09,51
2022-09-10,59
2022-09-11,63
2022-09-12,53
2022-09-13,49
2022-09-14,49
2022-09-15,50
2022-09-16,53
2022-09-17,63
2022-09-18,62
2022-09-19,50
2022-09-20,50
2022-09-21,50
2022-09-22,51
2022-09-23,55
2022-09-24,66
2022-09-25,67
2022-09-26,52
2022-09-27,58
2022-09-28,51
2022-09-29,51
2022-09-30,54
2022-10-01,63
2022-10-02,61
2022-10-03,53
2022-10-04,53
2022-10-05,59
2022-10-06,58
2022-10-07,58
2022-10-08,64
2022-10-09,64
2022-10-10,55
2022-10-11,54
2022-10-12,55
2022-10-13,52
2022-10-14,56
2022-10-15,62
2022-10-16,62
2022-10-17,52
2022-10-18,53
2022-10-19,56
2022-10-20,53
2022-10-21,55
2022-10-22,61
2022-10-23,64
2022-10-24,52
2022-10-25,52
2022-10-26,54
2022-10-27,53
2022-10-28,53
2022-10-29,63
2022-10-30,70
2022-10-31,50
2022-11-01,51
2022-11-02,54
2022-11-03,55
2022-11-04,54
2022-11-05,67
2022-11-06,71
2022-11-07,56
2022-11-08,51
2022-11-09,50
2022-11-10,56
2022-11-11,65
2022-11-12,69
2022-11-13,71
2022-11-14,60
2022-11-15,58
2022-11-16,59
2022-11-17,62
2022-11-18,72
2022-11-19,78
2022-11-20,84
2022-11-21,69
2022-11-22,65
2022-11-23,78
2022-11-24,74
2022-11-25,100
2022-11-26,74
2022-11-27,80
2022-11-28,63
2022-11-29,53
2022-11-30,55
2022-12-01,53
2022-12-02,58
2022-12-03,68
2022-12-04,78
2022-12-05,56
2022-12-06,63
2022-12-07,59
2022-12-08,56
2022-12-09,59
2022-12-10,69
2022-12-11,75
2022-12-12,62
2022-12-13,60
2022-12-14,58
2022-12-15,62
2022-12-16,64
2022-12-17,77
2022-12-18,74
2022-12-19,69
2022-12-20,71
2022-12-21,76
2022-12-22,70
2022-12-23,74
2022-12-24,78
2022-12-25,44
2022-12-26,70
2022-12-27,64
2022-12-28,61
2022-12-29,60
2022-12-30,65
2022-12-31,71
2023-01-01,64
2023-01-02,70
2023-01-03,56
2023-01-04,51
2023-01-05,54
2023-01-06,56
2023-01-07,66
2023-01-08,66
2023-01-09,57
2023-01-10,52
2023-01-11,57
2023-01-12,52
2023-01-13,51
2023-01-14,66
2023-01-15,64
2023-01-16,59
2023-01-17,54
2023-01-18,51
2023-01-19,50
2023-01-20,54
2023-01-21,61
2023-01-22,61
2023-01-23,51
2023-01-24,53
2023-01-25,48
2023-01-26,50
2023-01-27,53
2023-01-28,65
2023-01-29,58
2023-01-30,50
2023-01-31,51
2023-02-01,53
2023-02-02,53
2023-02-03,53
2023-02-04,65
2023-02-05,69
2023-02-06,50
2023-02-07,51
2023-02-08,54
2023-02-09,52
2023-02-10,55
2023-02-11,70
2023-02-12,63
2023-02-13,47
2023-02-14,48
2023-02-15,47
2023-02-16,53
2023-02-17,56
2023-02-18,67
2023-02-19,72
2023-02-20,56
2023-02-21,51
2023-02-22,47
2023-02-23,48
2023-02-24,54
2023-02-25,68
2023-02-26,62
2023-02-27,51
2023-02-28,47
2023-03-01,50
2023-03-02,50
2023-03-03,50
2023-03-04,62
2023-03-05,65
2023-03-06,56
2023-03-07,53
2023-03-08,52
2023-03-09,52
2023-03-10,53
2023-03-11,64
2023-03-12,68
2023-03-13,49
2023-03-14,52
2023-03-15,58
2023-03-16,56
2023-03-17,52
2023-03-18,64
2023-03-19,68
2023-03-20,53
2023-03-21,54
2023-03-22,52
2023-03-23,57
2023-03-24,57
2023-03-25,61
2023-03-26,68
2023-03-27,53
2023-03-28,52
2023-03-29,51
2023-03-30,54
2023-03-31,54
2023-04-01,67
2023-04-02,66
2023-04-03,61
2023-04-04,58
2023-04-05,54
2023-04-06,53
2023-04-07,61
2023-04-08,73
2023-04-09,70
2023-04-10,54
2023-04-11,51
2023-04-12,58
2023-04-13,59
2023-04-14,73
2023-04-15,80
2023-04-16,82
2023-04-17,66
2023-04-18,60
2023-04-19,60
2023-04-20,57
2023-04-21,58
2023-04-22,67
2023-04-23,70
2023-04-24,54
2023-04-25,54
2023-04-26,54
2023-04-27,57
2023-04-28,60
2023-04-29,69
2023-04-30,73
2023-05-01,59
2023-05-02,54
2023-05-03,53
2023-05-04,55
2023-05-05,60
2023-05-06,73
2023-05-07,72
2023-05-08,58
2023-05-09,57
2023-05-10,56
2023-05-11,55
2023-05-12,59
2023-05-13,73
2023-05-14,66
2023-05-15,57
2023-05-16,58
2023-05-17,57
2023-05-18,63
2023-05-19,61
2023-05-20,72
2023-05-21,77
2023-05-22,57
2023-05-23,59
2023-05-24,58
2023-05-25,63
