Time,florida basketball
2023-04-26,4
2023-04-27,5
2023-04-28,5
2023-04-29,5
2023-04-30,5
2023-05-01,6
2023-05-02,6
2023-05-03,4
2023-05-04,4
2023-05-05,5
2023-05-06,6
2023-05-07,6
2023-05-08,6
2023-05-09,6
2023-05-10,5
2023-05-11,5
2023-05-12,4
2023-05-13,6
2023-05-14,5
2023-05-15,5
2023-05-16,5
2023-05-17,6
2023-05-18,5
2023-05-19,5
2023-05-20,5
2023-05-21,6
2023-05-22,5
2023-05-23,6
2023-05-24,5
2023-05-25,4
2023-05-26,4
2023-05-27,5
2023-05-28,8
2023-05-29,4
2023-05-30,6
2023-05-31,4
2023-06-01,6
2023-06-02,6
2023-06-03,5
2023-06-04,6
2023-06-05,6
2023-06-06,5
2023-06-07,5
2023-06-08,6
2023-06-09,5
2023-06-10,6
2023-06-11,5
2023-06-12,4
2023-06-13,5
2023-06-14,5
2023-06-15,5
2023-06-16,4
2023-06-17,4
2023-06-18,5
2023-06-19,4
2023-06-20,3
2023-06-21,5
2023-06-22,5
2023-06-23,5
2023-06-24,5
2023-06-25,5
2023-06-26,6
2023-06-27,8
2023-06-28,5
2023-06-29,4
2023-06-30,3
2023-07-01,4
2023-07-02,3
2023-07-03,3
2023-07-04,4
2023-07-05,4
2023-07-06,4
2023-07-07,4
2023-07-08,4
2023-07-09,4
2023-07-10,5
2023-07-11,3
2023-07-12,4
2023-07-13,4
2023-07-14,4
2023-07-15,4
2023-07-16,4
2023-07-17,4
2023-07-18,4
2023-07-19,4
2023-07-20,4
2023-07-21,3
2023-07-22,4
2023-07-23,3
2023-07-24,4
2023-07-25,4
2023-07-26,4
2023-07-27,4
2023-07-28,3
2023-07-29,3
2023-07-30,7
2023-07-31,4
2023-08-01,4
2023-08-02,4
2023-08-03,4
2023-08-04,3
2023-08-05,5
2023-08-06,3
2023-08-07,3
2023-08-08,4
2023-08-09,4
2023-08-10,4
2023-08-11,3
2023-08-12,3
2023-08-13,4
2023-08-14,4
2023-08-15,4
2023-08-16,3
2023-08-17,4
2023-08-18,3
2023-08-19,3
2023-08-20,3
2023-08-21,3
2023-08-22,3
2023-08-23,4
2023-08-24,5
2023-08-25,4
2023-08-26,5
2023-08-27,5
2023-08-28,4
2023-08-29,4
2023-08-30,5
2023-08-31,5
2023-09-01,5
2023-09-02,4
2023-09-03,5
2023-09-04,8
2023-09-05,4
2023-09-06,4
2023-09-07,4
2023-09-08,3
2023-09-09,4
2023-09-10,6
2023-09-11,3
2023-09-12,4
2023-09-13,3
2023-09-14,4
2023-09-15,3
2023-09-16,6
2023-09-17,4
2023-09-18,4
2023-09-19,4
2023-09-20,3
2023-09-21,4
2023-09-22,4
2023-09-23,5
2023-09-24,4
2023-09-25,4
2023-09-26,4
2023-09-27,4
2023-09-28,3
2023-09-29,4
2023-09-30,5
2023-10-01,5
2023-10-02,3
2023-10-03,4
2023-10-04,5
2023-10-05,4
2023-10-06,4
2023-10-07,5
2023-10-08,5
2023-10-09,3
2023-10-10,5
2023-10-11,3
2023-10-12,5
2023-10-13,3
2023-10-14,7
2023-10-15,5
2023-10-16,7
2023-10-17,6
2023-10-18,4
2023-10-19,5
2023-10-20,5
2023-10-21,7
2023-10-22,6
2023-10-23,4
2023-10-24,6
2023-10-25,5
2023-10-26,5
2023-10-27,5
2023-10-28,10
2023-10-29,6
2023-10-30,6
2023-10-31,5
2023-11-01,6
2023-11-02,7
2023-11-03,7
2023-11-04,11
2023-11-05,8
2023-11-06,13
2023-11-07,34
2023-11-08,31
2023-11-09,23
2023-11-10,30
2023-11-11,41
2023-11-12,19
2023-11-13,18
2023-11-14,24
2023-11-15,21
2023-11-16,18
2023-11-17,25
2023-11-18,43
2023-11-19,28
2023-11-20,22
2023-11-21,31
2023-11-22,24
2023-11-23,47
2023-11-24,34
2023-11-25,36
2023-11-26,33
2023-11-27,14
2023-11-28,14
2023-11-29,23
2023-11-30,41
2023-12-01,18
2023-12-02,39
2023-12-03,48
2023-12-04,17
2023-12-05,21
2023-12-06,26
2023-12-07,12
2023-12-08,11
2023-12-09,35
2023-12-10,20
2023-12-11,11
2023-12-12,11
2023-12-13,15
2023-12-14,18
2023-12-15,20
2023-12-16,22
2023-12-17,18
2023-12-18,12
2023-12-19,19
2023-12-20,41
2023-12-21,19
2023-12-22,28
2023-12-23,37
2023-12-24,15
2023-12-25,10
2023-12-26,10
2023-12-27,10
2023-12-28,11
2023-12-29,16
2023-12-30,42
2023-12-31,27
2024-01-01,11
2024-01-02,14
2024-01-03,23
2024-01-04,25
2024-01-05,22
2024-01-06,100
2024-01-07,28
2024-01-08,10
2024-01-09,15
2024-01-10,24
2024-01-11,32
2024-01-12,29
2024-01-13,47
2024-01-14,33
2024-01-15,13
2024-01-16,36
2024-01-17,26
2024-01-18,27
2024-01-19,27
2024-01-20,28
