Time,cnbc
2025-04-15,79
2025-04-16,81
2025-04-17,81
2025-04-18,47
2025-04-19,16
2025-04-20,23
2025-04-21,100
2025-04-22,86
2025-04-23,85
2025-04-24,77
2025-04-25,63
2025-04-26,17
2025-04-27,22
2025-04-28,74
2025-04-29,72
2025-04-30,75
2025-05-01,70
2025-05-02,67
2025-05-03,21
2025-05-04,21
2025-05-05,69
2025-05-06,67
2025-05-07,70
2025-05-08,71
2025-05-09,62
2025-05-10,18
2025-05-11,27
2025-05-12,88
2025-05-13,71
2025-05-14,63
2025-05-15,63
2025-05-16,57
2025-05-17,20
2025-05-18,23
2025-05-19,65
2025-05-20,64
2025-05-21,71
2025-05-22,66
2025-05-23,59
2025-05-24,17
2025-05-25,17
2025-05-26,28
2025-05-27,66
2025-05-28,69
2025-05-29,79
2025-05-30,63
2025-05-31,18
2025-06-01,20
2025-06-02,65
2025-06-03,65
2025-06-04,64
2025-06-05,65
2025-06-06,64
2025-06-07,17
2025-06-08,19
2025-06-09,65
2025-06-10,67
2025-06-11,67
2025-06-12,63
2025-06-13,71
2025-06-14,20
2025-06-15,23
2025-06-16,66
2025-06-17,66
2025-06-18,64
2025-06-19,46
2025-06-20,53
2025-06-21,15
2025-06-22,39
2025-06-23,74
2025-06-24,64
2025-06-25,57
2025-06-26,59
2025-06-27,60
2025-06-28,15
2025-06-29,20
2025-06-30,62
2025-07-01,60
2025-07-02,60
2025-07-03,56
2025-07-04,21
2025-07-05,16
2025-07-06,22
2025-07-07,69
2025-07-08,62
2025-07-09,60
2025-07-10,63
2025-07-11,57
2025-07-12,19
2025-07-13,24
2025-07-14,64
2025-07-15,72
2025-07-16,64
2025-07-17,63
2025-07-18,57
2025-07-19,23
2025-07-20,24
2025-07-21,70
2025-07-22,68
2025-07-23,75
2025-07-24,66
2025-07-25,60
2025-07-26,23
2025-07-27,32
2025-07-28,72
2025-07-29,79
2025-07-30,79
2025-07-31,81
2025-08-01,82
2025-08-02,20
2025-08-03,21
2025-08-04,70
2025-08-05,79
2025-08-06,72
2025-08-07,71
2025-08-08,58
2025-08-09,19
2025-08-10,21
2025-08-11,66
2025-08-12,66
2025-08-13,63
2025-08-14,66
2025-08-15,58
2025-08-16,16
2025-08-17,21
2025-08-18,64
2025-08-19,64
2025-08-20,63
2025-08-21,58
2025-08-22,67
2025-08-23,17
2025-08-24,21
2025-08-25,62
2025-08-26,60
2025-08-27,65
2025-08-28,57
2025-08-29,57
2025-08-30,14
2025-08-31,14
2025-09-01,23
2025-09-02,65
2025-09-03,60
2025-09-04,58
2025-09-05,60
2025-09-06,15
2025-09-07,18
2025-09-08,62
2025-09-09,62
2025-09-10,63
2025-09-11,64
2025-09-12,52
2025-09-13,16
2025-09-14,18
2025-09-15,57
2025-09-16,59
2025-09-17,75
2025-09-18,61
2025-09-19,54
2025-09-20,17
2025-09-21,19
2025-09-22,61
2025-09-23,59
2025-09-24,59
2025-09-25,57
2025-09-26,52
2025-09-27,16
2025-09-28,16
2025-09-29,54
2025-09-30,59
2025-10-01,61
2025-10-02,59
2025-10-03,51
2025-10-04,15
2025-10-05,18
2025-10-06,57
2025-10-07,57
2025-10-08,54
2025-10-09,57
2025-10-10,66
2025-10-11,21
2025-10-12,25
2025-10-13,67
2025-10-14,69
2025-10-15,63
2025-10-16,64
2025-10-17,62
2025-10-18,15
2025-10-19,18
2025-10-20,63
2025-10-21,57
2025-10-22,61
2025-10-23,59
2025-10-24,58
2025-10-25,17
2025-10-26,21
2025-10-27,61
2025-10-28,61
2025-10-29,72
2025-10-30,67
2025-10-31,56
2025-11-01,20
2025-11-02,20
2025-11-03,61
2025-11-04,64
2025-11-05,65
2025-11-06,67
2025-11-07,65
2025-11-08,21
2025-11-09,21
2025-11-10,66
2025-11-11,59
2025-11-12,61
2025-11-13,71
2025-11-14,63
2025-11-15,19
2025-11-16,19
2025-11-17,64
2025-11-18,66
2025-11-19,69
2025-11-20,72
2025-11-21,66
2025-11-22,20
2025-11-23,20
2025-11-24,63
2025-11-25,60
2025-11-26,55
2025-11-27,21
2025-11-28,39
2025-11-29,16
2025-11-30,19
2025-12-01,58
2025-12-02,57
2025-12-03,56
2025-12-04,54
2025-12-05,54
2025-12-06,19
2025-12-07,18
2025-12-08,54
2025-12-09,54
2025-12-10,66
2025-12-11,68
2025-12-12,58
2025-12-13,20
2025-12-14,20
2025-12-15,64
2025-12-16,57
2025-12-17,57
2025-12-18,58
2025-12-19,56
2025-12-20,17
2025-12-21,17
2025-12-22,54
2025-12-23,52
2025-12-24,38
2025-12-25,19
2025-12-26,47
2025-12-27,17
2025-12-28,16
2025-12-29,49
2025-12-30,47
2025-12-31,43
2026-01-01,19
2026-01-02,47
2026-01-03,20
2026-01-04,20
2026-01-05,57
2026-01-06,57
2026-01-07,56
2026-01-08,56
2026-01-09,53
