Time,cnbc
2024-08-18,11
2024-08-19,35
2024-08-20,37
2024-08-21,39
2024-08-22,37
2024-08-23,38
2024-08-24,12
2024-08-25,11
2024-08-26,37
2024-08-27,33
2024-08-28,42
2024-08-29,36
2024-08-30,29
2024-08-31,8
2024-09-01,9
2024-09-02,12
2024-09-03,36
2024-09-04,36
2024-09-05,37
2024-09-06,36
2024-09-07,9
2024-09-08,9
2024-09-09,35
2024-09-10,34
2024-09-11,38
2024-09-12,35
2024-09-13,31
2024-09-14,9
2024-09-15,9
2024-09-16,34
2024-09-17,35
2024-09-18,51
2024-09-19,39
2024-09-20,33
2024-09-21,9
2024-09-22,10
2024-09-23,34
2024-09-24,33
2024-09-25,31
2024-09-26,33
2024-09-27,30
2024-09-28,8
2024-09-29,9
2024-09-30,32
2024-10-01,34
2024-10-02,34
2024-10-03,32
2024-10-04,32
2024-10-05,9
2024-10-06,9
2024-10-07,32
2024-10-08,28
2024-10-09,29
2024-10-10,31
2024-10-11,28
2024-10-12,7
2024-10-13,9
2024-10-14,29
2024-10-15,31
2024-10-16,29
2024-10-17,30
2024-10-18,28
2024-10-19,8
2024-10-20,9
2024-10-21,29
2024-10-22,32
2024-10-23,35
2024-10-24,33
2024-10-25,29
2024-10-26,8
2024-10-27,10
2024-10-28,29
2024-10-29,32
2024-10-30,31
2024-10-31,33
2024-11-01,31
2024-11-02,9
2024-11-03,9
2024-11-04,32
2024-11-05,35
2024-11-06,52
2024-11-07,40
2024-11-08,35
2024-11-09,10
2024-11-10,10
2024-11-11,31
2024-11-12,33
2024-11-13,34
2024-11-14,31
2024-11-15,28
2024-11-16,9
2024-11-17,9
2024-11-18,31
2024-11-19,32
2024-11-20,36
2024-11-21,33
2024-11-22,30
2024-11-23,10
2024-11-24,9
2024-11-25,34
2024-11-26,31
2024-11-27,29
2024-11-28,10
2024-11-29,21
2024-11-30,9
2024-12-01,9
2024-12-02,27
2024-12-03,28
2024-12-04,30
2024-12-05,31
2024-12-06,29
2024-12-07,9
2024-12-08,8
2024-12-09,28
2024-12-10,29
2024-12-11,28
2024-12-12,30
2024-12-13,28
2024-12-14,10
2024-12-15,10
2024-12-16,29
2024-12-17,29
2024-12-18,42
2024-12-19,41
2024-12-20,38
2024-12-21,9
2024-12-22,9
2024-12-23,30
2024-12-24,24
2024-12-25,10
2024-12-26,30
2024-12-27,30
2024-12-28,9
2024-12-29,9
2024-12-30,33
2024-12-31,29
2025-01-01,11
2025-01-02,33
2025-01-03,30
2025-01-04,10
2025-01-05,9
2025-01-06,32
2025-01-07,35
2025-01-08,31
2025-01-09,25
2025-01-10,34
2025-01-11,9
2025-01-12,10
2025-01-13,34
2025-01-14,32
2025-01-15,34
2025-01-16,32
2025-01-17,29
2025-01-18,9
2025-01-19,9
2025-01-20,22
2025-01-21,37
2025-01-22,33
2025-01-23,34
2025-01-24,34
2025-01-25,10
2025-01-26,9
2025-01-27,46
2025-01-28,40
2025-01-29,41
2025-01-30,38
2025-01-31,37
2025-02-01,13
2025-02-02,18
2025-02-03,54
2025-02-04,40
2025-02-05,37
2025-02-06,35
2025-02-07,35
2025-02-08,10
2025-02-09,10
2025-02-10,34
2025-02-11,32
2025-02-12,35
2025-02-13,33
2025-02-14,31
2025-02-15,10
2025-02-16,9
2025-02-17,20
2025-02-18,34
2025-02-19,33
2025-02-20,33
2025-02-21,35
2025-02-22,11
2025-02-23,11
2025-02-24,38
2025-02-25,38
2025-02-26,38
2025-02-27,38
2025-02-28,38
2025-03-01,11
2025-03-02,11
2025-03-03,41
2025-03-04,54
2025-03-05,46
2025-03-06,45
2025-03-07,42
2025-03-08,11
2025-03-09,12
2025-03-10,51
2025-03-11,63
2025-03-12,50
2025-03-13,49
2025-03-14,41
2025-03-15,11
2025-03-16,12
2025-03-17,40
2025-03-18,40
2025-03-19,38
2025-03-20,35
2025-03-21,33
2025-03-22,9
2025-03-23,11
2025-03-24,35
2025-03-25,33
2025-03-26,37
2025-03-27,34
2025-03-28,37
2025-03-29,11
2025-03-30,13
2025-03-31,42
2025-04-01,38
2025-04-02,50
2025-04-03,79
2025-04-04,75
2025-04-05,21
2025-04-06,29
2025-04-07,100
2025-04-08,70
2025-04-09,88
2025-04-10,66
2025-04-11,58
2025-04-12,17
2025-04-13,20
2025-04-14,54
2025-04-15,45
2025-04-16,47
2025-04-17,46
2025-04-18,27
2025-04-19,9
2025-04-20,13
2025-04-21,58
2025-04-22,50
2025-04-23,49
2025-04-24,45
2025-04-25,36
2025-04-26,10
2025-04-27,12
2025-04-28,43
2025-04-29,42
2025-04-30,43
2025-05-01,40
2025-05-02,39
2025-05-03,12
2025-05-04,12
2025-05-05,40
2025-05-06,39
2025-05-07,40
2025-05-08,41
2025-05-09,36
2025-05-10,10
2025-05-11,15
2025-05-12,51
2025-05-13,41
2025-05-14,37
