Time,cnbc
2023-04-26,82
2023-04-27,86
2023-04-28,76
2023-04-29,22
2023-04-30,28
2023-05-01,90
2023-05-02,88
2023-05-03,100
2023-05-04,91
2023-05-05,79
2023-05-06,27
2023-05-07,26
2023-05-08,83
2023-05-09,81
2023-05-10,85
2023-05-11,81
2023-05-12,75
2023-05-13,21
2023-05-14,23
2023-05-15,80
2023-05-16,84
2023-05-17,88
2023-05-18,83
2023-05-19,80
2023-05-20,25
2023-05-21,26
2023-05-22,86
2023-05-23,87
2023-05-24,88
2023-05-25,99
2023-05-26,83
2023-05-27,23
2023-05-28,29
2023-05-29,39
2023-05-30,87
2023-05-31,87
2023-06-01,87
2023-06-02,89
2023-06-03,22
2023-06-04,30
2023-06-05,95
2023-06-06,91
2023-06-07,81
2023-06-08,81
2023-06-09,75
2023-06-10,21
2023-06-11,24
2023-06-12,83
2023-06-13,90
2023-06-14,97
2023-06-15,84
2023-06-16,72
2023-06-17,22
2023-06-18,23
2023-06-19,54
2023-06-20,82
2023-06-21,79
2023-06-22,73
2023-06-23,72
2023-06-24,22
2023-06-25,23
2023-06-26,81
2023-06-27,76
2023-06-28,75
2023-06-29,77
2023-06-30,71
2023-07-01,20
2023-07-02,24
2023-07-03,66
2023-07-04,30
2023-07-05,82
2023-07-06,85
2023-07-07,80
2023-07-08,25
2023-07-09,25
2023-07-10,83
2023-07-11,84
2023-07-12,86
2023-07-13,82
2023-07-14,78
2023-07-15,23
2023-07-16,27
2023-07-17,83
2023-07-18,80
2023-07-19,84
2023-07-20,81
2023-07-21,70
2023-07-22,19
2023-07-23,25
2023-07-24,75
2023-07-25,80
2023-07-26,86
2023-07-27,81
2023-07-28,75
2023-07-29,21
2023-07-30,25
2023-07-31,79
2023-08-01,82
2023-08-02,91
2023-08-03,91
2023-08-04,76
2023-08-05,30
2023-08-06,27
2023-08-07,85
2023-08-08,87
2023-08-09,82
2023-08-10,81
2023-08-11,75
2023-08-12,17
2023-08-13,23
2023-08-14,81
2023-08-15,74
2023-08-16,81
2023-08-17,81
2023-08-18,74
2023-08-19,22
2023-08-20,23
2023-08-21,78
2023-08-22,77
2023-08-23,82
2023-08-24,78
2023-08-25,76
2023-08-26,22
2023-08-27,23
2023-08-28,73
2023-08-29,71
2023-08-30,71
2023-08-31,70
2023-09-01,64
2023-09-02,17
2023-09-03,16
2023-09-04,27
2023-09-05,72
2023-09-06,71
2023-09-07,69
2023-09-08,62
2023-09-09,17
2023-09-10,20
2023-09-11,70
2023-09-12,69
2023-09-13,71
2023-09-14,67
2023-09-15,66
2023-09-16,19
2023-09-17,20
2023-09-18,68
2023-09-19,70
2023-09-20,79
2023-09-21,74
2023-09-22,61
2023-09-23,19
2023-09-24,19
2023-09-25,71
2023-09-26,72
2023-09-27,75
2023-09-28,74
2023-09-29,70
2023-09-30,21
2023-10-01,24
2023-10-02,76
2023-10-03,85
2023-10-04,82
2023-10-05,74
2023-10-06,79
2023-10-07,22
2023-10-08,27
2023-10-09,81
2023-10-10,79
2023-10-11,73
2023-10-12,79
2023-10-13,69
2023-10-14,19
2023-10-15,23
2023-10-16,74
2023-10-17,78
2023-10-18,78
2023-10-19,81
2023-10-20,72
2023-10-21,21
2023-10-22,22
2023-10-23,78
2023-10-24,71
2023-10-25,76
2023-10-26,83
2023-10-27,74
2023-10-28,22
2023-10-29,22
2023-10-30,77
2023-10-31,73
2023-11-01,81
2023-11-02,79
2023-11-03,77
2023-11-04,21
2023-11-05,22
2023-11-06,81
2023-11-07,73
2023-11-08,74
2023-11-09,73
2023-11-10,71
2023-11-11,19
2023-11-12,19
2023-11-13,71
2023-11-14,84
2023-11-15,81
2023-11-16,75
2023-11-17,67
2023-11-18,20
2023-11-19,20
2023-11-20,76
2023-11-21,73
2023-11-22,66
2023-11-23,22
2023-11-24,52
2023-11-25,16
2023-11-26,22
2023-11-27,68
2023-11-28,65
2023-11-29,70
2023-11-30,79
2023-12-01,73
2023-12-02,20
2023-12-03,20
2023-12-04,72
2023-12-05,73
2023-12-06,68
2023-12-07,66
2023-12-08,70
2023-12-09,17
2023-12-10,20
2023-12-11,76
2023-12-12,74
2023-12-13,79
2023-12-14,75
2023-12-15,74
2023-12-16,20
2023-12-17,20
2023-12-18,75
2023-12-19,74
2023-12-20,83
2023-12-21,76
2023-12-22,70
2023-12-23,18
2023-12-24,15
2023-12-25,21
2023-12-26,69
2023-12-27,67
2023-12-28,64
2023-12-29,67
2023-12-30,18
2023-12-31,15
2024-01-01,22
2024-01-02,76
2024-01-03,79
2024-01-04,69
2024-01-05,67
2024-01-06,19
2024-01-07,19
2024-01-08,72
2024-01-09,71
2024-01-10,77
2024-01-11,79
2024-01-12,71
2024-01-13,18
2024-01-14,17
2024-01-15,37
2024-01-16,70
2024-01-17,70
2024-01-18,70
2024-01-19,67
2024-01-20,19
