Time,tesla stock
2022-01-01,13
2022-01-02,14
2022-01-03,72
2022-01-04,84
2022-01-05,61
2022-01-06,46
2022-01-07,50
2022-01-08,17
2022-01-09,11
2022-01-10,47
2022-01-11,52
2022-01-12,43
2022-01-13,56
2022-01-14,39
2022-01-15,13
2022-01-16,8
2022-01-17,17
2022-01-18,39
2022-01-19,38
2022-01-20,41
2022-01-21,46
2022-01-22,21
2022-01-23,13
2022-01-24,84
2022-01-25,52
2022-01-26,60
2022-01-27,77
2022-01-28,75
2022-01-29,24
2022-01-30,13
2022-01-31,56
2022-02-01,57
2022-02-02,53
2022-02-03,49
2022-02-04,52
2022-02-05,16
2022-02-06,11
2022-02-07,43
2022-02-08,43
2022-02-09,43
2022-02-10,38
2022-02-11,45
2022-02-12,15
2022-02-13,10
2022-02-14,41
2022-02-15,46
2022-02-16,42
2022-02-17,40
2022-02-18,53
2022-02-19,14
2022-02-20,9
2022-02-21,17
2022-02-22,46
2022-02-23,46
2022-02-24,73
2022-02-25,52
2022-02-26,15
2022-02-27,10
2022-02-28,46
2022-03-01,46
2022-03-02,42
2022-03-03,40
2022-03-04,40
2022-03-05,14
2022-03-06,11
2022-03-07,47
2022-03-08,45
2022-03-09,43
2022-03-10,42
2022-03-11,40
2022-03-12,16
2022-03-13,11
2022-03-14,44
2022-03-15,44
2022-03-16,45
2022-03-17,48
2022-03-18,43
2022-03-19,14
2022-03-20,10
2022-03-21,42
2022-03-22,50
2022-03-23,52
2022-03-24,51
2022-03-25,40
2022-03-26,14
2022-03-27,11
2022-03-28,84
2022-03-29,77
2022-03-30,62
2022-03-31,45
2022-04-01,43
2022-04-02,20
2022-04-03,16
2022-04-04,57
2022-04-05,45
2022-04-06,43
2022-04-07,40
2022-04-08,45
2022-04-09,17
2022-04-10,12
2022-04-11,44
2022-04-12,45
2022-04-13,41
2022-04-14,46
2022-04-15,29
2022-04-16,13
2022-04-17,11
2022-04-18,41
2022-04-19,39
2022-04-20,71
2022-04-21,85
2022-04-22,49
2022-04-23,21
2022-04-24,15
2022-04-25,58
2022-04-26,79
2022-04-27,96
2022-04-28,80
2022-04-29,73
2022-04-30,28
2022-05-01,16
2022-05-02,48
2022-05-03,41
2022-05-04,41
2022-05-05,49
2022-05-06,51
2022-05-07,17
2022-05-08,11
2022-05-09,57
2022-05-10,65
2022-05-11,68
2022-05-12,67
2022-05-13,58
2022-05-14,21
2022-05-15,14
2022-05-16,49
2022-05-17,48
2022-05-18,58
2022-05-19,65
2022-05-20,83
2022-05-21,36
2022-05-22,20
2022-05-23,56
2022-05-24,65
2022-05-25,60
2022-05-26,54
2022-05-27,52
2022-05-28,19
2022-05-29,12
2022-05-30,15
2022-05-31,49
2022-06-01,45
2022-06-02,45
2022-06-03,57
2022-06-04,31
2022-06-05,13
2022-06-06,50
2022-06-07,48
2022-06-08,43
2022-06-09,45
2022-06-10,49
2022-06-11,24
2022-06-12,15
2022-06-13,59
2022-06-14,52
2022-06-15,50
2022-06-16,56
2022-06-17,47
2022-06-18,19
2022-06-19,12
2022-06-20,24
2022-06-21,50
2022-06-22,50
2022-06-23,45
2022-06-24,44
2022-06-25,15
2022-06-26,11
2022-06-27,40
2022-06-28,42
2022-06-29,44
2022-06-30,39
2022-07-01,38
2022-07-02,15
2022-07-03,10
2022-07-04,11
2022-07-05,40
2022-07-06,37
2022-07-07,41
2022-07-08,45
2022-07-09,20
2022-07-10,11
2022-07-11,43
2022-07-12,40
2022-07-13,42
2022-07-14,39
2022-07-15,38
2022-07-16,11
2022-07-17,8
2022-07-18,36
2022-07-19,38
2022-07-20,54
2022-07-21,59
2022-07-22,51
2022-07-23,13
2022-07-24,10
2022-07-25,39
2022-07-26,41
2022-07-27,41
2022-07-28,46
2022-07-29,44
2022-07-30,15
2022-07-31,10
2022-08-01,46
2022-08-02,45
2022-08-03,50
2022-08-04,56
2022-08-05,65
2022-08-06,20
2022-08-07,14
2022-08-08,48
2022-08-09,43
2022-08-10,59
2022-08-11,47
2022-08-12,48
2022-08-13,17
2022-08-14,12
2022-08-15,48
2022-08-16,50
2022-08-17,45
2022-08-18,43
2022-08-19,40
2022-08-20,13
2022-08-21,10
2022-08-22,44
2022-08-23,48
2022-08-24,62
2022-08-25,100
2022-08-26,64
2022-08-27,24
2022-08-28,15
2022-08-29,46
2022-08-30,47
2022-08-31,43
2022-09-01,41
2022-09-02,40
2022-09-03,13
2022-09-04,8
2022-09-05,12
2022-09-06,37
2022-09-07,38
2022-09-08,37
2022-09-09,41
2022-09-10,14
2022-09-11,10
2022-09-12,38
2022-09-13,46
2022-09-14,47
2022-09-15,44
2022-09-16,37
2022-09-17,12
2022-09-18,8
2022-09-19,38
2022-09-20,39
2022-09-21,45
2022-09-22,38
2022-09-23,39
2022-09-24,15
2022-09-25,11
2022-09-26,39
2022-09-27,36
