"query","search interest","increase percent"
"us election results",6,"Breakout"
"2024 us election results",4,"Breakout"
"house election results",3,"Breakout"
"2024 united states presidential election",3,"Breakout"
"election results",55,"Breakout"
"election results so far",5,"Breakout"
"live election results",3,"Breakout"
"election results 2024",13,"Breakout"
"who won the election 2024",2,"Breakout"
"2024 election results",13,"Breakout"
"election results map",2,"Breakout"
"who won the election",3,"Breakout"
"us election 2024",5,"Breakout"
"2024 united states elections",2,"Breakout"
"presidential election results",4,"4,450%"
"2024 united states elections results",1,"4,250%"
"presidential results",4,"3,650%"
"election map",6,"3,400%"
"fox news election results",1,"3,300%"
"us election",8,"2,900%"
"vote results",2,"2,850%"
"quincy jones",1,"2,800%"
"election updates",1,"2,550%"
"cnn election results",1,"2,550%"
"susie wiles",1,"2,500%"
"election map 2024",2,"2,300%"
"current election results",1,"2,150%"
"how to vote in the us",2,"2,000%"
"election",100,"1,850%"
"electoral votes",4,"1,850%"
"2024 presidential election",5,"1,800%"
"2024 election",28,"1,700%"
"presidential election 2024",5,"1,700%"
"election 2024",26,"1,650%"
"robert kennedy",1,"1,650%"
"electoral votes by state",1,"1,500%"
"jill stein",2,"1,450%"
"who is winning the election right now",1,"1,450%"
"chase oliver",1,"1,450%"
"pennsylvania election results",1,"1,450%"
"presidential election",12,"1,400%"
"electoral map",3,"1,400%"
"2020 election results",1,"1,400%"
"electoral college map",1,"1,350%"
"house of representatives",2,"1,250%"
"who's winning the election",1,"1,250%"
"who is winning the election",3,"1,250%"
"election update",0,"1,200%"
"elections",8,"1,150%"
"kari lake",1,"1,050%"
