"query","search interest","increase percent"
"krill",4,"2,300%"
"russell brand",3,"1,700%"
"warriors vs lakers",4,"800%"
"types of flooring",1,"500%"
"dodgers vs phillies",1,"450%"
"warriors",11,"250%"
"lakers",15,"200%"
"cubs",4,"110%"
"minecraft movie",19,"100%"
"the pitt",3,"80%"
"ncaa women's basketball",1,"80%"
"sephora",5,"70%"
"women's march madness",1,"60%"
"texas roadhouse",2,"50%"
"yellowjackets",2,"50%"
"ja morant",1,"50%"
"wordle hint",2,"50%"
"laura loomer",2,"40%"
"math playground",2,"40%"
"minecraft",37,"40%"
"abcya",2,"40%"
"restaurants near me",5,"30%"
"red sox",5,"30%"
"tiktok",14,"30%"
"dominos",3,"20%"
"cool math games",6,"20%"
"padres",3,"20%"
"pbs kids",1,"20%"
"nvidia stock",3,"20%"
"nba scores",2,"20%"
"yankees",8,"20%"
"pizza hut",3,"20%"
"blooket join",3,"20%"
"little caesars",2,"20%"
"ulta",3,"20%"
"gimkit",7,"20%"
"stocks",7,"10%"
"apple stock",2,"10%"
"food near me",9,"10%"
"nba",24,"10%"
"nba standings",3,"10%"
"bitcoin price",4,"10%"
"djia",4,"10%"
"blooket",17,"10%"
"amazon stock",2,"10%"
"voo",3,"10%"
"roblox",8,"10%"
"prodigy",3,"10%"
"fidelity login",1,"10%"
"trump",31,"10%"
