"query","search interest","increase percent"
"amanda aldridge",9,"Breakout"
"ryan grantham",1,"700%"
"lauren boebert",1,"300%"
"full moon june 2022",1,"250%"
"justin bieber",5,"200%"
"juneteenth",10,"200%"
"btc",2,"190%"
"bitcoin price",6,"180%"
"us open golf",1,"180%"
"ezra miller",2,"180%"
"ramsay hunt syndrome",5,"160%"
"steph curry",3,"140%"
"stephen curry",1,"120%"
"severe thunderstorm warning",2,"110%"
"dall e",3,"100%"
"dall e mini",2,"90%"
"golden state warriors",5,"90%"
"ufc",5,"70%"
"bath and body works",3,"60%"
"nba finals",14,"60%"
"warriors",25,"60%"
"celtics vs warriors",7,"50%"
"fathers day",7,"50%"
"dow jones today",3,"50%"
"warriors vs celtics",7,"40%"
"dow jones",8,"40%"
"dow",10,"40%"
"jurassic world dominion",3,"30%"
"jurassic world",9,"30%"
"celtics",23,"30%"
"nba",43,"20%"
"atlanta braves",2,"20%"
"jurassic park",4,"20%"
"phillies",3,"10%"
"victoria secret",2,"10%"
"boston celtics",4,"10%"
"nba scores",4,"10%"
"news",53,"9%"
"restaurants near me",8,"9%"
"delta airlines",2,"8%"
"tesla stock",2,"6%"
"twitter",17,"5%"
"nba playoffs",3,"5%"
"ice cream near me",1,"3%"
"omegle",2,"2%"
"traductor",10,"2%"
"facebook marketplace",3,"2%"
"hobby lobby",3,"2%"
"mlb standings",2,"1%"
"accuweather",2,"1%"
