"query","search interest","increase percent"
"amanda aldridge",11,"Breakout"
"happy fathers day",4,"2,400%"
"us open leaderboard",2,"2,250%"
"ryan grantham",1,"950%"
"us open",12,"850%"
"spiderhead",1,"750%"
"juneteenth holiday",4,"550%"
"yellowstone national park",3,"550%"
"juneteenth",21,"450%"
"us open golf",2,"450%"
"what is juneteenth",3,"400%"
"lightyear",6,"250%"
"btc",3,"250%"
"bitcoin price",7,"250%"
"bitcoin",12,"250%"
"fathers day",15,"200%"
"father's day",26,"170%"
"ezra miller",2,"140%"
"full moon june 2022",1,"130%"
"severe thunderstorm warning",2,"100%"
"dow",11,"60%"
"dow jones",8,"60%"
"steph curry",3,"50%"
"dow jones today",3,"40%"
"stephen curry",1,"40%"
"golden state warriors",4,"20%"
"when is father's day 2022",2,"20%"
"restaurants near me",9,"20%"
"warriors",21,"10%"
"tesla stock",2,"10%"
"mortgage calculator",1,"10%"
"home depot",20,"10%"
"nba",40,"10%"
"roblox",9,"10%"
"dicks sporting goods",2,"10%"
"harbor freight",3,"10%"
"dall e mini",2,"10%"
"nike",10,"10%"
"chase",11,"10%"
"walgreens",11,"10%"
"nba finals",11,"9%"
"facebook",52,"9%"
"facebook login",4,"8%"
"daily mail",2,"8%"
"mcdonalds",4,"8%"
"petsmart",2,"8%"
"gas station near me",2,"8%"
"american airlines",5,"8%"
"mlb",14,"8%"
"amazon",63,"8%"
