"query","search interest","increase percent"
"artistic swimming olympics",26,"Breakout"
"gymnastics rings olympics",13,"Breakout"
"tim walz",12,"2,450%"
"walz",15,"2,450%"
"natación artística olimpiadas",1,"1,300%"
"hurricane debby",5,"1,100%"
"tornado warning",1,"950%"
"hurricane debby path",1,"850%"
"gabby thomas",1,"800%"
"tornado watch",1,"800%"
"noah lyles",5,"750%"
"stock market",7,"300%"
"house of the dragon",3,"250%"
"kamala harris running mate",1,"250%"
"tropical storm debby",2,"250%"
"stock market today",2,"190%"
"dow jones",4,"110%"
"bitcoin price",2,"100%"
"iran",3,"100%"
"hurricane",13,"90%"
"s&p 500",1,"90%"
"jordan chiles",1,"90%"
"kamala harris vice president",1,"70%"
"tropical storm warning",1,"60%"
"leagues cup",2,"60%"
"dow jones today",1,"60%"
"weather channel",2,"50%"
"charles schwab",1,"50%"
"medal count 2024",4,"40%"
"israel",5,"40%"
"medal count",19,"30%"
"phillies",3,"30%"
"powerball",1,"30%"
"yahoo finance",1,"30%"
"nvidia stock",2,"30%"
"weather radar",3,"30%"
"olympic medal count 2024",1,"30%"
"olympic medal count",10,"20%"
"indeed",4,"20%"
"it ends with us",1,"20%"
"fidelity",3,"20%"
"summer olympic games schedule and results",1,"10%"
"cnn",5,"10%"
"american airlines",3,"10%"
"delta",6,"10%"
"adidas",3,"10%"
"gymnastics olympics 2024",1,"10%"
"olympics medal count",4,"10%"
"nvda stock",1,"10%"
"airbnb",3,"8%"
