"query","search interest","increase percent"
"austin metcalf",2,"1,400%"
"laura loomer",1,"1,200%"
"dodgers vs phillies",1,"850%"
"russell brand",1,"850%"
"flash flood warning",1,"750%"
"stock market",15,"250%"
"stock market today",5,"250%"
"minecraft movie",15,"250%"
"apple stock",2,"170%"
"la liga",2,"160%"
"s&p 500",5,"150%"
"sp500",2,"150%"
"nasdaq",4,"140%"
"mortgage rates",3,"130%"
"nashville weather",1,"130%"
"djia",3,"120%"
"dow jones",14,"120%"
"dow",18,"120%"
"s and p 500",1,"110%"
"red sox",4,"100%"
"auburn basketball",2,"90%"
"final four",8,"90%"
"dow jones today",4,"90%"
"voo",2,"80%"
"ufc",4,"80%"
"amc",4,"80%"
"warriors",7,"80%"
"spy stock",1,"70%"
"lakers",8,"60%"
"restaurants near me",4,"60%"
"nvidia stock",2,"50%"
"bitcoin price",3,"50%"
"tornado warning",4,"40%"
"qqq",1,"40%"
"ncaa women's basketball",2,"40%"
"food near me",9,"40%"
"trump",27,"40%"
"dominos",3,"40%"
"chick fil a",4,"40%"
"nba standings",3,"30%"
"yahoo finance",3,"30%"
"dodgers",8,"30%"
"nba scores",2,"30%"
"gold price today",2,"30%"
"hobby lobby",2,"30%"
"tiktok",11,"30%"
"ford",21,"30%"
"ncaa tournament",2,"30%"
"little caesars",1,"30%"
"tesla stock",6,"30%"
