"query","search interest","increase percent"
"ramsay hunt syndrome",12,"Breakout"
"piety",9,"Breakout"
"cooper noriega",5,"Breakout"
"piety definition",2,"2,300%"
"liz cheney",5,"1,200%"
"bennie thompson",1,"750%"
"justin bieber",4,"400%"
"britney spears",7,"300%"
"jason alexander",3,"250%"
"rangers",11,"170%"
"nhl scores",2,"150%"
"ny rangers",2,"140%"
"rangers game",2,"130%"
"jan 6 hearings",5,"110%"
"jurassic world dominion",6,"100%"
"trump",8,"100%"
"nhl",7,"90%"
"the boys",7,"70%"
"movies near me",2,"60%"
"jurassic world",13,"50%"
"jurassic park",5,"50%"
"yankees",7,"40%"
"dow jones",8,"40%"
"papa johns",2,"40%"
"dall e mini",2,"40%"
"amc",7,"40%"
"dominos",7,"40%"
"rebel wilson",3,"30%"
"stock market today",1,"30%"
"dow jones today",3,"30%"
"food near me",14,"20%"
"djia",1,"20%"
"liv golf leaderboard",2,"20%"
"restaurants near me",8,"20%"
"dollar general",3,"20%"
"pizza hut",4,"20%"
"walmart near me",3,"20%"
"s&p 500",1,"20%"
"fox news",12,"20%"
"pizza near me",4,"20%"
"cnbc",1,"20%"
"wordle today",5,"10%"
"breakfast near me",1,"10%"
"places to eat near me",1,"10%"
"harbor freight",3,"10%"
"wells fargo",8,"10%"
"cnn",9,"10%"
"tesla stock",2,"10%"
"kohls",4,"10%"
"wordle",40,"10%"
