"query","search interest","increase percent"
"trump shot",18,"Breakout"
"trump shooter",8,"Breakout"
"thomas crooks",8,"Breakout"
"thomas matthew crooks",6,"Breakout"
"trump shooting",7,"Breakout"
"shannen doherty",7,"Breakout"
"ingrid andress",4,"Breakout"
"richard simmons",5,"Breakout"
"who shot trump",3,"Breakout"
"jd vance",16,"4,800%"
"donald trump shot",3,"4,150%"
"microsoft outage",2,"3,400%"
"jacoby jones",2,"3,300%"
"hillbilly elegy",3,"3,150%"
"crowdstrike",4,"2,900%"
"bob newhart",2,"2,300%"
"vincent fusca",1,"2,200%"
"did trump get shot",1,"2,100%"
"jd vance wife",2,"2,100%"
"kai trump",1,"1,700%"
"trump rally today",2,"1,650%"
"usha vance",1,"1,500%"
"amber rose",2,"1,350%"
"j d vance",1,"1,250%"
"crowdstrike outage",1,"1,200%"
"trump",100,"1,200%"
"donald trump",15,"1,150%"
"trump news",6,"1,150%"
"argentina vs colombia",6,"1,100%"
"colombia vs argentina",6,"1,050%"
"melania trump",2,"900%"
"severe thunderstorm warning",2,"250%"
"college football 25",3,"250%"
"foxnews",1,"200%"
"copa america final",3,"180%"
"twisters",2,"130%"
"descendants 4",1,"120%"
"msnbc",2,"110%"
"messi",2,"80%"
"longlegs",2,"80%"
"microsoft",8,"80%"
"long legs",2,"70%"
"breaking news",1,"70%"
"cnn",8,"70%"
"ufc",3,"60%"
"fox news",6,"40%"
"bbc news",1,"40%"
"amazon prime",8,"40%"
"news",38,"30%"
"''",2,"30%"
