"query","search interest","increase percent"
"men’s march madness",8,"Breakout"
"women’s march madness",7,"Breakout"
"dire wolf",3,"4,550%"
"masters leaderboard",2,"3,600%"
"houston vs florida",1,"1,200%"
"eric dane",1,"1,000%"
"the masters",5,"700%"
"masters",17,"600%"
"piper rockelle",1,"450%"
"masters 2025",3,"450%"
"champions league",3,"350%"
"als",1,"300%"
"ufc 314",1,"250%"
"march madness",19,"250%"
"dow futures",1,"90%"
"dow",12,"80%"
"dow jones today",3,"70%"
"crumbl cookies",1,"70%"
"s&p 500",3,"70%"
"stock market today",3,"60%"
"dow jones",8,"60%"
"sp500",1,"60%"
"nba standings",2,"50%"
"s and p 500",1,"50%"
"djia",1,"50%"
"stock market",7,"50%"
"white lotus",5,"40%"
"sabrina carpenter",1,"40%"
"ufc",3,"40%"
"nasdaq",2,"40%"
"spy stock",1,"30%"
"cnbc",1,"30%"
"bitcoin price",2,"30%"
"turbotax",3,"30%"
"nvidia stock",1,"30%"
"voo",1,"20%"
"irs",5,"20%"
"nba games",2,"20%"
"amazon stock",1,"20%"
"google finance",1,"20%"
"blooket",5,"10%"
"paramount plus",1,"10%"
"epic",3,"10%"
"nba",13,"10%"
"yahoo finance",1,"10%"
"lakers",4,"10%"
"charles schwab",1,"10%"
"chatgpt",11,"10%"
"yahoo",9,"10%"
"strands",1,"10%"
