"query","search interest","increase percent"
"siobhan",8,"Breakout"
"arsenal real madrid",11,"3,000%"
"siobhan meaning",3,"2,450%"
"arsenal vs real madrid",7,"2,150%"
"fencing sword",3,"2,100%"
"octavio dotel",2,"2,000%"
"arsenal",17,"1,400%"
"ruby perez",1,"1,050%"
"real madrid",21,"850%"
"michael malone",1,"850%"
"champions league",14,"600%"
"uefa champions league",3,"550%"
"ten legged sea creature",1,"500%"
"florida basketball",14,"400%"
"florida gators basketball",3,"400%"
"florida gators",5,"400%"
"florida vs houston",12,"350%"
"houston vs florida",12,"350%"
"dire wolves",4,"300%"
"houston basketball",10,"250%"
"dire wolf",19,"250%"
"freeze warning",4,"90%"
"ncaa basketball",13,"70%"
"mlb scores",2,"60%"
"ncaa tournament",4,"60%"
"college basketball",5,"40%"
"paramount plus",2,"40%"
"ncaa",30,"40%"
"basketball game tonight",1,"40%"
"espn",8,"30%"
"dodgers",7,"20%"
"hulu",5,"20%"
"news",61,"10%"
"ipl",5,"10%"
"linkedin",9,"10%"
"mlb",14,"9%"
"tiktok",11,"8%"
"timer",6,"7%"
"sephora",4,"7%"
"cool math games",4,"7%"
"spanish to english",9,"6%"
"speed test",4,"5%"
"youtube",71,"5%"
"strands",4,"5%"
"english to spanish",9,"4%"
"walgreens",7,"4%"
"irs",10,"4%"
"canva",10,"4%"
"blooket",13,"3%"
"google flights",4,"3%"
