"query","search interest","increase percent"
"ray liotta",23,"Breakout"
"ray liotta cause of death",2,"4,750%"
"liverpool vs real madrid",2,"1,400%"
"kevin spacey",1,"1,050%"
"real madrid",5,"700%"
"champions league",6,"650%"
"liverpool",5,"600%"
"obi wan kenobi",3,"450%"
"stranger things",15,"400%"
"stranger things season 4",6,"350%"
"top gun 2",2,"250%"
"top gun",11,"250%"
"top gun maverick",3,"200%"
"red sox",2,"140%"
"celtics vs heat",2,"110%"
"boston celtics",2,"110%"
"celtics",11,"100%"
"johnny depp amber heard",3,"100%"
"memorial day",10,"90%"
"miami heat",3,"90%"
"breakfast near me",1,"80%"
"johnny depp",14,"80%"
"liquor store near me",1,"80%"
"pizza near me",2,"70%"
"amber heard",9,"70%"
"jimmy butler",1,"70%"
"dominos",3,"60%"
"texas roadhouse",1,"60%"
"papa johns",1,"60%"
"restaurants near me",4,"50%"
"pizza hut",3,"50%"
"fast food near me",1,"50%"
"walmart near me",2,"50%"
"french open 2022",1,"50%"
"food near me",8,"40%"
"colorado avalanche",1,"40%"
"chick fil a",2,"40%"
"paramount plus",1,"40%"
"disney plus",2,"40%"
"mlb scores",2,"40%"
"dollar general",2,"30%"
"sam's club",2,"30%"
"dunkin donuts",1,"30%"
"tractor supply",2,"30%"
"mlb",7,"30%"
"kohls",2,"30%"
"espn",5,"30%"
"dicks sporting goods",1,"30%"
"mcdonalds",3,"30%"
"hulu",3,"30%"
