"query","search interest","increase percent"
"christian wood",2,"2,300%"
"us open leaderboard",2,"1,600%"
"us open",15,"300%"
"ryan grantham",2,"300%"
"severe thunderstorm watch",1,"300%"
"nhl scores",2,"300%"
"colorado avalanche",2,"250%"
"us open 2022",3,"200%"
"vince mcmahon",1,"200%"
"tampa bay lightning",2,"190%"
"lightning game",1,"190%"
"avalanche",6,"180%"
"austin butler",1,"180%"
"severe thunderstorm warning",3,"170%"
"huntington bank",2,"170%"
"nhl",7,"130%"
"stanley cup finals",2,"110%"
"celtics vs warriors",3,"50%"
"nba scores",2,"50%"
"warriors vs celtics",3,"50%"
"warriors",11,"50%"
"celtics",10,"40%"
"nba",27,"30%"
"nba finals",9,"30%"
"juneteenth holiday",3,"30%"
"what is juneteenth",2,"30%"
"weather radar",4,"30%"
"father's day 2022",4,"30%"
"juneteenth",12,"30%"
"nba playoffs",2,"20%"
"buffalo wild wings",1,"20%"
"southwest airlines",4,"20%"
"accuweather",2,"20%"
"weather",100,"20%"
"fathers day",6,"20%"
"msnbc",1,"10%"
"tesla stock",2,"10%"
"tiempo",5,"10%"
"ulta",2,"10%"
"verizon",7,"10%"
"hulu",5,"10%"
"papa johns",1,"9%"
"wordle",32,"9%"
"translate",18,"8%"
"cvs",10,"8%"
"walmart",32,"7%"
"twitter",14,"7%"
"food near me",10,"6%"
"walmart near me",3,"6%"
"expedia",2,"6%"
