"query","search interest","increase percent"
"you",100,"4%"
"weather",62,"-3%"
"google",52,"-2%"
"nba",36,"90%"
"youtube",36,"5%"
"amazon",34,"-10%"
"news",33,"20%"
"facebook",29,"2%"
"warriors",22,"300%"
"celtics",22,"300%"
"walmart",20,"-1%"
"wordle",19,"0%"
"yahoo",15,"5%"
"gmail",14,"-1%"
"translate",13,"2%"
"calculator",12,"-7%"
"nba finals",11,"100%"
"home depot",11,"-1%"
"craigslist",11,"-1%"
"instagram",10,"-3%"
"flights",10,"-4%"
"target",10,"-3%"
"twitter",9,"-2%"
"maps",8,"-2%"
"dow",8,"3%"
"netflix",8,"-10%"
"costco",8,"-5%"
"bitcoin",8,"-4%"
"sports",7,"6%"
"celtics vs warriors",7,"350%"
"lowes",7,"-5%"
"mlb",7,"20%"
"ups",7,"0%"
"food near me",7,"-3%"
"google translate",7,"1%"
"chase",7,"4%"
"warriors vs celtics",6,"300%"
"fox news",6,"-1%"
"yahoo mail",6,"-1%"
"usps",6,"-8%"
"cvs",6,"-7%"
"dow jones",6,"-1%"
"zillow",6,"3%"
"ebay",6,"-2%"
"traductor",6,"4%"
"walgreens",6,"-9%"
"google maps",5,"-4%"
"indeed",5,"5%"
"nike",5,"3%"
"roblox",5,"-2%"
