"query","search interest","increase percent"
"silicon valley bank",5,"Breakout"
"svb",6,"Breakout"
"international women's day",12,"3,150%"
"oscar winners 2023",2,"2,300%"
"ncaa bracket",4,"1,200%"
"signature bank",1,"1,100%"
"oscars",15,"850%"
"oscars 2023",8,"700%"
"indian wells",2,"500%"
"march madness bracket",3,"450%"
"jamie lee curtis",3,"450%"
"scream 6",4,"400%"
"everything everywhere all at once",5,"300%"
"champions league",4,"250%"
"brendan fraser",2,"250%"
"cara delevingne",0,"190%"
"aaron rodgers",3,"190%"
"all quiet on the western front",1,"150%"
"daylight savings 2023",7,"140%"
"time change 2023",2,"140%"
"march madness 2023",2,"120%"
"spring forward 2023",1,"110%"
"purdue basketball",2,"90%"
"the whale",2,"70%"
"jenna ortega",2,"40%"
"bitcoin price",2,"40%"
"pedro pascal",2,"30%"
"lamar jackson",1,"30%"
"the last of us",5,"30%"
"justin bieber",4,"20%"
"espn",9,"10%"
"hulu",5,"10%"
"us bank",2,"10%"
"dow jones",5,"8%"
"credit karma",2,"6%"
"nba standings",3,"5%"
"dow jones today",2,"5%"
"walgreens",8,"4%"
"shein",5,"4%"
"blooket",7,"3%"
"news",49,"3%"
"restaurants near me",6,"2%"
"maps",12,"2%"
"ups",10,"1%"
"facebook marketplace",3,"1%"
"dollar tree",2,"1%"
"wells fargo",7,"0%"
"solitaire",4,"0%"
"fox news",9,"0%"
"little caesars",2,"0%"
