Time,expedia
2022-08-29,68
2022-08-30,73
2022-08-31,63
2022-09-01,62
2022-09-02,63
2022-09-03,59
2022-09-04,59
2022-09-05,64
2022-09-06,65
2022-09-07,67
2022-09-08,61
2022-09-09,57
2022-09-10,54
2022-09-11,58
2022-09-12,65
2022-09-13,67
2022-09-14,72
2022-09-15,62
2022-09-16,57
2022-09-17,58
2022-09-18,58
2022-09-19,67
2022-09-20,70
2022-09-21,66
2022-09-22,63
2022-09-23,59
2022-09-24,55
2022-09-25,61
2022-09-26,63
2022-09-27,67
2022-09-28,62
2022-09-29,62
2022-09-30,61
2022-10-01,54
2022-10-02,58
2022-10-03,63
2022-10-04,67
2022-10-05,67
2022-10-06,66
2022-10-07,62
2022-10-08,55
2022-10-09,55
2022-10-10,62
2022-10-11,58
2022-10-12,60
2022-10-13,69
2022-10-14,60
2022-10-15,57
2022-10-16,58
2022-10-17,57
2022-10-18,68
2022-10-19,66
2022-10-20,61
2022-10-21,59
2022-10-22,53
2022-10-23,53
2022-10-24,60
2022-10-25,61
2022-10-26,59
2022-10-27,60
2022-10-28,54
2022-10-29,50
2022-10-30,52
2022-10-31,56
2022-11-01,60
2022-11-02,64
2022-11-03,63
2022-11-04,57
2022-11-05,56
2022-11-06,55
2022-11-07,60
2022-11-08,63
2022-11-09,58
2022-11-10,59
2022-11-11,53
2022-11-12,55
2022-11-13,60
2022-11-14,59
2022-11-15,69
2022-11-16,61
2022-11-17,61
2022-11-18,60
2022-11-19,61
2022-11-20,52
2022-11-21,55
2022-11-22,56
2022-11-23,53
2022-11-24,49
2022-11-25,53
2022-11-26,53
2022-11-27,59
2022-11-28,61
2022-11-29,70
2022-11-30,60
2022-12-01,61
2022-12-02,59
2022-12-03,50
2022-12-04,58
2022-12-05,59
2022-12-06,57
2022-12-07,58
2022-12-08,58
2022-12-09,54
2022-12-10,53
2022-12-11,55
2022-12-12,58
2022-12-13,55
2022-12-14,56
2022-12-15,55
2022-12-16,55
2022-12-17,52
2022-12-18,50
2022-12-19,59
2022-12-20,60
2022-12-21,61
2022-12-22,59
2022-12-23,58
2022-12-24,60
2022-12-25,55
2022-12-26,77
2022-12-27,100
2022-12-28,77
2022-12-29,73
2022-12-30,66
2022-12-31,61
2023-01-01,56
2023-01-02,72
2023-01-03,77
2023-01-04,86
2023-01-05,80
2023-01-06,75
2023-01-07,71
2023-01-08,75
2023-01-09,79
2023-01-10,87
2023-01-11,90
2023-01-12,83
2023-01-13,73
2023-01-14,69
2023-01-15,70
2023-01-16,85
2023-01-17,84
2023-01-18,82
2023-01-19,78
2023-01-20,71
2023-01-21,65
2023-01-22,71
2023-01-23,79
2023-01-24,85
2023-01-25,83
2023-01-26,80
2023-01-27,73
2023-01-28,66
2023-01-29,69
2023-01-30,77
2023-01-31,85
2023-02-01,84
2023-02-02,78
2023-02-03,74
2023-02-04,79
2023-02-05,80
2023-02-06,79
2023-02-07,86
2023-02-08,79
2023-02-09,77
2023-02-10,77
2023-02-11,70
2023-02-12,66
2023-02-13,68
2023-02-14,79
2023-02-15,82
2023-02-16,85
2023-02-17,83
2023-02-18,76
2023-02-19,79
2023-02-20,89
2023-02-21,88
2023-02-22,85
2023-02-23,87
2023-02-24,78
2023-02-25,75
2023-02-26,87
2023-02-27,84
2023-02-28,86
2023-03-01,87
2023-03-02,80
2023-03-03,77
2023-03-04,76
2023-03-05,79
2023-03-06,87
2023-03-07,86
2023-03-08,86
2023-03-09,83
2023-03-10,81
2023-03-11,73
2023-03-12,73
2023-03-13,79
2023-03-14,84
2023-03-15,81
2023-03-16,78
2023-03-17,69
2023-03-18,65
2023-03-19,76
2023-03-20,82
2023-03-21,79
2023-03-22,79
2023-03-23,79
2023-03-24,71
2023-03-25,67
2023-03-26,72
2023-03-27,75
2023-03-28,77
2023-03-29,77
2023-03-30,77
2023-03-31,68
2023-04-01,74
2023-04-02,72
2023-04-03,82
2023-04-04,78
2023-04-05,77
2023-04-06,74
2023-04-07,68
2023-04-08,61
2023-04-09,63
2023-04-10,76
2023-04-11,74
2023-04-12,77
2023-04-13,73
2023-04-14,72
2023-04-15,69
2023-04-16,68
2023-04-17,75
2023-04-18,76
2023-04-19,72
2023-04-20,70
2023-04-21,67
2023-04-22,65
2023-04-23,72
2023-04-24,71
2023-04-25,77
2023-04-26,75
2023-04-27,67
2023-04-28,66
2023-04-29,59
2023-04-30,71
2023-05-01,72
2023-05-02,72
2023-05-03,73
2023-05-04,71
2023-05-05,67
2023-05-06,64
2023-05-07,71
2023-05-08,74
2023-05-09,75
2023-05-10,71
2023-05-11,72
2023-05-12,69
2023-05-13,60
2023-05-14,68
2023-05-15,79
2023-05-16,89
2023-05-17,77
2023-05-18,74
2023-05-19,79
2023-05-20,68
2023-05-21,66
2023-05-22,75
2023-05-23,74
2023-05-24,78
2023-05-25,66
