Time,expedia
2025-12-11,70
2025-12-12,64
2025-12-13,68
2025-12-14,69
2025-12-15,68
2025-12-16,69
2025-12-17,72
2025-12-18,72
2025-12-19,69
2025-12-20,69
2025-12-21,73
2025-12-22,72
2025-12-23,68
2025-12-24,69
2025-12-25,68
2025-12-26,82
2025-12-27,83
2025-12-28,78
2025-12-29,84
2025-12-30,85
2025-12-31,73
2026-01-01,70
2026-01-02,85
2026-01-03,83
2026-01-04,86
2026-01-05,81
2026-01-06,86
2026-01-07,85
2026-01-08,81
2026-01-09,81
2026-01-10,89
2026-01-11,87
2026-01-12,86
2026-01-13,88
2026-01-14,89
2026-01-15,78
2026-01-16,74
2026-01-17,80
2026-01-18,84
2026-01-19,89
2026-01-20,89
2026-01-21,83
2026-01-22,89
2026-01-23,78
2026-01-24,82
2026-01-25,76
2026-01-26,81
2026-01-27,89
2026-01-28,85
2026-01-29,83
2026-01-30,77
2026-01-31,78
2026-02-01,85
2026-02-02,78
2026-02-03,81
2026-02-04,82
2026-02-05,77
2026-02-06,73
2026-02-07,74
2026-02-08,74
2026-02-09,77
2026-02-10,80
2026-02-11,84
2026-02-12,85
2026-02-13,80
2026-02-14,76
2026-02-15,84
2026-02-16,99
2026-02-17,82
2026-02-18,88
2026-02-19,82
2026-02-20,81
2026-02-21,87
2026-02-22,90
2026-02-23,93
2026-02-24,98
2026-02-25,91
2026-02-26,89
2026-02-27,88
2026-02-28,87
2026-03-01,95
2026-03-02,89
2026-03-03,92
2026-03-04,87
2026-03-05,87
2026-03-06,91
2026-03-07,94
2026-03-08,92
2026-03-09,100
2026-03-10,100
2026-03-11,97
2026-03-12,97
2026-03-13,91
2026-03-14,95
2026-03-15,92
2026-03-16,97
2026-03-17,100
2026-03-18,90
2026-03-19,89
2026-03-20,79
2026-03-21,88
2026-03-22,90
2026-03-23,88
2026-03-24,87
2026-03-25,89
2026-03-26,83
2026-03-27,81
2026-03-28,80
2026-03-29,87
2026-03-30,82
2026-03-31,89
2026-04-01,82
2026-04-02,97
2026-04-03,84
2026-04-04,77
2026-04-05,80
2026-04-06,88
2026-04-07,90
2026-04-08,87
2026-04-09,86
2026-04-10,85
2026-04-11,82
2026-04-12,77
2026-04-13,77
2026-04-14,84
2026-04-15,87
2026-04-16,84
2026-04-17,78
2026-04-18,81
2026-04-19,97
2026-04-20,87
2026-04-21,86
2026-04-22,86
2026-04-23,88
2026-04-24,79
2026-04-25,83
2026-04-26,84
2026-04-27,86
2026-04-28,89
2026-04-29,83
2026-04-30,82
2026-05-01,76
2026-05-02,96
2026-05-03,94
2026-05-04,87
2026-05-05,87
2026-05-06,88
2026-05-07,84
2026-05-08,80
2026-05-09,80
2026-05-10,75
2026-05-11,88
2026-05-12,93
2026-05-13,86
2026-05-14,84
2026-05-15,85
2026-05-16,88
2026-05-17,84
2026-05-18,81
2026-05-19,92
2026-05-20,90
2026-05-21,90
2026-05-22,91
2026-05-23,85
2026-05-24,83
2026-05-25,90
2026-05-26,89
2026-05-27,88
2026-05-28,87
2026-05-29,85
2026-05-30,83
2026-05-31,90
