Time,expedia
2024-08-18,86
2024-08-19,88
2024-08-20,91
2024-08-21,85
2024-08-22,83
2024-08-23,77
2024-08-24,83
2024-08-25,84
2024-08-26,82
2024-08-27,90
2024-08-28,87
2024-08-29,80
2024-08-30,81
2024-08-31,76
2024-09-01,73
2024-09-02,79
2024-09-03,78
2024-09-04,81
2024-09-05,76
2024-09-06,69
2024-09-07,71
2024-09-08,79
2024-09-09,80
2024-09-10,76
2024-09-11,76
2024-09-12,78
2024-09-13,75
2024-09-14,74
2024-09-15,70
2024-09-16,77
2024-09-17,80
2024-09-18,80
2024-09-19,74
2024-09-20,74
2024-09-21,73
2024-09-22,75
2024-09-23,79
2024-09-24,95
2024-09-25,84
2024-09-26,80
2024-09-27,73
2024-09-28,71
2024-09-29,75
2024-09-30,76
2024-10-01,76
2024-10-02,78
2024-10-03,82
2024-10-04,72
2024-10-05,75
2024-10-06,76
2024-10-07,83
2024-10-08,77
2024-10-09,74
2024-10-10,72
2024-10-11,73
2024-10-12,72
2024-10-13,71
2024-10-14,74
2024-10-15,79
2024-10-16,75
2024-10-17,79
2024-10-18,75
2024-10-19,71
2024-10-20,69
2024-10-21,80
2024-10-22,77
2024-10-23,75
2024-10-24,75
2024-10-25,68
2024-10-26,64
2024-10-27,66
2024-10-28,76
2024-10-29,73
2024-10-30,68
2024-10-31,69
2024-11-01,71
2024-11-02,70
2024-11-03,74
2024-11-04,76
2024-11-05,66
2024-11-06,55
2024-11-07,74
2024-11-08,77
2024-11-09,71
2024-11-10,71
2024-11-11,78
2024-11-12,75
2024-11-13,80
2024-11-14,70
2024-11-15,69
2024-11-16,62
2024-11-17,70
2024-11-18,81
2024-11-19,72
2024-11-20,77
2024-11-21,74
2024-11-22,71
2024-11-23,67
2024-11-24,66
2024-11-25,70
2024-11-26,73
2024-11-27,71
2024-11-28,62
2024-11-29,71
2024-11-30,76
2024-12-01,73
2024-12-02,79
2024-12-03,100
2024-12-04,82
2024-12-05,70
2024-12-06,69
2024-12-07,67
2024-12-08,68
2024-12-09,72
2024-12-10,73
2024-12-11,70
2024-12-12,70
2024-12-13,64
2024-12-14,63
2024-12-15,67
2024-12-16,69
2024-12-17,73
2024-12-18,73
2024-12-19,69
2024-12-20,67
2024-12-21,67
2024-12-22,67
2024-12-23,63
2024-12-24,64
2024-12-25,62
2024-12-26,84
2024-12-27,86
2024-12-28,86
2024-12-29,84
2024-12-30,80
2024-12-31,82
2025-01-01,72
2025-01-02,81
2025-01-03,90
2025-01-04,86
2025-01-05,86
2025-01-06,82
2025-01-07,93
2025-01-08,89
2025-01-09,85
2025-01-10,84
2025-01-11,81
2025-01-12,89
2025-01-13,86
2025-01-14,84
2025-01-15,90
2025-01-16,83
2025-01-17,94
2025-01-18,79
2025-01-19,80
2025-01-20,81
2025-01-21,79
2025-01-22,84
2025-01-23,79
2025-01-24,77
2025-01-25,79
2025-01-26,79
2025-01-27,77
2025-01-28,82
2025-01-29,87
2025-01-30,74
2025-01-31,73
2025-02-01,73
2025-02-02,77
2025-02-03,75
2025-02-04,77
2025-02-05,80
2025-02-06,76
2025-02-07,85
2025-02-08,72
2025-02-09,75
2025-02-10,69
2025-02-11,76
2025-02-12,80
2025-02-13,85
2025-02-14,80
2025-02-15,81
2025-02-16,84
2025-02-17,90
2025-02-18,86
2025-02-19,89
2025-02-20,85
2025-02-21,80
2025-02-22,77
2025-02-23,80
2025-02-24,83
2025-02-25,79
2025-02-26,80
2025-02-27,79
2025-02-28,78
2025-03-01,82
2025-03-02,86
2025-03-03,86
2025-03-04,85
2025-03-05,86
2025-03-06,87
2025-03-07,80
2025-03-08,90
2025-03-09,94
2025-03-10,88
2025-03-11,88
2025-03-12,82
2025-03-13,82
2025-03-14,79
2025-03-15,81
2025-03-16,86
2025-03-17,87
2025-03-18,84
2025-03-19,91
2025-03-20,83
2025-03-21,77
2025-03-22,82
2025-03-23,82
2025-03-24,77
2025-03-25,82
2025-03-26,80
2025-03-27,87
2025-03-28,81
2025-03-29,79
2025-03-30,78
2025-03-31,81
2025-04-01,85
2025-04-02,75
2025-04-03,85
2025-04-04,72
2025-04-05,73
2025-04-06,82
2025-04-07,80
2025-04-08,77
2025-04-09,77
2025-04-10,82
2025-04-11,79
2025-04-12,74
2025-04-13,77
2025-04-14,76
2025-04-15,79
2025-04-16,83
2025-04-17,75
2025-04-18,77
2025-04-19,70
2025-04-20,71
2025-04-21,78
2025-04-22,80
2025-04-23,80
2025-04-24,73
2025-04-25,77
2025-04-26,68
2025-04-27,90
2025-04-28,75
2025-04-29,76
2025-04-30,75
2025-05-01,79
2025-05-02,78
2025-05-03,77
2025-05-04,77
2025-05-05,76
2025-05-06,83
2025-05-07,77
2025-05-08,74
2025-05-09,81
2025-05-10,71
2025-05-11,73
2025-05-12,85
2025-05-13,83
2025-05-14,82
