Time,uvalde tx
2023-12-22,29
2023-12-23,28
2023-12-24,26
2023-12-25,22
2023-12-26,27
2023-12-27,23
2023-12-28,25
2023-12-29,29
2023-12-30,23
2023-12-31,23
2024-01-01,33
2024-01-02,26
2024-01-03,32
2024-01-04,27
2024-01-05,33
2024-01-06,29
2024-01-07,20
2024-01-08,28
2024-01-09,25
2024-01-10,37
2024-01-11,31
2024-01-12,31
2024-01-13,25
2024-01-14,17
2024-01-15,33
2024-01-16,25
2024-01-17,28
2024-01-18,67
2024-01-19,58
2024-01-20,37
2024-01-21,20
2024-01-22,33
2024-01-23,28
2024-01-24,32
2024-01-25,29
2024-01-26,28
2024-01-27,27
2024-01-28,25
2024-01-29,27
2024-01-30,26
2024-01-31,34
2024-02-01,26
2024-02-02,25
2024-02-03,24
2024-02-04,23
2024-02-05,27
2024-02-06,24
2024-02-07,22
2024-02-08,25
2024-02-09,33
2024-02-10,20
2024-02-11,25
2024-02-12,24
2024-02-13,30
2024-02-14,30
2024-02-15,34
2024-02-16,24
2024-02-17,0
2024-02-18,29
2024-02-19,32
2024-02-20,31
2024-02-21,26
2024-02-22,28
2024-02-23,30
2024-02-24,35
2024-02-25,29
2024-02-26,30
2024-02-27,26
2024-02-28,30
2024-02-29,29
2024-03-01,29
2024-03-02,25
2024-03-03,24
2024-03-04,24
2024-03-05,30
2024-03-06,28
2024-03-07,29
2024-03-08,40
2024-03-09,26
2024-03-10,27
2024-03-11,35
2024-03-12,31
2024-03-13,43
2024-03-14,31
2024-03-15,38
2024-03-16,32
2024-03-17,21
2024-03-18,23
2024-03-19,29
2024-03-20,32
2024-03-21,32
2024-03-22,33
2024-03-23,20
2024-03-24,27
2024-03-25,44
2024-03-26,35
2024-03-27,35
2024-03-28,30
2024-03-29,24
2024-03-30,31
2024-03-31,17
2024-04-01,43
2024-04-02,44
2024-04-03,39
2024-04-04,51
2024-04-05,41
2024-04-06,59
2024-04-07,77
2024-04-08,100
2024-04-09,38
2024-04-10,37
2024-04-11,34
2024-04-12,32
2024-04-13,17
2024-04-14,25
2024-04-15,28
2024-04-16,34
2024-04-17,26
2024-04-18,30
2024-04-19,26
2024-04-20,22
2024-04-21,24
2024-04-22,23
2024-04-23,27
2024-04-24,32
2024-04-25,23
2024-04-26,22
2024-04-27,20
2024-04-28,36
2024-04-29,40
2024-04-30,27
2024-05-01,28
2024-05-02,35
2024-05-03,29
2024-05-04,17
2024-05-05,22
2024-05-06,28
2024-05-07,29
2024-05-08,41
2024-05-09,28
2024-05-10,28
2024-05-11,38
2024-05-12,15
2024-05-13,23
2024-05-14,36
2024-05-15,24
2024-05-16,34
2024-05-17,27
2024-05-18,25
2024-05-19,17
2024-05-20,34
2024-05-21,34
2024-05-22,35
2024-05-23,43
2024-05-24,39
2024-05-25,44
2024-05-26,22
2024-05-27,44
2024-05-28,34
2024-05-29,22
2024-05-30,29
2024-05-31,29
2024-06-01,32
2024-06-02,28
2024-06-03,21
2024-06-04,28
2024-06-05,48
2024-06-06,36
2024-06-07,32
2024-06-08,26
2024-06-09,17
2024-06-10,33
2024-06-11,31
2024-06-12,28
2024-06-13,21
2024-06-14,39
2024-06-15,25
2024-06-16,34
2024-06-17,34
2024-06-18,39
2024-06-19,41
2024-06-20,33
2024-06-21,34
2024-06-22,24
2024-06-23,24
2024-06-24,27
2024-06-25,33
2024-06-26,26
2024-06-27,34
2024-06-28,32
2024-06-29,36
2024-06-30,23
2024-07-01,25
2024-07-02,42
2024-07-03,32
2024-07-04,25
2024-07-05,40
2024-07-06,21
2024-07-07,24
2024-07-08,30
2024-07-09,35
2024-07-10,40
2024-07-11,26
2024-07-12,19
2024-07-13,24
2024-07-14,22
2024-07-15,27
2024-07-16,38
2024-07-17,33
2024-07-18,35
2024-07-19,25
2024-07-20,24
2024-07-21,23
2024-07-22,32
2024-07-23,31
2024-07-24,26
2024-07-25,28
2024-07-26,29
2024-07-27,30
2024-07-28,14
2024-07-29,34
2024-07-30,36
2024-07-31,34
2024-08-01,24
2024-08-02,28
2024-08-03,29
2024-08-04,26
2024-08-05,22
2024-08-06,21
2024-08-07,40
2024-08-08,20
2024-08-09,40
2024-08-10,30
2024-08-11,18
2024-08-12,36
2024-08-13,26
2024-08-14,33
2024-08-15,28
2024-08-16,49
2024-08-17,26
2024-08-18,14
2024-08-19,29
2024-08-20,36
2024-08-21,38
2024-08-22,27
2024-08-23,38
2024-08-24,29
2024-08-25,32
2024-08-26,27
2024-08-27,31
2024-08-28,47
2024-08-29,44
2024-08-30,33
2024-08-31,39
2024-09-01,17
2024-09-02,23
2024-09-03,34
2024-09-04,32
2024-09-05,34
2024-09-06,28
2024-09-07,30
2024-09-08,22
2024-09-09,31
2024-09-10,30
2024-09-11,22
2024-09-12,37
2024-09-13,34
2024-09-14,22
2024-09-15,0
2024-09-16,28
