Time,dodgers
2023-12-22,48
2023-12-23,20
2023-12-24,18
2023-12-25,16
2023-12-26,12
2023-12-27,12
2023-12-28,11
2023-12-29,10
2023-12-30,9
2023-12-31,8
2024-01-01,8
2024-01-02,8
2024-01-03,8
2024-01-04,8
2024-01-05,8
2024-01-06,8
2024-01-07,8
2024-01-08,11
2024-01-09,9
2024-01-10,8
2024-01-11,10
2024-01-12,9
2024-01-13,8
2024-01-14,8
2024-01-15,7
2024-01-16,7
2024-01-17,8
2024-01-18,8
2024-01-19,8
2024-01-20,7
2024-01-21,7
2024-01-22,6
2024-01-23,8
2024-01-24,7
2024-01-25,7
2024-01-26,7
2024-01-27,7
2024-01-28,7
2024-01-29,7
2024-01-30,8
2024-01-31,9
2024-02-01,9
2024-02-02,9
2024-02-03,10
2024-02-04,9
2024-02-05,8
2024-02-06,8
2024-02-07,8
2024-02-08,7
2024-02-09,8
2024-02-10,8
2024-02-11,7
2024-02-12,8
2024-02-13,8
2024-02-14,9
2024-02-15,8
2024-02-16,8
2024-02-17,8
2024-02-18,9
2024-02-19,8
2024-02-20,9
2024-02-21,10
2024-02-22,22
2024-02-23,22
2024-02-24,20
2024-02-25,17
2024-02-26,15
2024-02-27,18
2024-02-28,17
2024-02-29,14
2024-03-01,15
2024-03-02,20
2024-03-03,16
2024-03-04,12
2024-03-05,11
2024-03-06,16
2024-03-07,12
2024-03-08,14
2024-03-09,18
2024-03-10,16
2024-03-11,13
2024-03-12,13
2024-03-13,13
2024-03-14,13
2024-03-15,12
2024-03-16,13
2024-03-17,21
2024-03-18,18
2024-03-19,18
2024-03-20,59
2024-03-21,58
2024-03-22,19
2024-03-23,17
2024-03-24,21
2024-03-25,20
2024-03-26,21
2024-03-27,25
2024-03-28,65
2024-03-29,42
2024-03-30,72
2024-03-31,90
2024-04-01,53
2024-04-02,53
2024-04-03,53
2024-04-04,52
2024-04-05,47
2024-04-06,48
2024-04-07,57
2024-04-08,28
2024-04-09,37
2024-04-10,49
2024-04-11,21
2024-04-12,21
2024-04-13,61
2024-04-14,100
2024-04-15,51
2024-04-16,45
2024-04-17,53
2024-04-18,22
2024-04-19,21
2024-04-20,65
2024-04-21,45
2024-04-22,19
2024-04-23,23
2024-04-24,34
2024-04-25,41
2024-04-26,23
2024-04-27,45
2024-04-28,36
2024-04-29,20
2024-04-30,33
2024-05-01,50
2024-05-02,33
2024-05-03,20
2024-05-04,48
2024-05-05,67
2024-05-06,23
2024-05-07,41
2024-05-08,49
2024-05-09,21
2024-05-10,21
2024-05-11,46
2024-05-12,64
2024-05-13,23
2024-05-14,40
2024-05-15,39
2024-05-16,36
2024-05-17,40
2024-05-18,48
2024-05-19,60
2024-05-20,24
2024-05-21,42
2024-05-22,38
2024-05-23,37
2024-05-24,22
2024-05-25,40
2024-05-26,52
2024-05-27,28
2024-05-28,36
2024-05-29,43
2024-05-30,22
2024-05-31,21
2024-06-01,41
2024-06-02,57
2024-06-03,22
2024-06-04,22
2024-06-05,30
2024-06-06,34
2024-06-07,41
2024-06-08,68
2024-06-09,81
2024-06-10,47
2024-06-11,23
2024-06-12,48
2024-06-13,45
2024-06-14,41
2024-06-15,46
2024-06-16,62
2024-06-17,29
2024-06-18,36
2024-06-19,44
2024-06-20,46
2024-06-21,25
2024-06-22,52
2024-06-23,50
2024-06-24,23
2024-06-25,37
2024-06-26,34
2024-06-27,33
2024-06-28,22
2024-06-29,50
2024-06-30,69
2024-07-01,22
2024-07-02,21
2024-07-03,43
2024-07-04,54
2024-07-05,45
2024-07-06,58
2024-07-07,61
2024-07-08,21
2024-07-09,26
2024-07-10,37
2024-07-11,39
2024-07-12,36
2024-07-13,50
2024-07-14,32
2024-07-15,18
2024-07-16,18
2024-07-17,15
2024-07-18,16
2024-07-19,20
2024-07-20,53
2024-07-21,64
2024-07-22,45
2024-07-23,43
2024-07-24,45
2024-07-25,67
2024-07-26,35
2024-07-27,53
2024-07-28,65
2024-07-29,29
2024-07-30,34
2024-07-31,47
2024-08-01,39
2024-08-02,22
2024-08-03,41
2024-08-04,55
2024-08-05,24
2024-08-06,42
2024-08-07,43
2024-08-08,42
2024-08-09,22
2024-08-10,43
2024-08-11,65
2024-08-12,23
2024-08-13,36
2024-08-14,38
2024-08-15,51
2024-08-16,23
2024-08-17,48
2024-08-18,55
2024-08-19,22
2024-08-20,42
2024-08-21,49
2024-08-22,44
2024-08-23,23
2024-08-24,56
2024-08-25,72
2024-08-26,22
2024-08-27,22
2024-08-28,42
2024-08-29,50
2024-08-30,47
2024-08-31,56
2024-09-01,83
2024-09-02,48
2024-09-03,28
2024-09-04,46
2024-09-05,42
2024-09-06,23
2024-09-07,46
2024-09-08,56
2024-09-09,24
2024-09-10,41
2024-09-11,47
2024-09-12,50
2024-09-13,26
2024-09-14,49
2024-09-15,52
2024-09-16,44
