Time,hocus pocus 2
2023-04-26,3
2023-04-27,5
2023-04-28,4
2023-04-29,4
2023-04-30,6
2023-05-01,5
2023-05-02,4
2023-05-03,4
2023-05-04,4
2023-05-05,6
2023-05-06,6
2023-05-07,5
2023-05-08,4
2023-05-09,3
2023-05-10,4
2023-05-11,4
2023-05-12,4
2023-05-13,5
2023-05-14,6
2023-05-15,3
2023-05-16,4
2023-05-17,4
2023-05-18,3
2023-05-19,4
2023-05-20,6
2023-05-21,6
2023-05-22,4
2023-05-23,4
2023-05-24,5
2023-05-25,4
2023-05-26,6
2023-05-27,5
2023-05-28,8
2023-05-29,7
2023-05-30,4
2023-05-31,6
2023-06-01,5
2023-06-02,5
2023-06-03,9
2023-06-04,14
2023-06-05,18
2023-06-06,13
2023-06-07,10
2023-06-08,8
2023-06-09,8
2023-06-10,11
2023-06-11,5
2023-06-12,6
2023-06-13,6
2023-06-14,4
2023-06-15,4
2023-06-16,4
2023-06-17,6
2023-06-18,4
2023-06-19,5
2023-06-20,3
2023-06-21,6
2023-06-22,4
2023-06-23,6
2023-06-24,6
2023-06-25,5
2023-06-26,5
2023-06-27,5
2023-06-28,5
2023-06-29,6
2023-06-30,5
2023-07-01,6
2023-07-02,6
2023-07-03,4
2023-07-04,8
2023-07-05,4
2023-07-06,5
2023-07-07,5
2023-07-08,6
2023-07-09,5
2023-07-10,5
2023-07-11,5
2023-07-12,7
2023-07-13,12
2023-07-14,10
2023-07-15,11
2023-07-16,15
2023-07-17,13
2023-07-18,7
2023-07-19,4
2023-07-20,7
2023-07-21,6
2023-07-22,8
2023-07-23,9
2023-07-24,9
2023-07-25,7
2023-07-26,5
2023-07-27,5
2023-07-28,5
2023-07-29,8
2023-07-30,5
2023-07-31,5
2023-08-01,5
2023-08-02,7
2023-08-03,4
2023-08-04,6
2023-08-05,7
2023-08-06,8
2023-08-07,5
2023-08-08,8
2023-08-09,5
2023-08-10,4
2023-08-11,6
2023-08-12,9
2023-08-13,12
2023-08-14,7
2023-08-15,6
2023-08-16,5
2023-08-17,8
2023-08-18,15
2023-08-19,19
2023-08-20,13
2023-08-21,10
2023-08-22,8
2023-08-23,9
2023-08-24,8
2023-08-25,8
2023-08-26,9
2023-08-27,13
2023-08-28,11
2023-08-29,8
2023-08-30,10
2023-08-31,9
2023-09-01,15
2023-09-02,22
2023-09-03,20
2023-09-04,18
2023-09-05,12
2023-09-06,10
2023-09-07,11
2023-09-08,14
2023-09-09,23
2023-09-10,19
2023-09-11,12
2023-09-12,11
2023-09-13,11
2023-09-14,13
2023-09-15,12
2023-09-16,24
2023-09-17,32
2023-09-18,18
2023-09-19,14
2023-09-20,14
2023-09-21,13
2023-09-22,17
2023-09-23,29
2023-09-24,35
2023-09-25,23
2023-09-26,13
2023-09-27,19
2023-09-28,20
2023-09-29,24
2023-09-30,41
2023-10-01,55
2023-10-02,43
2023-10-03,34
2023-10-04,36
2023-10-05,29
2023-10-06,42
2023-10-07,76
2023-10-08,83
2023-10-09,57
2023-10-10,45
2023-10-11,37
2023-10-12,41
2023-10-13,45
2023-10-14,77
2023-10-15,80
2023-10-16,53
2023-10-17,39
2023-10-18,41
2023-10-19,40
2023-10-20,41
2023-10-21,74
2023-10-22,67
2023-10-23,43
2023-10-24,43
2023-10-25,35
2023-10-26,40
2023-10-27,46
2023-10-28,88
2023-10-29,100
2023-10-30,99
2023-10-31,97
2023-11-01,85
2023-11-02,19
2023-11-03,10
2023-11-04,15
2023-11-05,14
2023-11-06,7
2023-11-07,4
2023-11-08,7
2023-11-09,5
2023-11-10,5
2023-11-11,7
2023-11-12,6
2023-11-13,5
2023-11-14,3
2023-11-15,0
2023-11-16,4
2023-11-17,4
2023-11-18,8
2023-11-19,5
2023-11-20,2
2023-11-21,0
2023-11-22,0
2023-11-23,6
2023-11-24,6
2023-11-25,3
2023-11-26,0
2023-11-27,0
2023-11-28,2
2023-11-29,0
2023-11-30,3
2023-12-01,3
2023-12-02,5
2023-12-03,0
2023-12-04,4
2023-12-05,3
2023-12-06,0
2023-12-07,0
2023-12-08,0
2023-12-09,4
2023-12-10,3
2023-12-11,0
2023-12-12,0
2023-12-13,2
2023-12-14,0
2023-12-15,0
2023-12-16,3
2023-12-17,0
2023-12-18,2
2023-12-19,0
2023-12-20,0
2023-12-21,0
2023-12-22,0
2023-12-23,3
2023-12-24,3
2023-12-25,0
2023-12-26,0
2023-12-27,2
2023-12-28,0
2023-12-29,0
2023-12-30,3
2023-12-31,0
2024-01-01,5
2024-01-02,0
2024-01-03,3
2024-01-04,0
2024-01-05,0
2024-01-06,0
2024-01-07,3
2024-01-08,3
2024-01-09,0
2024-01-10,2
2024-01-11,0
2024-01-12,0
2024-01-13,0
2024-01-14,4
2024-01-15,0
2024-01-16,0
2024-01-17,0
2024-01-18,2
2024-01-19,0
2024-01-20,3
