Time,shawn kemp
2023-12-22,21
2023-12-23,18
2023-12-24,32
2023-12-25,33
2023-12-26,16
2023-12-27,26
2023-12-28,23
2023-12-29,37
2023-12-30,27
2023-12-31,35
2024-01-01,27
2024-01-02,20
2024-01-03,15
2024-01-04,20
2024-01-05,11
2024-01-06,21
2024-01-07,21
2024-01-08,12
2024-01-09,16
2024-01-10,0
2024-01-11,14
2024-01-12,19
2024-01-13,14
2024-01-14,19
2024-01-15,21
2024-01-16,14
2024-01-17,23
2024-01-18,15
2024-01-19,11
2024-01-20,23
2024-01-21,18
2024-01-22,0
2024-01-23,26
2024-01-24,17
2024-01-25,21
2024-01-26,17
2024-01-27,29
2024-01-28,27
2024-01-29,14
2024-01-30,29
2024-01-31,14
2024-02-01,17
2024-02-02,23
2024-02-03,22
2024-02-04,21
2024-02-05,19
2024-02-06,25
2024-02-07,25
2024-02-08,25
2024-02-09,17
2024-02-10,18
2024-02-11,0
2024-02-12,19
2024-02-13,13
2024-02-14,20
2024-02-15,20
2024-02-16,24
2024-02-17,41
2024-02-18,35
2024-02-19,28
2024-02-20,28
2024-02-21,44
2024-02-22,31
2024-02-23,25
2024-02-24,34
2024-02-25,29
2024-02-26,28
2024-02-27,29
2024-02-28,16
2024-02-29,18
2024-03-01,13
2024-03-02,25
2024-03-03,30
2024-03-04,13
2024-03-05,14
2024-03-06,26
2024-03-07,26
2024-03-08,15
2024-03-09,24
2024-03-10,25
2024-03-11,31
2024-03-12,25
2024-03-13,28
2024-03-14,25
2024-03-15,29
2024-03-16,29
2024-03-17,45
2024-03-18,28
2024-03-19,36
2024-03-20,26
2024-03-21,22
2024-03-22,17
2024-03-23,30
2024-03-24,25
2024-03-25,23
2024-03-26,14
2024-03-27,21
2024-03-28,0
2024-03-29,17
2024-03-30,16
2024-03-31,22
2024-04-01,12
2024-04-02,33
2024-04-03,76
2024-04-04,35
2024-04-05,28
2024-04-06,22
2024-04-07,29
2024-04-08,23
2024-04-09,15
2024-04-10,16
2024-04-11,25
2024-04-12,25
2024-04-13,42
2024-04-14,17
2024-04-15,22
2024-04-16,26
2024-04-17,25
2024-04-18,26
2024-04-19,19
2024-04-20,29
2024-04-21,24
2024-04-22,18
2024-04-23,16
2024-04-24,27
2024-04-25,25
2024-04-26,15
2024-04-27,25
2024-04-28,26
2024-04-29,24
2024-04-30,20
2024-05-01,12
2024-05-02,18
2024-05-03,25
2024-05-04,33
2024-05-05,15
2024-05-06,21
2024-05-07,18
2024-05-08,18
2024-05-09,18
2024-05-10,19
2024-05-11,20
2024-05-12,22
2024-05-13,18
2024-05-14,16
2024-05-15,0
2024-05-16,18
2024-05-17,15
2024-05-18,0
2024-05-19,42
2024-05-20,20
2024-05-21,28
2024-05-22,36
2024-05-23,33
2024-05-24,19
2024-05-25,26
2024-05-26,25
2024-05-27,30
2024-05-28,22
2024-05-29,18
2024-05-30,16
2024-05-31,32
2024-06-01,20
2024-06-02,24
2024-06-03,33
2024-06-04,27
2024-06-05,19
2024-06-06,21
2024-06-07,19
2024-06-08,43
2024-06-09,57
2024-06-10,46
2024-06-11,27
2024-06-12,30
2024-06-13,27
2024-06-14,24
2024-06-15,33
2024-06-16,49
2024-06-17,38
2024-06-18,20
2024-06-19,33
2024-06-20,63
2024-06-21,80
2024-06-22,100
2024-06-23,67
2024-06-24,68
2024-06-25,68
2024-06-26,53
2024-06-27,42
2024-06-28,40
2024-06-29,44
2024-06-30,36
2024-07-01,33
2024-07-02,42
2024-07-03,41
2024-07-04,37
2024-07-05,43
2024-07-06,36
2024-07-07,35
2024-07-08,29
2024-07-09,24
2024-07-10,21
2024-07-11,17
2024-07-12,22
2024-07-13,31
2024-07-14,20
2024-07-15,26
2024-07-16,23
2024-07-17,14
2024-07-18,18
2024-07-19,24
2024-07-20,20
2024-07-21,27
2024-07-22,18
2024-07-23,17
2024-07-24,22
2024-07-25,21
2024-07-26,29
2024-07-27,47
2024-07-28,25
2024-07-29,17
2024-07-30,22
2024-07-31,19
2024-08-01,27
2024-08-02,24
2024-08-03,29
2024-08-04,24
2024-08-05,30
2024-08-06,0
2024-08-07,19
2024-08-08,0
2024-08-09,21
2024-08-10,20
2024-08-11,18
2024-08-12,13
2024-08-13,21
2024-08-14,34
2024-08-15,22
2024-08-16,14
2024-08-17,16
2024-08-18,18
2024-08-19,19
2024-08-20,19
2024-08-21,25
2024-08-22,22
2024-08-23,22
2024-08-24,15
2024-08-25,16
2024-08-26,20
2024-08-27,17
2024-08-28,14
2024-08-29,25
2024-08-30,32
2024-08-31,33
2024-09-01,30
2024-09-02,29
2024-09-03,11
2024-09-04,20
2024-09-05,19
2024-09-06,0
2024-09-07,17
2024-09-08,0
2024-09-09,12
2024-09-10,12
2024-09-11,0
2024-09-12,22
2024-09-13,18
2024-09-14,0
2024-09-15,14
2024-09-16,14
