Time,shawn kemp
2023-04-26,30
2023-04-27,36
2023-04-28,24
2023-04-29,43
2023-04-30,30
2023-05-01,69
2023-05-02,29
2023-05-03,35
2023-05-04,36
2023-05-05,47
2023-05-06,36
2023-05-07,49
2023-05-08,27
2023-05-09,41
2023-05-10,36
2023-05-11,38
2023-05-12,29
2023-05-13,44
2023-05-14,43
2023-05-15,24
2023-05-16,31
2023-05-17,38
2023-05-18,33
2023-05-19,47
2023-05-20,40
2023-05-21,42
2023-05-22,34
2023-05-23,36
2023-05-24,26
2023-05-25,29
2023-05-26,41
2023-05-27,55
2023-05-28,50
2023-05-29,37
2023-05-30,17
2023-05-31,38
2023-06-01,56
2023-06-02,46
2023-06-03,57
2023-06-04,57
2023-06-05,45
2023-06-06,29
2023-06-07,28
2023-06-08,15
2023-06-09,38
2023-06-10,27
2023-06-11,40
2023-06-12,44
2023-06-13,35
2023-06-14,24
2023-06-15,29
2023-06-16,38
2023-06-17,48
2023-06-18,34
2023-06-19,50
2023-06-20,47
2023-06-21,25
2023-06-22,37
2023-06-23,34
2023-06-24,29
2023-06-25,37
2023-06-26,32
2023-06-27,25
2023-06-28,33
2023-06-29,40
2023-06-30,39
2023-07-01,36
2023-07-02,35
2023-07-03,40
2023-07-04,37
2023-07-05,55
2023-07-06,26
2023-07-07,31
2023-07-08,37
2023-07-09,43
2023-07-10,32
2023-07-11,42
2023-07-12,46
2023-07-13,23
2023-07-14,37
2023-07-15,41
2023-07-16,40
2023-07-17,30
2023-07-18,28
2023-07-19,31
2023-07-20,17
2023-07-21,26
2023-07-22,29
2023-07-23,55
2023-07-24,45
2023-07-25,28
2023-07-26,56
2023-07-27,41
2023-07-28,33
2023-07-29,47
2023-07-30,39
2023-07-31,25
2023-08-01,19
2023-08-02,32
2023-08-03,20
2023-08-04,63
2023-08-05,53
2023-08-06,40
2023-08-07,100
2023-08-08,33
2023-08-09,22
2023-08-10,20
2023-08-11,37
2023-08-12,20
2023-08-13,0
2023-08-14,18
2023-08-15,34
2023-08-16,35
2023-08-17,41
2023-08-18,18
2023-08-19,23
2023-08-20,41
2023-08-21,37
2023-08-22,40
2023-08-23,40
2023-08-24,32
2023-08-25,26
2023-08-26,33
2023-08-27,46
2023-08-28,38
2023-08-29,25
2023-08-30,24
2023-08-31,22
2023-09-01,24
2023-09-02,0
2023-09-03,22
2023-09-04,0
2023-09-05,23
2023-09-06,27
2023-09-07,19
2023-09-08,23
2023-09-09,28
2023-09-10,32
2023-09-11,19
2023-09-12,18
2023-09-13,31
2023-09-14,33
2023-09-15,24
2023-09-16,25
2023-09-17,29
2023-09-18,24
2023-09-19,23
2023-09-20,0
2023-09-21,37
2023-09-22,27
2023-09-23,28
2023-09-24,42
2023-09-25,19
2023-09-26,0
2023-09-27,22
2023-09-28,26
2023-09-29,26
2023-09-30,38
2023-10-01,33
2023-10-02,54
2023-10-03,21
2023-10-04,17
2023-10-05,18
2023-10-06,29
2023-10-07,23
2023-10-08,26
2023-10-09,24
2023-10-10,21
2023-10-11,31
2023-10-12,26
2023-10-13,18
2023-10-14,34
2023-10-15,19
2023-10-16,30
2023-10-17,24
2023-10-18,18
2023-10-19,25
2023-10-20,23
2023-10-21,25
2023-10-22,0
2023-10-23,28
2023-10-24,0
2023-10-25,24
2023-10-26,24
2023-10-27,24
2023-10-28,35
2023-10-29,24
2023-10-30,36
2023-10-31,37
2023-11-01,22
2023-11-02,17
2023-11-03,21
2023-11-04,41
2023-11-05,30
2023-11-06,43
2023-11-07,23
2023-11-08,19
2023-11-09,37
2023-11-10,0
2023-11-11,18
2023-11-12,0
2023-11-13,24
2023-11-14,22
2023-11-15,32
2023-11-16,22
2023-11-17,24
2023-11-18,33
2023-11-19,0
2023-11-20,0
2023-11-21,32
2023-11-22,35
2023-11-23,34
2023-11-24,40
2023-11-25,30
2023-11-26,30
2023-11-27,45
2023-11-28,44
2023-11-29,25
2023-11-30,29
2023-12-01,38
2023-12-02,31
2023-12-03,33
2023-12-04,31
2023-12-05,19
2023-12-06,20
2023-12-07,19
2023-12-08,30
2023-12-09,43
2023-12-10,19
2023-12-11,31
2023-12-12,24
2023-12-13,36
2023-12-14,18
2023-12-15,38
2023-12-16,39
2023-12-17,32
2023-12-18,0
2023-12-19,0
2023-12-20,27
2023-12-21,36
2023-12-22,31
2023-12-23,26
2023-12-24,46
2023-12-25,47
2023-12-26,24
2023-12-27,38
2023-12-28,33
2023-12-29,53
2023-12-30,39
2023-12-31,50
2024-01-01,39
2024-01-02,28
2024-01-03,22
2024-01-04,29
2024-01-05,16
2024-01-06,30
2024-01-07,30
2024-01-08,17
2024-01-09,22
2024-01-10,0
2024-01-11,21
2024-01-12,27
2024-01-13,20
2024-01-14,28
2024-01-15,30
2024-01-16,20
2024-01-17,33
2024-01-18,21
2024-01-19,16
2024-01-20,33
