Time,shawn kemp
2025-12-11,36
2025-12-12,43
2025-12-13,47
2025-12-14,28
2025-12-15,37
2025-12-16,45
2025-12-17,38
2025-12-18,43
2025-12-19,40
2025-12-20,46
2025-12-21,38
2025-12-22,0
2025-12-23,92
2025-12-24,47
2025-12-25,40
2025-12-26,35
2025-12-27,42
2025-12-28,51
2025-12-29,37
2025-12-30,0
2025-12-31,31
2026-01-01,30
2026-01-02,35
2026-01-03,38
2026-01-04,57
2026-01-05,34
2026-01-06,26
2026-01-07,27
2026-01-08,0
2026-01-09,32
2026-01-10,34
2026-01-11,43
2026-01-12,47
2026-01-13,33
2026-01-14,29
2026-01-15,35
2026-01-16,33
2026-01-17,36
2026-01-18,35
2026-01-19,50
2026-01-20,26
2026-01-21,0
2026-01-22,45
2026-01-23,37
2026-01-24,62
2026-01-25,0
2026-01-26,32
2026-01-27,34
2026-01-28,41
2026-01-29,44
2026-01-30,30
2026-01-31,58
2026-02-01,46
2026-02-02,30
2026-02-03,39
2026-02-04,43
2026-02-05,27
2026-02-06,32
2026-02-07,55
2026-02-08,49
2026-02-09,40
2026-02-10,40
2026-02-11,30
2026-02-12,32
2026-02-13,33
2026-02-14,68
2026-02-15,62
2026-02-16,31
2026-02-17,27
2026-02-18,33
2026-02-19,37
2026-02-20,44
2026-02-21,51
2026-02-22,43
2026-02-23,32
2026-02-24,37
2026-02-25,39
2026-02-26,30
2026-02-27,49
2026-02-28,66
2026-03-01,45
2026-03-02,28
2026-03-03,29
2026-03-04,54
2026-03-05,76
2026-03-06,46
2026-03-07,0
2026-03-08,42
2026-03-09,35
2026-03-10,32
2026-03-11,33
2026-03-12,31
2026-03-13,44
2026-03-14,42
2026-03-15,53
2026-03-16,29
2026-03-17,70
2026-03-18,29
2026-03-19,45
2026-03-20,37
2026-03-21,40
2026-03-22,45
2026-03-23,54
2026-03-24,44
2026-03-25,66
2026-03-26,42
2026-03-27,44
2026-03-28,59
2026-03-29,60
2026-03-30,37
2026-03-31,38
2026-04-01,54
2026-04-02,32
2026-04-03,58
2026-04-04,55
2026-04-05,46
2026-04-06,43
2026-04-07,0
2026-04-08,41
2026-04-09,55
2026-04-10,69
2026-04-11,74
2026-04-12,62
2026-04-13,58
2026-04-14,72
2026-04-15,100
2026-04-16,58
2026-04-17,56
2026-04-18,77
2026-04-19,67
2026-04-20,60
2026-04-21,55
2026-04-22,49
2026-04-23,34
2026-04-24,48
2026-04-25,59
2026-04-26,36
2026-04-27,48
2026-04-28,40
2026-04-29,40
2026-04-30,50
2026-05-01,32
2026-05-02,47
2026-05-03,49
2026-05-04,0
2026-05-05,41
2026-05-06,25
2026-05-07,48
2026-05-08,40
2026-05-09,43
2026-05-10,40
2026-05-11,42
2026-05-12,53
2026-05-13,24
2026-05-14,37
2026-05-15,47
2026-05-16,52
2026-05-17,56
2026-05-18,33
2026-05-19,35
2026-05-20,36
2026-05-21,33
2026-05-22,54
2026-05-23,48
2026-05-24,83
2026-05-25,35
2026-05-26,34
2026-05-27,35
2026-05-28,0
2026-05-29,59
2026-05-30,30
2026-05-31,46
