Time,shawn kemp
2024-08-18,45
2024-08-19,48
2024-08-20,48
2024-08-21,62
2024-08-22,56
2024-08-23,57
2024-08-24,37
2024-08-25,41
2024-08-26,51
2024-08-27,44
2024-08-28,36
2024-08-29,62
2024-08-30,81
2024-08-31,83
2024-09-01,76
2024-09-02,74
2024-09-03,28
2024-09-04,50
2024-09-05,47
2024-09-06,0
2024-09-07,44
2024-09-08,0
2024-09-09,30
2024-09-10,30
2024-09-11,0
2024-09-12,56
2024-09-13,47
2024-09-14,0
2024-09-15,35
2024-09-16,35
2024-09-17,53
2024-09-18,38
2024-09-19,69
2024-09-20,42
2024-09-21,50
2024-09-22,0
2024-09-23,42
2024-09-24,37
2024-09-25,32
2024-09-26,40
2024-09-27,30
2024-09-28,39
2024-09-29,51
2024-09-30,44
2024-10-01,0
2024-10-02,52
2024-10-03,40
2024-10-04,49
2024-10-05,58
2024-10-06,41
2024-10-07,47
2024-10-08,33
2024-10-09,51
2024-10-10,0
2024-10-11,63
2024-10-12,90
2024-10-13,34
2024-10-14,52
2024-10-15,40
2024-10-16,33
2024-10-17,50
2024-10-18,35
2024-10-19,0
2024-10-20,45
2024-10-21,57
2024-10-22,56
2024-10-23,46
2024-10-24,35
2024-10-25,41
2024-10-26,79
2024-10-27,45
2024-10-28,29
2024-10-29,32
2024-10-30,36
2024-10-31,49
2024-11-01,38
2024-11-02,46
2024-11-03,68
2024-11-04,42
2024-11-05,0
2024-11-06,46
2024-11-07,30
2024-11-08,32
2024-11-09,63
2024-11-10,0
2024-11-11,73
2024-11-12,69
2024-11-13,38
2024-11-14,33
2024-11-15,0
2024-11-16,35
2024-11-17,0
2024-11-18,0
2024-11-19,0
2024-11-20,0
2024-11-21,30
2024-11-22,37
2024-11-23,0
2024-11-24,62
2024-11-25,56
2024-11-26,56
2024-11-27,73
2024-11-28,39
2024-11-29,38
2024-11-30,39
2024-12-01,0
2024-12-02,0
2024-12-03,0
2024-12-04,38
2024-12-05,0
2024-12-06,50
2024-12-07,40
2024-12-08,0
2024-12-09,38
2024-12-10,54
2024-12-11,33
2024-12-12,0
2024-12-13,44
2024-12-14,0
2024-12-15,0
2024-12-16,35
2024-12-17,33
2024-12-18,43
2024-12-19,59
2024-12-20,48
2024-12-21,43
2024-12-22,49
2024-12-23,57
2024-12-24,55
2024-12-25,41
2024-12-26,48
2024-12-27,48
2024-12-28,67
2024-12-29,57
2024-12-30,50
2024-12-31,68
2025-01-01,42
2025-01-02,48
2025-01-03,74
2025-01-04,55
2025-01-05,58
2025-01-06,52
2025-01-07,34
2025-01-08,0
2025-01-09,55
2025-01-10,49
2025-01-11,68
2025-01-12,79
2025-01-13,30
2025-01-14,33
2025-01-15,66
2025-01-16,72
2025-01-17,50
2025-01-18,59
2025-01-19,64
2025-01-20,46
2025-01-21,52
2025-01-22,35
2025-01-23,56
2025-01-24,35
2025-01-25,68
2025-01-26,53
2025-01-27,40
2025-01-28,34
2025-01-29,50
2025-01-30,46
2025-01-31,65
2025-02-01,46
2025-02-02,71
2025-02-03,66
2025-02-04,58
2025-02-05,44
2025-02-06,55
2025-02-07,51
2025-02-08,51
2025-02-09,40
2025-02-10,37
2025-02-11,36
2025-02-12,63
2025-02-13,45
2025-02-14,53
2025-02-15,73
2025-02-16,70
2025-02-17,71
2025-02-18,50
2025-02-19,58
2025-02-20,58
2025-02-21,42
2025-02-22,44
2025-02-23,90
2025-02-24,39
2025-02-25,73
2025-02-26,80
2025-02-27,36
2025-02-28,56
2025-03-01,93
2025-03-02,52
2025-03-03,63
2025-03-04,48
2025-03-05,40
2025-03-06,57
2025-03-07,76
2025-03-08,85
2025-03-09,93
2025-03-10,49
2025-03-11,59
2025-03-12,29
2025-03-13,35
2025-03-14,50
2025-03-15,57
2025-03-16,45
2025-03-17,53
2025-03-18,62
2025-03-19,56
2025-03-20,31
2025-03-21,53
2025-03-22,57
2025-03-23,0
2025-03-24,56
2025-03-25,0
2025-03-26,63
2025-03-27,58
2025-03-28,76
2025-03-29,39
2025-03-30,58
2025-03-31,51
2025-04-01,70
2025-04-02,50
2025-04-03,49
2025-04-04,47
2025-04-05,63
2025-04-06,52
2025-04-07,44
2025-04-08,44
2025-04-09,0
2025-04-10,44
2025-04-11,0
2025-04-12,72
2025-04-13,80
2025-04-14,34
2025-04-15,43
2025-04-16,67
2025-04-17,36
2025-04-18,53
2025-04-19,48
2025-04-20,100
2025-04-21,59
2025-04-22,64
2025-04-23,48
2025-04-24,34
2025-04-25,44
2025-04-26,0
2025-04-27,56
2025-04-28,0
2025-04-29,47
2025-04-30,60
2025-05-01,40
2025-05-02,49
2025-05-03,61
2025-05-04,72
2025-05-05,41
2025-05-06,62
2025-05-07,40
2025-05-08,79
2025-05-09,52
2025-05-10,46
2025-05-11,70
2025-05-12,62
2025-05-13,47
2025-05-14,30
