Time,epic
2022-08-29,60
2022-08-30,67
2022-08-31,66
2022-09-01,70
2022-09-02,69
2022-09-03,37
2022-09-04,33
2022-09-05,39
2022-09-06,69
2022-09-07,70
2022-09-08,71
2022-09-09,75
2022-09-10,32
2022-09-11,28
2022-09-12,69
2022-09-13,72
2022-09-14,73
2022-09-15,78
2022-09-16,78
2022-09-17,31
2022-09-18,39
2022-09-19,70
2022-09-20,75
2022-09-21,75
2022-09-22,80
2022-09-23,79
2022-09-24,30
2022-09-25,30
2022-09-26,64
2022-09-27,69
2022-09-28,71
2022-09-29,73
2022-09-30,76
2022-10-01,29
2022-10-02,27
2022-10-03,68
2022-10-04,75
2022-10-05,70
2022-10-06,71
2022-10-07,71
2022-10-08,29
2022-10-09,31
2022-10-10,54
2022-10-11,66
2022-10-12,66
2022-10-13,70
2022-10-14,66
2022-10-15,25
2022-10-16,27
2022-10-17,62
2022-10-18,71
2022-10-19,68
2022-10-20,69
2022-10-21,75
2022-10-22,28
2022-10-23,26
2022-10-24,67
2022-10-25,69
2022-10-26,70
2022-10-27,73
2022-10-28,67
2022-10-29,26
2022-10-30,27
2022-10-31,56
2022-11-01,66
2022-11-02,69
2022-11-03,73
2022-11-04,78
2022-11-05,26
2022-11-06,26
2022-11-07,65
2022-11-08,53
2022-11-09,64
2022-11-10,76
2022-11-11,57
2022-11-12,30
2022-11-13,28
2022-11-14,67
2022-11-15,66
2022-11-16,70
2022-11-17,71
2022-11-18,71
2022-11-19,31
2022-11-20,31
2022-11-21,52
2022-11-22,51
2022-11-23,36
2022-11-24,30
2022-11-25,31
2022-11-26,31
2022-11-27,32
2022-11-28,66
2022-11-29,67
2022-11-30,71
2022-12-01,74
2022-12-02,75
2022-12-03,43
2022-12-04,43
2022-12-05,71
2022-12-06,73
2022-12-07,75
2022-12-08,80
2022-12-09,79
2022-12-10,33
2022-12-11,35
2022-12-12,71
2022-12-13,79
2022-12-14,81
2022-12-15,80
2022-12-16,74
2022-12-17,51
2022-12-18,46
2022-12-19,72
2022-12-20,64
2022-12-21,63
2022-12-22,57
2022-12-23,49
2022-12-24,51
2022-12-25,100
2022-12-26,80
2022-12-27,61
2022-12-28,55
2022-12-29,54
2022-12-30,46
2022-12-31,43
2023-01-01,38
2023-01-02,43
2023-01-03,54
2023-01-04,64
2023-01-05,71
2023-01-06,70
2023-01-07,38
2023-01-08,37
2023-01-09,71
2023-01-10,76
2023-01-11,79
2023-01-12,88
2023-01-13,84
2023-01-14,43
2023-01-15,39
2023-01-16,40
2023-01-17,75
2023-01-18,76
2023-01-19,86
2023-01-20,80
2023-01-21,37
2023-01-22,35
2023-01-23,77
2023-01-24,80
2023-01-25,72
2023-01-26,83
2023-01-27,82
2023-01-28,38
2023-01-29,35
2023-01-30,69
2023-01-31,73
2023-02-01,73
2023-02-02,78
2023-02-03,77
2023-02-04,36
2023-02-05,38
2023-02-06,77
2023-02-07,80
2023-02-08,78
2023-02-09,77
2023-02-10,77
2023-02-11,34
2023-02-12,34
2023-02-13,66
2023-02-14,63
2023-02-15,77
2023-02-16,79
2023-02-17,76
2023-02-18,37
2023-02-19,36
2023-02-20,39
2023-02-21,65
2023-02-22,67
2023-02-23,68
2023-02-24,71
2023-02-25,33
2023-02-26,34
2023-02-27,74
2023-02-28,68
2023-03-01,73
2023-03-02,76
2023-03-03,73
2023-03-04,30
2023-03-05,32
2023-03-06,69
2023-03-07,74
2023-03-08,76
2023-03-09,77
2023-03-10,74
2023-03-11,37
2023-03-12,33
2023-03-13,60
2023-03-14,62
2023-03-15,62
2023-03-16,70
2023-03-17,60
2023-03-18,33
2023-03-19,33
2023-03-20,66
2023-03-21,67
2023-03-22,66
2023-03-23,69
2023-03-24,74
2023-03-25,30
2023-03-26,30
2023-03-27,61
2023-03-28,66
2023-03-29,64
2023-03-30,64
2023-03-31,61
2023-04-01,30
2023-04-02,30
2023-04-03,56
2023-04-04,56
2023-04-05,55
2023-04-06,69
2023-04-07,45
2023-04-08,33
2023-04-09,34
2023-04-10,52
2023-04-11,62
2023-04-12,62
2023-04-13,64
2023-04-14,64
2023-04-15,32
2023-04-16,34
2023-04-17,68
2023-04-18,64
2023-04-19,65
2023-04-20,68
2023-04-21,69
2023-04-22,31
2023-04-23,29
2023-04-24,62
2023-04-25,66
2023-04-26,66
2023-04-27,67
2023-04-28,69
2023-04-29,29
2023-04-30,29
2023-05-01,72
2023-05-02,65
2023-05-03,67
2023-05-04,71
2023-05-05,69
2023-05-06,28
2023-05-07,27
2023-05-08,68
2023-05-09,67
2023-05-10,68
2023-05-11,76
2023-05-12,68
2023-05-13,27
2023-05-14,27
2023-05-15,67
2023-05-16,66
2023-05-17,66
2023-05-18,72
2023-05-19,66
2023-05-20,30
2023-05-21,27
2023-05-22,62
2023-05-23,57
2023-05-24,56
2023-05-25,63
