Time,epic
2022-01-01,43
2022-01-02,45
2022-01-03,48
2022-01-04,53
2022-01-05,52
2022-01-06,44
2022-01-07,50
2022-01-08,43
2022-01-09,41
2022-01-10,50
2022-01-11,63
2022-01-12,48
2022-01-13,54
2022-01-14,39
2022-01-15,40
2022-01-16,35
2022-01-17,34
2022-01-18,45
2022-01-19,50
2022-01-20,50
2022-01-21,49
2022-01-22,45
2022-01-23,39
2022-01-24,58
2022-01-25,44
2022-01-26,41
2022-01-27,47
2022-01-28,57
2022-01-29,45
2022-01-30,40
2022-01-31,47
2022-02-01,51
2022-02-02,48
2022-02-03,50
2022-02-04,49
2022-02-05,39
2022-02-06,37
2022-02-07,52
2022-02-08,53
2022-02-09,50
2022-02-10,41
2022-02-11,51
2022-02-12,41
2022-02-13,35
2022-02-14,42
2022-02-15,48
2022-02-16,48
2022-02-17,50
2022-02-18,50
2022-02-19,41
2022-02-20,41
2022-02-21,43
2022-02-22,44
2022-02-23,43
2022-02-24,43
2022-02-25,46
2022-02-26,41
2022-02-27,37
2022-02-28,48
2022-03-01,46
2022-03-02,50
2022-03-03,48
2022-03-04,48
2022-03-05,36
2022-03-06,38
2022-03-07,44
2022-03-08,44
2022-03-09,45
2022-03-10,48
2022-03-11,47
2022-03-12,40
2022-03-13,39
2022-03-14,43
2022-03-15,41
2022-03-16,45
2022-03-17,43
2022-03-18,45
2022-03-19,41
2022-03-20,54
2022-03-21,52
2022-03-22,48
2022-03-23,50
2022-03-24,52
2022-03-25,100
2022-03-26,44
2022-03-27,43
2022-03-28,83
2022-03-29,86
2022-03-30,46
2022-03-31,94
2022-04-01,90
2022-04-02,42
2022-04-03,41
2022-04-04,83
2022-04-05,88
2022-04-06,92
2022-04-07,92
2022-04-08,91
2022-04-09,39
2022-04-10,36
2022-04-11,81
2022-04-12,91
2022-04-13,86
2022-04-14,83
2022-04-15,53
2022-04-16,36
2022-04-17,36
2022-04-18,68
2022-04-19,81
2022-04-20,82
2022-04-21,92
2022-04-22,89
2022-04-23,35
2022-04-24,34
2022-04-25,88
2022-04-26,90
2022-04-27,85
2022-04-28,92
2022-04-29,88
2022-04-30,35
2022-05-01,33
2022-05-02,84
2022-05-03,88
2022-05-04,89
2022-05-05,92
2022-05-06,92
2022-05-07,40
2022-05-08,32
2022-05-09,88
2022-05-10,92
2022-05-11,85
2022-05-12,99
2022-05-13,94
2022-05-14,34
2022-05-15,35
2022-05-16,92
2022-05-17,93
2022-05-18,87
2022-05-19,100
2022-05-20,92
2022-05-21,39
2022-05-22,38
2022-05-23,87
2022-05-24,83
2022-05-25,70
2022-05-26,75
2022-05-27,67
2022-05-28,34
2022-05-29,36
2022-05-30,37
2022-05-31,67
2022-06-01,64
2022-06-02,62
2022-06-03,61
2022-06-04,37
2022-06-05,44
2022-06-06,64
2022-06-07,62
2022-06-08,58
2022-06-09,66
2022-06-10,62
2022-06-11,40
2022-06-12,40
2022-06-13,54
2022-06-14,50
2022-06-15,49
2022-06-16,49
2022-06-17,40
2022-06-18,33
2022-06-19,31
2022-06-20,38
2022-06-21,57
2022-06-22,61
2022-06-23,55
2022-06-24,49
2022-06-25,45
2022-06-26,43
2022-06-27,46
2022-06-28,45
2022-06-29,53
2022-06-30,45
2022-07-01,43
2022-07-02,38
2022-07-03,35
2022-07-04,36
2022-07-05,39
2022-07-06,39
2022-07-07,42
2022-07-08,41
2022-07-09,39
2022-07-10,36
2022-07-11,39
2022-07-12,41
2022-07-13,39
2022-07-14,40
2022-07-15,36
2022-07-16,35
2022-07-17,35
2022-07-18,39
2022-07-19,42
2022-07-20,41
2022-07-21,40
2022-07-22,37
2022-07-23,35
2022-07-24,34
2022-07-25,40
2022-07-26,39
2022-07-27,37
2022-07-28,37
2022-07-29,37
2022-07-30,31
2022-07-31,33
2022-08-01,35
2022-08-02,37
2022-08-03,38
2022-08-04,39
2022-08-05,41
2022-08-06,33
2022-08-07,33
2022-08-08,41
2022-08-09,41
2022-08-10,44
2022-08-11,46
2022-08-12,48
2022-08-13,33
2022-08-14,34
2022-08-15,48
2022-08-16,57
2022-08-17,59
2022-08-18,61
2022-08-19,67
2022-08-20,35
2022-08-21,41
2022-08-22,60
2022-08-23,73
2022-08-24,71
2022-08-25,74
2022-08-26,78
2022-08-27,38
2022-08-28,39
2022-08-29,70
2022-08-30,77
2022-08-31,76
2022-09-01,80
2022-09-02,79
2022-09-03,43
2022-09-04,38
2022-09-05,45
2022-09-06,80
2022-09-07,81
2022-09-08,82
2022-09-09,86
2022-09-10,37
2022-09-11,32
2022-09-12,80
2022-09-13,83
2022-09-14,84
2022-09-15,89
2022-09-16,90
2022-09-17,35
2022-09-18,45
2022-09-19,80
2022-09-20,87
2022-09-21,87
2022-09-22,93
2022-09-23,91
2022-09-24,35
2022-09-25,35
2022-09-26,73
2022-09-27,79
