Time,electoral votes
2023-12-22,15
2023-12-23,7
2023-12-24,4
2023-12-25,6
2023-12-26,5
2023-12-27,9
2023-12-28,7
2023-12-29,57
2023-12-30,17
2023-12-31,8
2024-01-01,7
2024-01-02,9
2024-01-03,13
2024-01-04,13
2024-01-05,17
2024-01-06,9
2024-01-07,9
2024-01-08,15
2024-01-09,12
2024-01-10,20
2024-01-11,17
2024-01-12,16
2024-01-13,7
2024-01-14,8
2024-01-15,13
2024-01-16,34
2024-01-17,21
2024-01-18,17
2024-01-19,16
2024-01-20,11
2024-01-21,14
2024-01-22,18
2024-01-23,24
2024-01-24,37
2024-01-25,20
2024-01-26,19
2024-01-27,7
2024-01-28,8
2024-01-29,18
2024-01-30,18
2024-01-31,17
2024-02-01,17
2024-02-02,18
2024-02-03,7
2024-02-04,9
2024-02-05,17
2024-02-06,18
2024-02-07,18
2024-02-08,20
2024-02-09,21
2024-02-10,10
2024-02-11,9
2024-02-12,17
2024-02-13,15
2024-02-14,18
2024-02-15,19
2024-02-16,12
2024-02-17,7
2024-02-18,6
2024-02-19,11
2024-02-20,16
2024-02-21,16
2024-02-22,17
2024-02-23,16
2024-02-24,9
2024-02-25,13
2024-02-26,23
2024-02-27,20
2024-02-28,22
2024-02-29,20
2024-03-01,22
2024-03-02,10
2024-03-03,12
2024-03-04,35
2024-03-05,30
2024-03-06,49
2024-03-07,28
2024-03-08,21
2024-03-09,10
2024-03-10,12
2024-03-11,19
2024-03-12,23
2024-03-13,23
2024-03-14,21
2024-03-15,16
2024-03-16,7
2024-03-17,8
2024-03-18,20
2024-03-19,24
2024-03-20,21
2024-03-21,21
2024-03-22,18
2024-03-23,9
2024-03-24,10
2024-03-25,15
2024-03-26,19
2024-03-27,21
2024-03-28,18
2024-03-29,7
2024-03-30,6
2024-03-31,9
2024-04-01,13
2024-04-02,17
2024-04-03,23
2024-04-04,23
2024-04-05,17
2024-04-06,8
2024-04-07,10
2024-04-08,18
2024-04-09,17
2024-04-10,20
2024-04-11,22
2024-04-12,21
2024-04-13,8
2024-04-14,7
2024-04-15,20
2024-04-16,20
2024-04-17,17
2024-04-18,21
2024-04-19,18
2024-04-20,7
2024-04-21,7
2024-04-22,18
2024-04-23,19
2024-04-24,21
2024-04-25,22
2024-04-26,21
2024-04-27,7
2024-04-28,10
2024-04-29,19
2024-04-30,21
2024-05-01,18
2024-05-02,19
2024-05-03,16
2024-05-04,9
2024-05-05,10
2024-05-06,17
2024-05-07,18
2024-05-08,19
2024-05-09,18
2024-05-10,15
2024-05-11,7
2024-05-12,8
2024-05-13,20
2024-05-14,19
2024-05-15,16
2024-05-16,15
2024-05-17,13
2024-05-18,7
2024-05-19,6
2024-05-20,11
2024-05-21,14
2024-05-22,15
2024-05-23,16
2024-05-24,12
2024-05-25,8
2024-05-26,6
2024-05-27,9
2024-05-28,11
2024-05-29,10
2024-05-30,12
2024-05-31,13
2024-06-01,8
2024-06-02,9
2024-06-03,12
2024-06-04,11
2024-06-05,11
2024-06-06,9
2024-06-07,8
2024-06-08,6
2024-06-09,9
2024-06-10,9
2024-06-11,9
2024-06-12,8
2024-06-13,8
2024-06-14,7
2024-06-15,6
2024-06-16,10
2024-06-17,8
2024-06-18,9
2024-06-19,8
2024-06-20,7
2024-06-21,8
2024-06-22,7
2024-06-23,10
2024-06-24,9
2024-06-25,8
2024-06-26,11
2024-06-27,10
2024-06-28,29
2024-06-29,15
2024-06-30,13
2024-07-01,15
2024-07-02,14
2024-07-03,14
2024-07-04,15
2024-07-05,12
2024-07-06,12
2024-07-07,11
2024-07-08,13
2024-07-09,14
2024-07-10,10
2024-07-11,12
2024-07-12,15
2024-07-13,15
2024-07-14,22
2024-07-15,48
2024-07-16,30
2024-07-17,32
2024-07-18,28
2024-07-19,24
2024-07-20,19
2024-07-21,54
2024-07-22,88
2024-07-23,73
2024-07-24,59
2024-07-25,52
2024-07-26,40
2024-07-27,41
2024-07-28,40
2024-07-29,37
2024-07-30,57
2024-07-31,47
2024-08-01,29
2024-08-02,36
2024-08-03,40
2024-08-04,33
2024-08-05,38
2024-08-06,100
2024-08-07,40
2024-08-08,31
2024-08-09,26
2024-08-10,26
2024-08-11,23
2024-08-12,20
2024-08-13,23
2024-08-14,27
2024-08-15,23
2024-08-16,20
2024-08-17,25
2024-08-18,29
2024-08-19,31
2024-08-20,32
2024-08-21,80
2024-08-22,38
2024-08-23,48
2024-08-24,34
2024-08-25,30
2024-08-26,29
2024-08-27,26
2024-08-28,30
2024-08-29,27
2024-08-30,27
2024-08-31,20
2024-09-01,20
2024-09-02,22
2024-09-03,30
2024-09-04,35
2024-09-05,34
2024-09-06,32
2024-09-07,21
2024-09-08,18
2024-09-09,30
2024-09-10,35
2024-09-11,66
2024-09-12,46
2024-09-13,49
2024-09-14,33
2024-09-15,33
2024-09-16,35
