Time,electoral votes
2022-01-01,8
2022-01-02,11
2022-01-03,8
2022-01-04,22
2022-01-05,20
2022-01-06,31
2022-01-07,21
2022-01-08,9
2022-01-09,7
2022-01-10,20
2022-01-11,30
2022-01-12,27
2022-01-13,38
2022-01-14,24
2022-01-15,18
2022-01-16,12
2022-01-17,10
2022-01-18,27
2022-01-19,25
2022-01-20,22
2022-01-21,30
2022-01-22,11
2022-01-23,13
2022-01-24,37
2022-01-25,26
2022-01-26,100
2022-01-27,45
2022-01-28,36
2022-01-29,29
2022-01-30,22
2022-01-31,26
2022-02-01,24
2022-02-02,21
2022-02-03,27
2022-02-04,19
2022-02-05,20
2022-02-06,11
2022-02-07,21
2022-02-08,31
2022-02-09,26
2022-02-10,25
2022-02-11,22
2022-02-12,9
2022-02-13,17
2022-02-14,20
2022-02-15,26
2022-02-16,27
2022-02-17,26
2022-02-18,27
2022-02-19,16
2022-02-20,6
2022-02-21,16
2022-02-22,28
2022-02-23,20
2022-02-24,29
2022-02-25,26
2022-02-26,14
2022-02-27,14
2022-02-28,31
2022-03-01,30
2022-03-02,32
2022-03-03,30
2022-03-04,30
2022-03-05,11
2022-03-06,14
2022-03-07,28
2022-03-08,30
2022-03-09,27
2022-03-10,32
2022-03-11,27
2022-03-12,7
2022-03-13,17
2022-03-14,17
2022-03-15,22
2022-03-16,25
2022-03-17,25
2022-03-18,22
2022-03-19,14
2022-03-20,16
2022-03-21,26
2022-03-22,25
2022-03-23,25
2022-03-24,28
2022-03-25,44
2022-03-26,15
2022-03-27,15
2022-03-28,44
2022-03-29,54
2022-03-30,31
2022-03-31,48
2022-04-01,43
2022-04-02,18
2022-04-03,16
2022-04-04,52
2022-04-05,39
2022-04-06,44
2022-04-07,43
2022-04-08,38
2022-04-09,14
2022-04-10,20
2022-04-11,46
2022-04-12,38
2022-04-13,38
2022-04-14,42
2022-04-15,26
2022-04-16,11
2022-04-17,17
2022-04-18,40
2022-04-19,43
2022-04-20,39
2022-04-21,45
2022-04-22,39
2022-04-23,16
2022-04-24,21
2022-04-25,45
2022-04-26,52
2022-04-27,47
2022-04-28,50
2022-04-29,39
2022-04-30,16
2022-05-01,23
2022-05-02,46
2022-05-03,46
2022-05-04,46
2022-05-05,54
2022-05-06,42
2022-05-07,17
2022-05-08,20
2022-05-09,49
2022-05-10,44
2022-05-11,59
2022-05-12,42
2022-05-13,33
2022-05-14,15
2022-05-15,11
2022-05-16,39
2022-05-17,36
2022-05-18,38
2022-05-19,39
2022-05-20,27
2022-05-21,11
2022-05-22,10
2022-05-23,27
2022-05-24,31
2022-05-25,26
2022-05-26,22
2022-05-27,13
2022-05-28,8
2022-05-29,9
2022-05-30,8
2022-05-31,22
2022-06-01,19
2022-06-02,20
2022-06-03,18
2022-06-04,11
2022-06-05,16
2022-06-06,20
2022-06-07,19
2022-06-08,20
2022-06-09,17
2022-06-10,20
2022-06-11,13
2022-06-12,17
2022-06-13,17
2022-06-14,15
2022-06-15,20
2022-06-16,32
2022-06-17,26
2022-06-18,16
2022-06-19,13
2022-06-20,20
2022-06-21,29
2022-06-22,24
2022-06-23,21
2022-06-24,25
2022-06-25,22
2022-06-26,21
2022-06-27,16
2022-06-28,20
2022-06-29,22
2022-06-30,23
2022-07-01,19
2022-07-02,17
2022-07-03,17
2022-07-04,17
2022-07-05,19
2022-07-06,10
2022-07-07,11
2022-07-08,15
2022-07-09,13
2022-07-10,20
2022-07-11,13
2022-07-12,20
2022-07-13,18
2022-07-14,12
2022-07-15,14
2022-07-16,17
2022-07-17,10
2022-07-18,13
2022-07-19,15
2022-07-20,21
2022-07-21,14
2022-07-22,20
2022-07-23,15
2022-07-24,13
2022-07-25,16
2022-07-26,15
2022-07-27,17
2022-07-28,12
2022-07-29,14
2022-07-30,8
2022-07-31,10
2022-08-01,15
2022-08-02,11
2022-08-03,15
2022-08-04,13
2022-08-05,10
2022-08-06,10
2022-08-07,10
2022-08-08,12
2022-08-09,14
2022-08-10,13
2022-08-11,14
2022-08-12,17
2022-08-13,9
2022-08-14,13
2022-08-15,11
2022-08-16,17
2022-08-17,28
2022-08-18,12
2022-08-19,15
2022-08-20,8
2022-08-21,11
2022-08-22,13
2022-08-23,12
2022-08-24,16
2022-08-25,15
2022-08-26,16
2022-08-27,8
2022-08-28,14
2022-08-29,18
2022-08-30,18
2022-08-31,20
2022-09-01,22
2022-09-02,22
2022-09-03,8
2022-09-04,12
2022-09-05,11
2022-09-06,22
2022-09-07,22
2022-09-08,23
2022-09-09,20
2022-09-10,11
2022-09-11,8
2022-09-12,20
2022-09-13,22
2022-09-14,26
2022-09-15,27
2022-09-16,27
2022-09-17,13
2022-09-18,11
2022-09-19,34
2022-09-20,31
2022-09-21,34
2022-09-22,30
2022-09-23,29
2022-09-24,11
2022-09-25,16
2022-09-26,32
2022-09-27,36
