Time,notre dame basketball
2023-04-26,9
2023-04-27,13
2023-04-28,7
2023-04-29,8
2023-04-30,7
2023-05-01,9
2023-05-02,10
2023-05-03,12
2023-05-04,12
2023-05-05,11
2023-05-06,8
2023-05-07,9
2023-05-08,8
2023-05-09,9
2023-05-10,8
2023-05-11,9
2023-05-12,5
2023-05-13,6
2023-05-14,7
2023-05-15,7
2023-05-16,6
2023-05-17,6
2023-05-18,8
2023-05-19,11
2023-05-20,8
2023-05-21,12
2023-05-22,8
2023-05-23,6
2023-05-24,8
2023-05-25,4
2023-05-26,4
2023-05-27,7
2023-05-28,8
2023-05-29,8
2023-05-30,7
2023-05-31,6
2023-06-01,11
2023-06-02,8
2023-06-03,8
2023-06-04,8
2023-06-05,4
2023-06-06,6
2023-06-07,6
2023-06-08,8
2023-06-09,7
2023-06-10,7
2023-06-11,7
2023-06-12,5
2023-06-13,8
2023-06-14,5
2023-06-15,6
2023-06-16,5
2023-06-17,5
2023-06-18,8
2023-06-19,4
2023-06-20,6
2023-06-21,6
2023-06-22,6
2023-06-23,8
2023-06-24,5
2023-06-25,6
2023-06-26,6
2023-06-27,6
2023-06-28,4
2023-06-29,5
2023-06-30,4
2023-07-01,6
2023-07-02,7
2023-07-03,5
2023-07-04,5
2023-07-05,4
2023-07-06,7
2023-07-07,6
2023-07-08,0
2023-07-09,7
2023-07-10,5
2023-07-11,5
2023-07-12,6
2023-07-13,3
2023-07-14,0
2023-07-15,5
2023-07-16,4
2023-07-17,6
2023-07-18,4
2023-07-19,4
2023-07-20,5
2023-07-21,6
2023-07-22,0
2023-07-23,0
2023-07-24,5
2023-07-25,6
2023-07-26,5
2023-07-27,4
2023-07-28,4
2023-07-29,4
2023-07-30,0
2023-07-31,5
2023-08-01,4
2023-08-02,6
2023-08-03,20
2023-08-04,9
2023-08-05,9
2023-08-06,8
2023-08-07,7
2023-08-08,6
2023-08-09,8
2023-08-10,21
2023-08-11,13
2023-08-12,10
2023-08-13,12
2023-08-14,8
2023-08-15,8
2023-08-16,4
2023-08-17,9
2023-08-18,7
2023-08-19,5
2023-08-20,8
2023-08-21,6
2023-08-22,10
2023-08-23,7
2023-08-24,4
2023-08-25,8
2023-08-26,16
2023-08-27,7
2023-08-28,6
2023-08-29,5
2023-08-30,9
2023-08-31,6
2023-09-01,5
2023-09-02,10
2023-09-03,11
2023-09-04,8
2023-09-05,6
2023-09-06,5
2023-09-07,6
2023-09-08,7
2023-09-09,13
2023-09-10,7
2023-09-11,5
2023-09-12,8
2023-09-13,6
2023-09-14,6
2023-09-15,7
2023-09-16,10
2023-09-17,5
2023-09-18,7
2023-09-19,8
2023-09-20,9
2023-09-21,9
2023-09-22,8
2023-09-23,14
2023-09-24,24
2023-09-25,7
2023-09-26,6
2023-09-27,11
2023-09-28,8
2023-09-29,8
2023-09-30,13
2023-10-01,16
2023-10-02,9
2023-10-03,9
2023-10-04,11
2023-10-05,10
2023-10-06,8
2023-10-07,13
2023-10-08,17
2023-10-09,10
2023-10-10,7
2023-10-11,9
2023-10-12,8
2023-10-13,7
2023-10-14,12
2023-10-15,26
2023-10-16,13
2023-10-17,11
2023-10-18,10
2023-10-19,10
2023-10-20,8
2023-10-21,13
2023-10-22,12
2023-10-23,11
2023-10-24,6
2023-10-25,10
2023-10-26,12
2023-10-27,11
2023-10-28,16
2023-10-29,15
2023-10-30,16
2023-10-31,21
2023-11-01,18
2023-11-02,27
2023-11-03,16
2023-11-04,33
2023-11-05,28
2023-11-06,86
2023-11-07,99
2023-11-08,32
2023-11-09,22
2023-11-10,22
2023-11-11,79
2023-11-12,56
2023-11-13,25
2023-11-14,21
2023-11-15,32
2023-11-16,59
2023-11-17,100
2023-11-18,90
2023-11-19,42
2023-11-20,23
2023-11-21,26
2023-11-22,39
2023-11-23,53
2023-11-24,37
2023-11-25,40
2023-11-26,41
2023-11-27,22
2023-11-28,40
2023-11-29,81
2023-11-30,38
2023-12-01,22
2023-12-02,83
2023-12-03,30
2023-12-04,19
2023-12-05,31
2023-12-06,48
2023-12-07,31
2023-12-08,20
2023-12-09,42
2023-12-10,90
2023-12-11,21
2023-12-12,20
2023-12-13,18
2023-12-14,18
2023-12-15,18
2023-12-16,69
2023-12-17,53
2023-12-18,26
2023-12-19,45
2023-12-20,68
2023-12-21,37
2023-12-22,52
2023-12-23,56
2023-12-24,21
2023-12-25,16
2023-12-26,17
2023-12-27,14
2023-12-28,21
2023-12-29,49
2023-12-30,99
2023-12-31,49
2024-01-01,22
2024-01-02,22
2024-01-03,31
2024-01-04,64
2024-01-05,33
2024-01-06,83
2024-01-07,98
2024-01-08,32
2024-01-09,24
2024-01-10,58
2024-01-11,28
2024-01-12,33
2024-01-13,68
2024-01-14,56
2024-01-15,30
2024-01-16,42
2024-01-17,20
2024-01-18,26
2024-01-19,34
2024-01-20,38
