Time,papa johns
2023-12-22,60
2023-12-23,69
2023-12-24,79
2023-12-25,68
2023-12-26,53
2023-12-27,51
2023-12-28,52
2023-12-29,62
2023-12-30,68
2023-12-31,83
2024-01-01,76
2024-01-02,45
2024-01-03,41
2024-01-04,39
2024-01-05,52
2024-01-06,66
2024-01-07,66
2024-01-08,37
2024-01-09,38
2024-01-10,38
2024-01-11,37
2024-01-12,58
2024-01-13,67
2024-01-14,64
2024-01-15,48
2024-01-16,38
2024-01-17,39
2024-01-18,38
2024-01-19,55
2024-01-20,71
2024-01-21,66
2024-01-22,39
2024-01-23,33
2024-01-24,36
2024-01-25,38
2024-01-26,51
2024-01-27,65
2024-01-28,67
2024-01-29,37
2024-01-30,35
2024-01-31,35
2024-02-01,40
2024-02-02,50
2024-02-03,68
2024-02-04,67
2024-02-05,34
2024-02-06,33
2024-02-07,36
2024-02-08,39
2024-02-09,64
2024-02-10,73
2024-02-11,100
2024-02-12,35
2024-02-13,37
2024-02-14,66
2024-02-15,48
2024-02-16,52
2024-02-17,62
2024-02-18,60
2024-02-19,43
2024-02-20,32
2024-02-21,35
2024-02-22,42
2024-02-23,51
2024-02-24,70
2024-02-25,63
2024-02-26,37
2024-02-27,36
2024-02-28,38
2024-02-29,40
2024-03-01,56
2024-03-02,71
2024-03-03,64
2024-03-04,37
2024-03-05,36
2024-03-06,35
2024-03-07,39
2024-03-08,52
2024-03-09,67
2024-03-10,61
2024-03-11,36
2024-03-12,37
2024-03-13,38
2024-03-14,57
2024-03-15,60
2024-03-16,67
2024-03-17,63
2024-03-18,37
2024-03-19,34
2024-03-20,35
2024-03-21,40
2024-03-22,53
2024-03-23,61
2024-03-24,63
2024-03-25,37
2024-03-26,38
2024-03-27,40
2024-03-28,45
2024-03-29,58
2024-03-30,67
2024-03-31,63
2024-04-01,40
2024-04-02,38
2024-04-03,37
2024-04-04,39
2024-04-05,52
2024-04-06,61
2024-04-07,58
2024-04-08,34
2024-04-09,34
2024-04-10,38
2024-04-11,38
2024-04-12,51
2024-04-13,62
2024-04-14,61
2024-04-15,36
2024-04-16,34
2024-04-17,36
2024-04-18,38
2024-04-19,51
2024-04-20,68
2024-04-21,63
2024-04-22,36
2024-04-23,34
2024-04-24,35
2024-04-25,40
2024-04-26,56
2024-04-27,70
2024-04-28,60
2024-04-29,34
2024-04-30,33
2024-05-01,36
2024-05-02,40
2024-05-03,52
2024-05-04,60
2024-05-05,57
2024-05-06,35
2024-05-07,33
2024-05-08,36
2024-05-09,39
2024-05-10,51
2024-05-11,66
2024-05-12,60
2024-05-13,36
2024-05-14,34
2024-05-15,36
2024-05-16,38
2024-05-17,54
2024-05-18,66
2024-05-19,63
2024-05-20,36
2024-05-21,37
2024-05-22,38
2024-05-23,42
2024-05-24,53
2024-05-25,64
2024-05-26,63
2024-05-27,57
2024-05-28,36
2024-05-29,38
2024-05-30,40
2024-05-31,56
2024-06-01,65
2024-06-02,59
2024-06-03,38
2024-06-04,38
2024-06-05,38
2024-06-06,42
2024-06-07,56
2024-06-08,65
2024-06-09,60
2024-06-10,39
2024-06-11,38
2024-06-12,39
2024-06-13,43
2024-06-14,55
2024-06-15,62
2024-06-16,58
2024-06-17,41
2024-06-18,40
2024-06-19,43
2024-06-20,42
2024-06-21,56
2024-06-22,67
2024-06-23,60
2024-06-24,40
2024-06-25,37
2024-06-26,40
2024-06-27,45
2024-06-28,53
2024-06-29,67
2024-06-30,59
2024-07-01,41
2024-07-02,42
2024-07-03,45
2024-07-04,62
2024-07-05,57
2024-07-06,60
2024-07-07,59
2024-07-08,40
2024-07-09,40
2024-07-10,40
2024-07-11,41
2024-07-12,57
2024-07-13,58
2024-07-14,56
2024-07-15,39
2024-07-16,35
2024-07-17,41
2024-07-18,41
2024-07-19,53
2024-07-20,59
2024-07-21,55
2024-07-22,36
2024-07-23,35
2024-07-24,37
2024-07-25,41
2024-07-26,51
2024-07-27,65
2024-07-28,60
2024-07-29,38
2024-07-30,37
2024-07-31,43
2024-08-01,42
2024-08-02,55
2024-08-03,64
2024-08-04,62
2024-08-05,38
2024-08-06,36
2024-08-07,39
2024-08-08,40
2024-08-09,52
2024-08-10,63
2024-08-11,56
2024-08-12,36
2024-08-13,34
2024-08-14,37
2024-08-15,40
2024-08-16,50
2024-08-17,61
2024-08-18,56
2024-08-19,35
2024-08-20,33
2024-08-21,34
2024-08-22,36
2024-08-23,50
2024-08-24,59
2024-08-25,57
2024-08-26,32
2024-08-27,34
2024-08-28,35
2024-08-29,39
2024-08-30,54
2024-08-31,65
2024-09-01,61
2024-09-02,52
2024-09-03,32
2024-09-04,31
2024-09-05,38
2024-09-06,48
2024-09-07,58
2024-09-08,62
2024-09-09,31
2024-09-10,31
2024-09-11,32
2024-09-12,37
2024-09-13,50
2024-09-14,62
2024-09-15,56
2024-09-16,31
