Time,papa johns
2024-08-18,75
2024-08-19,46
2024-08-20,43
2024-08-21,45
2024-08-22,48
2024-08-23,66
2024-08-24,79
2024-08-25,76
2024-08-26,42
2024-08-27,45
2024-08-28,46
2024-08-29,51
2024-08-30,72
2024-08-31,86
2024-09-01,81
2024-09-02,69
2024-09-03,42
2024-09-04,41
2024-09-05,50
2024-09-06,64
2024-09-07,77
2024-09-08,82
2024-09-09,41
2024-09-10,41
2024-09-11,43
2024-09-12,49
2024-09-13,66
2024-09-14,82
2024-09-15,74
2024-09-16,41
2024-09-17,41
2024-09-18,46
2024-09-19,52
2024-09-20,65
2024-09-21,83
2024-09-22,72
2024-09-23,40
2024-09-24,37
2024-09-25,42
2024-09-26,51
2024-09-27,67
2024-09-28,85
2024-09-29,74
2024-09-30,42
2024-10-01,42
2024-10-02,42
2024-10-03,47
2024-10-04,66
2024-10-05,80
2024-10-06,73
2024-10-07,41
2024-10-08,37
2024-10-09,42
2024-10-10,50
2024-10-11,64
2024-10-12,84
2024-10-13,75
2024-10-14,46
2024-10-15,42
2024-10-16,40
2024-10-17,43
2024-10-18,61
2024-10-19,72
2024-10-20,68
2024-10-21,37
2024-10-22,37
2024-10-23,40
2024-10-24,43
2024-10-25,66
2024-10-26,76
2024-10-27,78
2024-10-28,41
2024-10-29,40
2024-10-30,48
2024-10-31,85
2024-11-01,74
2024-11-02,79
2024-11-03,69
2024-11-04,39
2024-11-05,38
2024-11-06,32
2024-11-07,39
2024-11-08,55
2024-11-09,75
2024-11-10,69
2024-11-11,41
2024-11-12,35
2024-11-13,36
2024-11-14,41
2024-11-15,62
2024-11-16,83
2024-11-17,68
2024-11-18,36
2024-11-19,38
2024-11-20,37
2024-11-21,40
2024-11-22,61
2024-11-23,65
2024-11-24,67
2024-11-25,42
2024-11-26,41
2024-11-27,55
2024-11-28,47
2024-11-29,47
2024-11-30,62
2024-12-01,66
2024-12-02,37
2024-12-03,36
2024-12-04,39
2024-12-05,42
2024-12-06,57
2024-12-07,77
2024-12-08,71
2024-12-09,37
2024-12-10,34
2024-12-11,38
2024-12-12,41
2024-12-13,52
2024-12-14,72
2024-12-15,73
2024-12-16,38
2024-12-17,38
2024-12-18,41
2024-12-19,45
2024-12-20,62
2024-12-21,73
2024-12-22,69
2024-12-23,58
2024-12-24,80
2024-12-25,77
2024-12-26,58
2024-12-27,63
2024-12-28,67
2024-12-29,70
2024-12-30,53
2024-12-31,75
2025-01-01,86
2025-01-02,51
2025-01-03,56
2025-01-04,70
2025-01-05,68
2025-01-06,45
2025-01-07,39
2025-01-08,38
2025-01-09,43
2025-01-10,60
2025-01-11,69
2025-01-12,65
2025-01-13,36
2025-01-14,34
2025-01-15,35
2025-01-16,40
2025-01-17,53
2025-01-18,75
2025-01-19,65
2025-01-20,52
2025-01-21,41
2025-01-22,46
2025-01-23,42
2025-01-24,52
2025-01-25,66
2025-01-26,68
2025-01-27,37
2025-01-28,33
2025-01-29,39
2025-01-30,39
2025-01-31,58
2025-02-01,68
2025-02-02,65
2025-02-03,36
2025-02-04,34
2025-02-05,38
2025-02-06,44
2025-02-07,55
2025-02-08,68
2025-02-09,100
2025-02-10,38
2025-02-11,34
2025-02-12,44
2025-02-13,45
2025-02-14,81
2025-02-15,79
2025-02-16,68
2025-02-17,44
2025-02-18,37
2025-02-19,44
2025-02-20,42
2025-02-21,56
2025-02-22,75
2025-02-23,65
2025-02-24,37
2025-02-25,32
2025-02-26,39
2025-02-27,41
2025-02-28,52
2025-03-01,75
2025-03-02,66
2025-03-03,39
2025-03-04,38
2025-03-05,41
2025-03-06,41
2025-03-07,54
2025-03-08,65
2025-03-09,70
2025-03-10,37
2025-03-11,34
2025-03-12,40
2025-03-13,40
2025-03-14,88
2025-03-15,80
2025-03-16,62
2025-03-17,35
2025-03-18,34
2025-03-19,37
2025-03-20,44
2025-03-21,55
2025-03-22,64
2025-03-23,61
2025-03-24,33
2025-03-25,31
2025-03-26,41
2025-03-27,43
2025-03-28,59
2025-03-29,74
2025-03-30,67
2025-03-31,38
2025-04-01,36
2025-04-02,40
2025-04-03,41
2025-04-04,57
2025-04-05,74
2025-04-06,69
2025-04-07,37
2025-04-08,32
2025-04-09,38
2025-04-10,38
2025-04-11,55
2025-04-12,66
2025-04-13,60
2025-04-14,35
2025-04-15,37
2025-04-16,42
2025-04-17,43
2025-04-18,62
2025-04-19,69
2025-04-20,67
2025-04-21,40
2025-04-22,33
2025-04-23,42
2025-04-24,41
2025-04-25,52
2025-04-26,65
2025-04-27,62
2025-04-28,34
2025-04-29,36
2025-04-30,42
2025-05-01,41
2025-05-02,56
2025-05-03,72
2025-05-04,63
2025-05-05,36
2025-05-06,36
2025-05-07,37
2025-05-08,46
2025-05-09,55
2025-05-10,69
2025-05-11,65
2025-05-12,39
2025-05-13,35
2025-05-14,41
