Time,dow
2022-01-01,7
2022-01-02,5
2022-01-03,32
2022-01-04,41
2022-01-05,41
2022-01-06,34
2022-01-07,37
2022-01-08,8
2022-01-09,5
2022-01-10,36
2022-01-11,35
2022-01-12,34
2022-01-13,39
2022-01-14,29
2022-01-15,7
2022-01-16,7
2022-01-17,14
2022-01-18,37
2022-01-19,38
2022-01-20,37
2022-01-21,45
2022-01-22,11
2022-01-23,7
2022-01-24,83
2022-01-25,54
2022-01-26,47
2022-01-27,50
2022-01-28,51
2022-01-29,10
2022-01-30,6
2022-01-31,44
2022-02-01,47
2022-02-02,44
2022-02-03,44
2022-02-04,47
2022-02-05,9
2022-02-06,5
2022-02-07,38
2022-02-08,36
2022-02-09,33
2022-02-10,37
2022-02-11,42
2022-02-12,10
2022-02-13,5
2022-02-14,38
2022-02-15,43
2022-02-16,41
2022-02-17,42
2022-02-18,44
2022-02-19,9
2022-02-20,6
2022-02-21,25
2022-02-22,59
2022-02-23,53
2022-02-24,93
2022-02-25,62
2022-02-26,12
2022-02-27,9
2022-02-28,57
2022-03-01,51
2022-03-02,52
2022-03-03,49
2022-03-04,49
2022-03-05,10
2022-03-06,7
2022-03-07,54
2022-03-08,66
2022-03-09,53
2022-03-10,54
2022-03-11,49
2022-03-12,9
2022-03-13,7
2022-03-14,46
2022-03-15,45
2022-03-16,49
2022-03-17,47
2022-03-18,45
2022-03-19,9
2022-03-20,6
2022-03-21,42
2022-03-22,44
2022-03-23,39
2022-03-24,40
2022-03-25,38
2022-03-26,7
2022-03-27,5
2022-03-28,34
2022-03-29,38
2022-03-30,39
2022-03-31,34
2022-04-01,35
2022-04-02,8
2022-04-03,5
2022-04-04,32
2022-04-05,34
2022-04-06,38
2022-04-07,35
2022-04-08,33
2022-04-09,7
2022-04-10,5
2022-04-11,34
2022-04-12,37
2022-04-13,35
2022-04-14,35
2022-04-15,23
2022-04-16,6
2022-04-17,4
2022-04-18,33
2022-04-19,33
2022-04-20,33
2022-04-21,34
2022-04-22,38
2022-04-23,10
2022-04-24,6
2022-04-25,46
2022-04-26,43
2022-04-27,43
2022-04-28,42
2022-04-29,42
2022-04-30,10
2022-05-01,7
2022-05-02,46
2022-05-03,41
2022-05-04,46
2022-05-05,61
2022-05-06,69
2022-05-07,13
2022-05-08,8
2022-05-09,60
2022-05-10,61
2022-05-11,53
2022-05-12,66
2022-05-13,53
2022-05-14,10
2022-05-15,7
2022-05-16,49
2022-05-17,48
2022-05-18,63
2022-05-19,70
2022-05-20,67
2022-05-21,12
2022-05-22,8
2022-05-23,57
2022-05-24,59
2022-05-25,51
2022-05-26,52
2022-05-27,51
2022-05-28,10
2022-05-29,5
2022-05-30,10
2022-05-31,50
2022-06-01,50
2022-06-02,48
2022-06-03,47
2022-06-04,9
2022-06-05,6
2022-06-06,44
2022-06-07,45
2022-06-08,45
2022-06-09,45
2022-06-10,60
2022-06-11,12
2022-06-12,7
2022-06-13,78
2022-06-14,78
2022-06-15,74
2022-06-16,79
2022-06-17,71
2022-06-18,12
2022-06-19,9
2022-06-20,37
2022-06-21,63
2022-06-22,61
2022-06-23,57
2022-06-24,55
2022-06-25,11
2022-06-26,7
2022-06-27,57
2022-06-28,53
2022-06-29,54
2022-06-30,54
2022-07-01,52
2022-07-02,11
2022-07-03,5
2022-07-04,8
2022-07-05,53
2022-07-06,50
2022-07-07,48
2022-07-08,50
2022-07-09,9
2022-07-10,6
2022-07-11,46
2022-07-12,49
2022-07-13,52
2022-07-14,54
2022-07-15,52
2022-07-16,10
2022-07-17,7
2022-07-18,49
2022-07-19,53
2022-07-20,55
2022-07-21,50
2022-07-22,49
2022-07-23,9
2022-07-24,6
2022-07-25,47
2022-07-26,98
2022-07-27,100
2022-07-28,82
2022-07-29,62
2022-07-30,16
2022-07-31,14
2022-08-01,50
2022-08-02,51
2022-08-03,47
2022-08-04,49
2022-08-05,48
2022-08-06,10
2022-08-07,6
2022-08-08,45
2022-08-09,45
2022-08-10,51
2022-08-11,50
2022-08-12,45
2022-08-13,9
2022-08-14,6
2022-08-15,47
2022-08-16,48
2022-08-17,47
2022-08-18,47
2022-08-19,44
2022-08-20,9
2022-08-21,5
2022-08-22,44
2022-08-23,47
2022-08-24,42
2022-08-25,44
2022-08-26,51
2022-08-27,11
2022-08-28,7
2022-08-29,49
2022-08-30,47
2022-08-31,44
2022-09-01,46
2022-09-02,46
2022-09-03,8
2022-09-04,5
2022-09-05,9
2022-09-06,43
2022-09-07,42
2022-09-08,42
2022-09-09,41
2022-09-10,8
2022-09-11,5
2022-09-12,39
2022-09-13,65
2022-09-14,67
2022-09-15,53
2022-09-16,53
2022-09-17,10
2022-09-18,6
2022-09-19,48
2022-09-20,50
2022-09-21,57
2022-09-22,56
2022-09-23,66
2022-09-24,11
2022-09-25,7
2022-09-26,58
2022-09-27,62
