Time,dow
2023-12-22,45
2023-12-23,11
2023-12-24,5
2023-12-25,5
2023-12-26,37
2023-12-27,43
2023-12-28,42
2023-12-29,42
2023-12-30,9
2023-12-31,5
2024-01-01,7
2024-01-02,38
2024-01-03,40
2024-01-04,39
2024-01-05,39
2024-01-06,9
2024-01-07,4
2024-01-08,34
2024-01-09,37
2024-01-10,35
2024-01-11,38
2024-01-12,36
2024-01-13,8
2024-01-14,4
2024-01-15,13
2024-01-16,33
2024-01-17,34
2024-01-18,35
2024-01-19,36
2024-01-20,9
2024-01-21,5
2024-01-22,37
2024-01-23,37
2024-01-24,39
2024-01-25,42
2024-01-26,29
2024-01-27,8
2024-01-28,5
2024-01-29,27
2024-01-30,30
2024-01-31,29
2024-02-01,30
2024-02-02,30
2024-02-03,8
2024-02-04,5
2024-02-05,27
2024-02-06,26
2024-02-07,28
2024-02-08,27
2024-02-09,28
2024-02-10,7
2024-02-11,4
2024-02-12,25
2024-02-13,34
2024-02-14,34
2024-02-15,31
2024-02-16,31
2024-02-17,7
2024-02-18,4
2024-02-19,14
2024-02-20,28
2024-02-21,29
2024-02-22,31
2024-02-23,31
2024-02-24,8
2024-02-25,5
2024-02-26,28
2024-02-27,29
2024-02-28,27
2024-02-29,28
2024-03-01,27
2024-03-02,7
2024-03-03,4
2024-03-04,25
2024-03-05,28
2024-03-06,28
2024-03-07,29
2024-03-08,29
2024-03-09,7
2024-03-10,4
2024-03-11,26
2024-03-12,28
2024-03-13,29
2024-03-14,26
2024-03-15,26
2024-03-16,6
2024-03-17,4
2024-03-18,26
2024-03-19,28
2024-03-20,31
2024-03-21,34
2024-03-22,29
2024-03-23,7
2024-03-24,4
2024-03-25,26
2024-03-26,27
2024-03-27,29
2024-03-28,30
2024-03-29,18
2024-03-30,5
2024-03-31,4
2024-04-01,26
2024-04-02,28
2024-04-03,27
2024-04-04,27
2024-04-05,31
2024-04-06,7
2024-04-07,4
2024-04-08,25
2024-04-09,26
2024-04-10,32
2024-04-11,30
2024-04-12,30
2024-04-13,8
2024-04-14,6
2024-04-15,29
2024-04-16,31
2024-04-17,29
2024-04-18,28
2024-04-19,30
2024-04-20,7
2024-04-21,5
2024-04-22,28
2024-04-23,28
2024-04-24,28
2024-04-25,32
2024-04-26,27
2024-04-27,6
2024-04-28,5
2024-04-29,28
2024-04-30,29
2024-05-01,30
2024-05-02,28
2024-05-03,30
2024-05-04,6
2024-05-05,5
2024-05-06,28
2024-05-07,28
2024-05-08,27
2024-05-09,27
2024-05-10,28
2024-05-11,7
2024-05-12,4
2024-05-13,26
2024-05-14,28
2024-05-15,32
2024-05-16,35
2024-05-17,32
2024-05-18,9
2024-05-19,5
2024-05-20,29
2024-05-21,28
2024-05-22,28
2024-05-23,30
2024-05-24,28
2024-05-25,7
2024-05-26,4
2024-05-27,6
2024-05-28,24
2024-05-29,28
2024-05-30,30
2024-05-31,30
2024-06-01,8
2024-06-02,5
2024-06-03,26
2024-06-04,28
2024-06-05,29
2024-06-06,28
2024-06-07,27
2024-06-08,7
2024-06-09,4
2024-06-10,27
2024-06-11,29
2024-06-12,31
2024-06-13,29
2024-06-14,26
2024-06-15,6
2024-06-16,4
2024-06-17,28
2024-06-18,27
2024-06-19,18
2024-06-20,28
2024-06-21,27
2024-06-22,6
2024-06-23,4
2024-06-24,27
2024-06-25,27
2024-06-26,25
2024-06-27,26
2024-06-28,26
2024-06-29,7
2024-06-30,5
2024-07-01,25
2024-07-02,25
2024-07-03,24
2024-07-04,7
2024-07-05,23
2024-07-06,6
2024-07-07,4
2024-07-08,24
2024-07-09,25
2024-07-10,28
2024-07-11,30
2024-07-12,30
2024-07-13,7
2024-07-14,5
2024-07-15,30
2024-07-16,36
2024-07-17,36
2024-07-18,32
2024-07-19,32
2024-07-20,7
2024-07-21,6
2024-07-22,30
2024-07-23,29
2024-07-24,29
2024-07-25,34
2024-07-26,31
2024-07-27,7
2024-07-28,4
2024-07-29,29
2024-07-30,28
2024-07-31,30
2024-08-01,31
2024-08-02,42
2024-08-03,10
2024-08-04,6
2024-08-05,100
2024-08-06,75
2024-08-07,53
2024-08-08,46
2024-08-09,40
2024-08-10,9
2024-08-11,6
2024-08-12,36
2024-08-13,34
2024-08-14,37
2024-08-15,36
2024-08-16,34
2024-08-17,8
2024-08-18,5
2024-08-19,32
2024-08-20,33
2024-08-21,36
2024-08-22,31
2024-08-23,36
2024-08-24,8
2024-08-25,6
2024-08-26,33
2024-08-27,31
2024-08-28,30
2024-08-29,30
2024-08-30,29
2024-08-31,7
2024-09-01,4
2024-09-02,6
2024-09-03,31
2024-09-04,35
2024-09-05,30
2024-09-06,30
2024-09-07,7
2024-09-08,5
2024-09-09,29
2024-09-10,29
2024-09-11,32
2024-09-12,31
2024-09-13,29
2024-09-14,7
2024-09-15,5
2024-09-16,28
