Time,mh370
2022-01-01,5.0
2022-01-02,0.0
2022-01-03,5.0
2022-01-04,4.0
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,4.0
2022-01-08,0.0
2022-01-09,4.0
2022-01-10,4.0
2022-01-11,4.0
2022-01-12,5.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-15,5.0
2022-01-16,4.0
2022-01-17,3.0
2022-01-18,0.0
2022-01-19,4.0
2022-01-20,5.0
2022-01-21,4.0
2022-01-22,0.0
2022-01-23,0.0
2022-01-24,5.0
2022-01-25,0.0
2022-01-26,0.0
2022-01-27,0.0
2022-01-28,0.0
2022-01-29,4.0
2022-01-30,0.0
2022-01-31,0.0
2022-02-01,4.0
2022-02-02,4.0
2022-02-03,0.0
2022-02-04,4.0
2022-02-05,5.0
2022-02-06,7.0
2022-02-07,3.0
2022-02-08,4.0
2022-02-09,4.0
2022-02-10,0.0
2022-02-11,0.0
2022-02-12,0.0
2022-02-13,4.0
2022-02-14,3.0
2022-02-15,4.0
2022-02-16,4.0
2022-02-17,4.0
2022-02-18,3.0
2022-02-19,4.0
2022-02-20,15.0
2022-02-21,100.0
2022-02-22,39.0
2022-02-23,44.0
2022-02-24,37.0
2022-02-25,19.0
2022-02-26,16.0
2022-02-27,6.0
2022-02-28,7.0
2022-03-01,6.0
2022-03-02,6.0
2022-03-03,5.0
2022-03-04,6.0
2022-03-05,6.0
2022-03-06,9.0
2022-03-07,8.0
2022-03-08,22.0
2022-03-09,28.0
2022-03-10,18.0
2022-03-11,13.0
2022-03-12,11.0
2022-03-13,10.0
2022-03-14,6.0
2022-03-15,7.0
2022-03-16,6.0
2022-03-17,5.0
2022-03-18,6.0
2022-03-19,5.0
2022-03-20,7.0
2022-03-21,20.0
2022-03-22,16.0
2022-03-23,11.0
2022-03-24,10.0
2022-03-25,6.0
2022-03-26,8.0
2022-03-27,10.0
2022-03-28,5.0
2022-03-29,6.0
2022-03-30,5.0
2022-03-31,5.0
2022-04-01,8.0
2022-04-02,6.0
2022-04-03,5.0
2022-04-04,4.0
2022-04-05,5.0
