Time,gold_price_today
2022-01-01,18.0
2022-01-02,19.0
2022-01-03,31.0
2022-01-04,39.0
2022-01-05,29.0
2022-01-06,25.0
2022-01-07,28.0
2022-01-08,21.0
2022-01-09,20.0
2022-01-10,22.0
2022-01-11,29.0
2022-01-12,28.0
2022-01-13,27.0
2022-01-14,23.0
2022-01-15,20.0
2022-01-16,15.0
2022-01-17,19.0
2022-01-18,22.0
2022-01-19,29.0
2022-01-20,32.0
2022-01-21,31.0
2022-01-22,25.0
2022-01-23,21.0
2022-01-24,47.0
2022-01-25,31.0
2022-01-26,30.0
2022-01-27,31.0
2022-01-28,34.0
2022-01-29,25.0
2022-01-30,22.0
2022-01-31,31.0
2022-02-01,27.0
2022-02-02,28.0
2022-02-03,30.0
2022-02-04,29.0
2022-02-05,23.0
2022-02-06,20.0
2022-02-07,26.0
2022-02-08,29.0
2022-02-09,26.0
2022-02-10,26.0
2022-02-11,35.0
2022-02-12,29.0
2022-02-13,25.0
2022-02-14,31.0
2022-02-15,34.0
2022-02-16,31.0
2022-02-17,42.0
2022-02-18,39.0
2022-02-19,30.0
2022-02-20,26.0
2022-02-21,36.0
2022-02-22,52.0
2022-02-23,53.0
2022-02-24,100.0
2022-02-25,60.0
2022-02-26,41.0
2022-02-27,37.0
2022-02-28,55.0
2022-03-01,50.0
2022-03-02,55.0
2022-03-03,49.0
2022-03-04,55.0
2022-03-05,41.0
2022-03-06,38.0
2022-03-07,81.0
2022-03-08,94.0
2022-03-09,89.0
2022-03-10,77.0
2022-03-11,65.0
2022-03-12,43.0
2022-03-13,39.0
2022-03-14,53.0
2022-03-15,52.0
2022-03-16,51.0
2022-03-17,50.0
2022-03-18,50.0
2022-03-19,34.0
2022-03-20,29.0
2022-03-21,43.0
2022-03-22,44.0
2022-03-23,43.0
2022-03-24,47.0
2022-03-25,38.0
2022-03-26,34.0
2022-03-27,27.0
2022-03-28,35.0
2022-03-29,36.0
2022-03-30,39.0
2022-03-31,38.0
2022-04-01,34.0
2022-04-02,31.0
2022-04-03,25.0
2022-04-04,33.0
2022-04-05,32.0
2022-04-06,33.0
2022-04-07,34.0
2022-04-08,31.0
2022-04-09,29.0
2022-04-10,22.0
2022-04-11,36.0
2022-04-12,39.0
2022-04-13,38.0
2022-04-14,36.0
2022-04-15,34.0
2022-04-16,26.0
2022-04-17,23.0
2022-04-18,40.0
2022-04-19,38.0
2022-04-20,32.0
2022-04-21,35.0
2022-04-22,35.0
2022-04-23,30.0
2022-04-24,25.0
2022-04-25,37.0
2022-04-26,39.0
2022-04-27,34.0
2022-04-28,37.0
2022-04-29,36.0
2022-04-30,29.0
2022-05-01,25.0
2022-05-02,37.0
2022-05-03,36.0
2022-05-04,36.0
2022-05-05,40.0
2022-05-06,39.0
2022-05-07,32.0
2022-05-08,23.0
2022-05-09,35.0
2022-05-10,40.0
2022-05-11,38.0
2022-05-12,47.0
2022-05-13,40.0
2022-05-14,35.0
2022-05-15,23.0
2022-05-16,38.0
2022-05-17,37.0
2022-05-18,45.0
2022-05-19,45.0
2022-05-20,46.0
2022-05-21,32.0
2022-05-22,24.0
2022-05-23,34.0
2022-05-24,34.0
2022-05-25,31.0
2022-05-26,31.0
2022-05-27,30.0
2022-05-28,20.0
2022-05-29,18.0
2022-05-30,26.0
2022-05-31,34.0
2022-06-01,34.0
2022-06-02,34.0
2022-06-03,32.0
2022-06-04,22.0
2022-06-05,25.0
2022-06-06,32.0
2022-06-07,30.0
2022-06-08,34.0
2022-06-09,37.0
2022-06-10,40.0
2022-06-11,26.0
2022-06-12,25.0
2022-06-13,49.0
2022-06-14,51.0
2022-06-15,51.0
2022-06-16,48.0
2022-06-17,43.0
2022-06-18,32.0
2022-06-19,28.0
2022-06-20,33.0
2022-06-21,39.0
2022-06-22,38.0
2022-06-23,37.0
2022-06-24,35.0
2022-06-25,27.0
2022-06-26,27.0
2022-06-27,38.0
2022-06-28,36.0
2022-06-29,34.0
2022-06-30,34.0
2022-07-01,41.0
2022-07-02,26.0
2022-07-03,27.0
2022-07-04,28.0
2022-07-05,42.0
2022-07-06,41.0
2022-07-07,44.0
2022-07-08,40.0
2022-07-09,30.0
2022-07-10,31.0
2022-07-11,39.0
2022-07-12,40.0
2022-07-13,46.0
2022-07-14,48.0
2022-07-15,45.0
2022-07-16,34.0
2022-07-17,30.0
2022-07-18,44.0
2022-07-19,43.0
2022-07-20,48.0
2022-07-21,45.0
2022-07-22,44.0
2022-07-23,33.0
2022-07-24,28.0
2022-07-25,40.0
2022-07-26,44.0
2022-07-27,44.0
2022-07-28,44.0
2022-07-29,41.0
2022-07-30,32.0
2022-07-31,26.0
2022-08-01,38.0
2022-08-02,38.0
2022-08-03,39.0
2022-08-04,37.0
2022-08-05,35.0
2022-08-06,26.0
2022-08-07,26.0
2022-08-08,38.0
2022-08-09,35.0
2022-08-10,36.0
2022-08-11,36.0
2022-08-12,29.0
2022-08-13,25.0
2022-08-14,26.0
2022-08-15,34.0
2022-08-16,34.0
2022-08-17,37.0
2022-08-18,33.0
2022-08-19,33.0
2022-08-20,30.0
2022-08-21,23.0
2022-08-22,35.0
2022-08-23,37.0
2022-08-24,34.0
2022-08-25,33.0
2022-08-26,36.0
2022-08-27,28.0
2022-08-28,21.0
