Time,msn
2023-12-22,84
2023-12-23,56
2023-12-24,50
2023-12-25,54
2023-12-26,87
2023-12-27,92
2023-12-28,93
2023-12-29,87
2023-12-30,55
2023-12-31,54
2024-01-01,55
2024-01-02,95
2024-01-03,94
2024-01-04,100
2024-01-05,89
2024-01-06,58
2024-01-07,53
2024-01-08,99
2024-01-09,96
2024-01-10,98
2024-01-11,95
2024-01-12,88
2024-01-13,57
2024-01-14,55
2024-01-15,83
2024-01-16,94
2024-01-17,97
2024-01-18,90
2024-01-19,92
2024-01-20,58
2024-01-21,57
2024-01-22,96
2024-01-23,97
2024-01-24,99
2024-01-25,93
2024-01-26,86
2024-01-27,52
2024-01-28,48
2024-01-29,88
2024-01-30,92
2024-01-31,89
2024-02-01,84
2024-02-02,82
2024-02-03,52
2024-02-04,50
2024-02-05,88
2024-02-06,91
2024-02-07,90
2024-02-08,84
2024-02-09,86
2024-02-10,48
2024-02-11,47
2024-02-12,85
2024-02-13,88
2024-02-14,90
2024-02-15,97
2024-02-16,86
2024-02-17,50
2024-02-18,49
2024-02-19,80
2024-02-20,89
2024-02-21,90
2024-02-22,94
2024-02-23,85
2024-02-24,49
2024-02-25,48
2024-02-26,90
2024-02-27,85
2024-02-28,88
2024-02-29,87
2024-03-01,79
2024-03-02,50
2024-03-03,49
2024-03-04,89
2024-03-05,89
2024-03-06,91
2024-03-07,88
2024-03-08,91
2024-03-09,50
2024-03-10,50
2024-03-11,93
2024-03-12,88
2024-03-13,93
2024-03-14,87
2024-03-15,83
2024-03-16,49
2024-03-17,48
2024-03-18,89
2024-03-19,88
2024-03-20,92
2024-03-21,89
2024-03-22,87
2024-03-23,51
2024-03-24,48
2024-03-25,92
2024-03-26,98
2024-03-27,89
2024-03-28,91
2024-03-29,78
2024-03-30,46
2024-03-31,50
2024-04-01,89
2024-04-02,93
2024-04-03,89
2024-04-04,90
2024-04-05,86
2024-04-06,49
2024-04-07,44
2024-04-08,83
2024-04-09,89
2024-04-10,87
2024-04-11,87
2024-04-12,82
2024-04-13,50
2024-04-14,49
2024-04-15,84
2024-04-16,91
2024-04-17,87
2024-04-18,86
2024-04-19,87
2024-04-20,50
2024-04-21,45
2024-04-22,84
2024-04-23,85
2024-04-24,82
2024-04-25,85
2024-04-26,79
2024-04-27,48
2024-04-28,47
2024-04-29,84
2024-04-30,84
2024-05-01,79
2024-05-02,78
2024-05-03,78
2024-05-04,45
2024-05-05,44
2024-05-06,80
2024-05-07,82
2024-05-08,83
2024-05-09,83
2024-05-10,78
2024-05-11,48
2024-05-12,48
2024-05-13,83
2024-05-14,82
2024-05-15,81
2024-05-16,81
2024-05-17,78
2024-05-18,50
2024-05-19,48
2024-05-20,80
2024-05-21,85
2024-05-22,82
2024-05-23,82
2024-05-24,79
2024-05-25,45
2024-05-26,45
2024-05-27,49
2024-05-28,82
2024-05-29,88
2024-05-30,90
2024-05-31,87
2024-06-01,47
2024-06-02,44
2024-06-03,86
2024-06-04,87
2024-06-05,83
2024-06-06,82
2024-06-07,75
2024-06-08,47
2024-06-09,42
2024-06-10,82
2024-06-11,85
2024-06-12,85
2024-06-13,84
2024-06-14,74
2024-06-15,45
2024-06-16,45
2024-06-17,84
2024-06-18,83
2024-06-19,72
2024-06-20,83
2024-06-21,75
2024-06-22,49
2024-06-23,44
2024-06-24,87
2024-06-25,83
2024-06-26,83
2024-06-27,83
2024-06-28,86
2024-06-29,47
2024-06-30,44
2024-07-01,81
2024-07-02,85
2024-07-03,81
2024-07-04,45
2024-07-05,60
2024-07-06,50
2024-07-07,49
2024-07-08,80
2024-07-09,81
2024-07-10,83
2024-07-11,80
2024-07-12,79
2024-07-13,50
2024-07-14,58
2024-07-15,88
2024-07-16,83
2024-07-17,83
2024-07-18,84
2024-07-19,88
2024-07-20,48
2024-07-21,56
2024-07-22,89
2024-07-23,90
2024-07-24,88
2024-07-25,89
2024-07-26,82
2024-07-27,45
2024-07-28,48
2024-07-29,88
2024-07-30,88
2024-07-31,87
2024-08-01,91
2024-08-02,80
2024-08-03,51
2024-08-04,47
2024-08-05,96
2024-08-06,90
2024-08-07,92
2024-08-08,87
2024-08-09,83
2024-08-10,46
2024-08-11,46
2024-08-12,89
2024-08-13,88
2024-08-14,85
2024-08-15,89
2024-08-16,82
2024-08-17,47
2024-08-18,48
2024-08-19,83
2024-08-20,90
2024-08-21,87
2024-08-22,88
2024-08-23,84
2024-08-24,48
2024-08-25,46
2024-08-26,86
2024-08-27,85
2024-08-28,83
2024-08-29,82
2024-08-30,74
2024-08-31,46
2024-09-01,44
2024-09-02,46
2024-09-03,80
2024-09-04,87
2024-09-05,80
2024-09-06,74
2024-09-07,47
2024-09-08,43
2024-09-09,82
2024-09-10,79
2024-09-11,89
2024-09-12,85
2024-09-13,74
2024-09-14,44
2024-09-15,45
2024-09-16,87
