Time,msn
2022-08-29,85
2022-08-30,84
2022-08-31,81
2022-09-01,83
2022-09-02,74
2022-09-03,53
2022-09-04,54
2022-09-05,59
2022-09-06,84
2022-09-07,81
2022-09-08,99
2022-09-09,82
2022-09-10,54
2022-09-11,58
2022-09-12,86
2022-09-13,91
2022-09-14,86
2022-09-15,85
2022-09-16,82
2022-09-17,57
2022-09-18,53
2022-09-19,89
2022-09-20,83
2022-09-21,85
2022-09-22,87
2022-09-23,80
2022-09-24,56
2022-09-25,56
2022-09-26,84
2022-09-27,86
2022-09-28,95
2022-09-29,88
2022-09-30,84
2022-10-01,55
2022-10-02,54
2022-10-03,82
2022-10-04,82
2022-10-05,84
2022-10-06,84
2022-10-07,82
2022-10-08,56
2022-10-09,53
2022-10-10,81
2022-10-11,80
2022-10-12,82
2022-10-13,86
2022-10-14,78
2022-10-15,53
2022-10-16,50
2022-10-17,81
2022-10-18,85
2022-10-19,84
2022-10-20,79
2022-10-21,80
2022-10-22,55
2022-10-23,52
2022-10-24,83
2022-10-25,83
2022-10-26,85
2022-10-27,84
2022-10-28,79
2022-10-29,56
2022-10-30,53
2022-10-31,83
2022-11-01,84
2022-11-02,82
2022-11-03,82
2022-11-04,82
2022-11-05,56
2022-11-06,51
2022-11-07,82
2022-11-08,86
2022-11-09,98
2022-11-10,89
2022-11-11,83
2022-11-12,63
2022-11-13,61
2022-11-14,86
2022-11-15,94
2022-11-16,91
2022-11-17,83
2022-11-18,82
2022-11-19,61
2022-11-20,59
2022-11-21,83
2022-11-22,88
2022-11-23,80
2022-11-24,51
2022-11-25,65
2022-11-26,56
2022-11-27,54
2022-11-28,76
2022-11-29,80
2022-11-30,82
2022-12-01,84
2022-12-02,74
2022-12-03,58
2022-12-04,55
2022-12-05,81
2022-12-06,91
2022-12-07,88
2022-12-08,94
2022-12-09,83
2022-12-10,59
2022-12-11,55
2022-12-12,80
2022-12-13,87
2022-12-14,89
2022-12-15,87
2022-12-16,85
2022-12-17,61
2022-12-18,56
2022-12-19,85
2022-12-20,91
2022-12-21,91
2022-12-22,89
2022-12-23,77
2022-12-24,58
2022-12-25,60
2022-12-26,69
2022-12-27,87
2022-12-28,84
2022-12-29,86
2022-12-30,79
2022-12-31,63
2023-01-01,64
2023-01-02,66
2023-01-03,100
2023-01-04,95
2023-01-05,95
2023-01-06,90
2023-01-07,66
2023-01-08,57
2023-01-09,89
2023-01-10,90
2023-01-11,94
2023-01-12,89
2023-01-13,93
2023-01-14,62
2023-01-15,59
2023-01-16,76
2023-01-17,92
2023-01-18,86
2023-01-19,85
2023-01-20,80
2023-01-21,62
2023-01-22,60
2023-01-23,85
2023-01-24,87
2023-01-25,84
2023-01-26,86
2023-01-27,83
2023-01-28,64
2023-01-29,55
2023-01-30,81
2023-01-31,86
2023-02-01,84
2023-02-02,82
2023-02-03,87
2023-02-04,63
2023-02-05,60
2023-02-06,86
2023-02-07,90
2023-02-08,87
2023-02-09,86
2023-02-10,83
2023-02-11,62
2023-02-12,55
2023-02-13,84
2023-02-14,91
2023-02-15,89
2023-02-16,90
2023-02-17,85
2023-02-18,59
2023-02-19,57
2023-02-20,80
2023-02-21,86
2023-02-22,88
2023-02-23,84
2023-02-24,83
2023-02-25,60
2023-02-26,57
2023-02-27,82
2023-02-28,82
2023-03-01,80
2023-03-02,83
2023-03-03,81
2023-03-04,60
2023-03-05,55
2023-03-06,84
2023-03-07,84
2023-03-08,85
2023-03-09,85
2023-03-10,83
2023-03-11,58
2023-03-12,58
2023-03-13,89
2023-03-14,87
2023-03-15,86
2023-03-16,86
2023-03-17,78
2023-03-18,60
2023-03-19,58
2023-03-20,86
2023-03-21,89
2023-03-22,87
2023-03-23,90
2023-03-24,79
2023-03-25,58
2023-03-26,58
2023-03-27,89
2023-03-28,86
2023-03-29,86
2023-03-30,89
2023-03-31,85
2023-04-01,59
2023-04-02,59
2023-04-03,88
2023-04-04,91
2023-04-05,88
2023-04-06,83
2023-04-07,77
2023-04-08,56
2023-04-09,53
2023-04-10,90
2023-04-11,84
2023-04-12,85
2023-04-13,82
2023-04-14,78
2023-04-15,54
2023-04-16,53
2023-04-17,81
2023-04-18,79
2023-04-19,83
2023-04-20,82
2023-04-21,78
2023-04-22,55
2023-04-23,55
2023-04-24,85
2023-04-25,82
2023-04-26,81
2023-04-27,83
2023-04-28,75
2023-04-29,55
2023-04-30,60
2023-05-01,86
2023-05-02,82
2023-05-03,85
2023-05-04,80
2023-05-05,78
2023-05-06,58
2023-05-07,57
2023-05-08,83
2023-05-09,86
2023-05-10,80
2023-05-11,81
2023-05-12,81
2023-05-13,56
2023-05-14,52
2023-05-15,84
2023-05-16,84
2023-05-17,82
2023-05-18,84
2023-05-19,81
2023-05-20,58
2023-05-21,51
2023-05-22,81
2023-05-23,85
2023-05-24,87
2023-05-25,86
