Time,msn
2025-12-11,87
2025-12-12,94
2025-12-13,47
2025-12-14,47
2025-12-15,94
2025-12-16,97
2025-12-17,100
2025-12-18,97
2025-12-19,91
2025-12-20,50
2025-12-21,45
2025-12-22,74
2025-12-23,74
2025-12-24,57
2025-12-25,43
2025-12-26,57
2025-12-27,48
2025-12-28,46
2025-12-29,73
2025-12-30,69
2025-12-31,66
2026-01-01,44
2026-01-02,60
2026-01-03,50
2026-01-04,46
2026-01-05,78
2026-01-06,84
2026-01-07,80
2026-01-08,84
2026-01-09,87
2026-01-10,48
2026-01-11,48
2026-01-12,87
2026-01-13,91
2026-01-14,83
2026-01-15,86
2026-01-16,87
2026-01-17,48
2026-01-18,45
2026-01-19,66
2026-01-20,89
2026-01-21,93
2026-01-22,87
2026-01-23,80
2026-01-24,51
2026-01-25,53
2026-01-26,77
2026-01-27,85
2026-01-28,87
2026-01-29,86
2026-01-30,86
2026-01-31,48
2026-02-01,47
2026-02-02,82
2026-02-03,85
2026-02-04,86
2026-02-05,84
2026-02-06,86
2026-02-07,49
2026-02-08,44
2026-02-09,80
2026-02-10,90
2026-02-11,92
2026-02-12,92
2026-02-13,85
2026-02-14,50
2026-02-15,44
2026-02-16,69
2026-02-17,80
2026-02-18,86
2026-02-19,83
2026-02-20,88
2026-02-21,46
2026-02-22,49
2026-02-23,85
2026-02-24,91
2026-02-25,87
2026-02-26,84
2026-02-27,83
2026-02-28,53
2026-03-01,54
2026-03-02,89
2026-03-03,94
2026-03-04,90
2026-03-05,94
2026-03-06,90
2026-03-07,52
2026-03-08,50
2026-03-09,92
2026-03-10,94
2026-03-11,91
2026-03-12,92
2026-03-13,94
2026-03-14,53
2026-03-15,49
2026-03-16,87
2026-03-17,86
2026-03-18,81
2026-03-19,88
2026-03-20,78
2026-03-21,51
2026-03-22,50
2026-03-23,89
2026-03-24,88
2026-03-25,89
2026-03-26,86
2026-03-27,87
2026-03-28,48
2026-03-29,46
2026-03-30,82
2026-03-31,82
2026-04-01,82
2026-04-02,86
2026-04-03,67
2026-04-04,53
2026-04-05,44
2026-04-06,79
2026-04-07,87
2026-04-08,84
2026-04-09,81
2026-04-10,78
2026-04-11,46
2026-04-12,45
2026-04-13,84
2026-04-14,84
2026-04-15,81
2026-04-16,86
2026-04-17,80
2026-04-18,45
2026-04-19,44
2026-04-20,84
2026-04-21,88
2026-04-22,81
2026-04-23,76
2026-04-24,79
2026-04-25,45
2026-04-26,50
2026-04-27,90
2026-04-28,89
2026-04-29,83
2026-04-30,83
2026-05-01,77
2026-05-02,46
2026-05-03,42
2026-05-04,80
2026-05-05,84
2026-05-06,85
2026-05-07,85
2026-05-08,80
2026-05-09,46
2026-05-10,44
2026-05-11,84
2026-05-12,80
2026-05-13,81
2026-05-14,81
2026-05-15,77
2026-05-16,44
2026-05-17,45
2026-05-18,80
2026-05-19,87
2026-05-20,85
2026-05-21,82
2026-05-22,79
2026-05-23,46
2026-05-24,43
2026-05-25,45
2026-05-26,75
2026-05-27,77
2026-05-28,78
2026-05-29,71
2026-05-30,46
2026-05-31,42
