Time,msn
2023-04-26,82
2023-04-27,83
2023-04-28,75
2023-04-29,55
2023-04-30,61
2023-05-01,86
2023-05-02,82
2023-05-03,86
2023-05-04,80
2023-05-05,78
2023-05-06,58
2023-05-07,57
2023-05-08,84
2023-05-09,87
2023-05-10,80
2023-05-11,81
2023-05-12,82
2023-05-13,57
2023-05-14,52
2023-05-15,85
2023-05-16,84
2023-05-17,82
2023-05-18,85
2023-05-19,82
2023-05-20,59
2023-05-21,51
2023-05-22,81
2023-05-23,85
2023-05-24,88
2023-05-25,86
2023-05-26,75
2023-05-27,53
2023-05-28,54
2023-05-29,54
2023-05-30,84
2023-05-31,83
2023-06-01,81
2023-06-02,78
2023-06-03,53
2023-06-04,51
2023-06-05,83
2023-06-06,84
2023-06-07,82
2023-06-08,82
2023-06-09,81
2023-06-10,58
2023-06-11,54
2023-06-12,82
2023-06-13,87
2023-06-14,85
2023-06-15,86
2023-06-16,76
2023-06-17,52
2023-06-18,52
2023-06-19,77
2023-06-20,90
2023-06-21,90
2023-06-22,100
2023-06-23,88
2023-06-24,63
2023-06-25,64
2023-06-26,89
2023-06-27,89
2023-06-28,87
2023-06-29,83
2023-06-30,75
2023-07-01,53
2023-07-02,52
2023-07-03,67
2023-07-04,56
2023-07-05,83
2023-07-06,90
2023-07-07,76
2023-07-08,52
2023-07-09,44
2023-07-10,83
2023-07-11,78
2023-07-12,83
2023-07-13,82
2023-07-14,78
2023-07-15,49
2023-07-16,42
2023-07-17,84
2023-07-18,80
2023-07-19,85
2023-07-20,81
2023-07-21,76
2023-07-22,43
2023-07-23,46
2023-07-24,81
2023-07-25,83
2023-07-26,82
2023-07-27,81
2023-07-28,76
2023-07-29,49
2023-07-30,44
2023-07-31,83
2023-08-01,86
2023-08-02,81
2023-08-03,80
2023-08-04,79
2023-08-05,47
2023-08-06,48
2023-08-07,86
2023-08-08,82
2023-08-09,84
2023-08-10,82
2023-08-11,81
2023-08-12,45
2023-08-13,41
2023-08-14,81
2023-08-15,85
2023-08-16,84
2023-08-17,80
2023-08-18,74
2023-08-19,48
2023-08-20,46
2023-08-21,83
2023-08-22,84
2023-08-23,83
2023-08-24,81
2023-08-25,75
2023-08-26,49
2023-08-27,46
2023-08-28,82
2023-08-29,83
2023-08-30,84
2023-08-31,79
2023-09-01,69
2023-09-02,43
2023-09-03,47
2023-09-04,46
2023-09-05,80
2023-09-06,77
2023-09-07,74
2023-09-08,70
2023-09-09,45
2023-09-10,41
2023-09-11,80
2023-09-12,78
2023-09-13,76
2023-09-14,75
2023-09-15,65
2023-09-16,45
2023-09-17,43
2023-09-18,74
2023-09-19,73
2023-09-20,75
2023-09-21,77
2023-09-22,73
2023-09-23,44
2023-09-24,42
2023-09-25,75
2023-09-26,77
2023-09-27,76
2023-09-28,76
2023-09-29,76
2023-09-30,48
2023-10-01,41
2023-10-02,76
2023-10-03,80
2023-10-04,80
2023-10-05,77
2023-10-06,71
2023-10-07,49
2023-10-08,48
2023-10-09,81
2023-10-10,82
2023-10-11,81
2023-10-12,82
2023-10-13,76
2023-10-14,47
2023-10-15,47
2023-10-16,81
2023-10-17,77
2023-10-18,78
2023-10-19,77
2023-10-20,75
2023-10-21,47
2023-10-22,44
2023-10-23,77
2023-10-24,83
2023-10-25,79
2023-10-26,84
2023-10-27,78
2023-10-28,48
2023-10-29,52
2023-10-30,81
2023-10-31,79
2023-11-01,80
2023-11-02,79
2023-11-03,74
2023-11-04,45
2023-11-05,44
2023-11-06,72
2023-11-07,79
2023-11-08,79
2023-11-09,73
2023-11-10,66
2023-11-11,42
2023-11-12,42
2023-11-13,72
2023-11-14,73
2023-11-15,76
2023-11-16,72
2023-11-17,71
2023-11-18,41
2023-11-19,45
2023-11-20,71
2023-11-21,71
2023-11-22,69
2023-11-23,40
2023-11-24,47
2023-11-25,41
2023-11-26,42
2023-11-27,68
2023-11-28,73
2023-11-29,71
2023-11-30,70
2023-12-01,68
2023-12-02,47
2023-12-03,39
2023-12-04,72
2023-12-05,74
2023-12-06,73
2023-12-07,74
2023-12-08,68
2023-12-09,44
2023-12-10,41
2023-12-11,71
2023-12-12,70
2023-12-13,71
2023-12-14,74
2023-12-15,73
2023-12-16,45
2023-12-17,41
2023-12-18,71
2023-12-19,76
2023-12-20,80
2023-12-21,79
2023-12-22,67
2023-12-23,45
2023-12-24,40
2023-12-25,43
2023-12-26,70
2023-12-27,73
2023-12-28,74
2023-12-29,69
2023-12-30,44
2023-12-31,43
2024-01-01,44
2024-01-02,76
2024-01-03,75
2024-01-04,80
2024-01-05,71
2024-01-06,47
2024-01-07,42
2024-01-08,79
2024-01-09,76
2024-01-10,78
2024-01-11,75
2024-01-12,70
2024-01-13,45
2024-01-14,44
2024-01-15,66
2024-01-16,75
2024-01-17,77
2024-01-18,72
2024-01-19,74
2024-01-20,46
