Time,pizza near me
2022-08-29,46
2022-08-30,42
2022-08-31,42
2022-09-01,46
2022-09-02,63
2022-09-03,90
2022-09-04,94
2022-09-05,82
2022-09-06,42
2022-09-07,36
2022-09-08,38
2022-09-09,56
2022-09-10,82
2022-09-11,79
2022-09-12,40
2022-09-13,36
2022-09-14,38
2022-09-15,43
2022-09-16,60
2022-09-17,86
2022-09-18,76
2022-09-19,44
2022-09-20,36
2022-09-21,38
2022-09-22,42
2022-09-23,57
2022-09-24,85
2022-09-25,76
2022-09-26,39
2022-09-27,39
2022-09-28,41
2022-09-29,49
2022-09-30,65
2022-10-01,83
2022-10-02,76
2022-10-03,41
2022-10-04,37
2022-10-05,39
2022-10-06,41
2022-10-07,65
2022-10-08,86
2022-10-09,82
2022-10-10,49
2022-10-11,37
2022-10-12,37
2022-10-13,44
2022-10-14,60
2022-10-15,84
2022-10-16,77
2022-10-17,41
2022-10-18,35
2022-10-19,38
2022-10-20,43
2022-10-21,58
2022-10-22,88
2022-10-23,78
2022-10-24,39
2022-10-25,34
2022-10-26,37
2022-10-27,44
2022-10-28,60
2022-10-29,83
2022-10-30,79
2022-10-31,54
2022-11-01,44
2022-11-02,35
2022-11-03,38
2022-11-04,56
2022-11-05,81
2022-11-06,68
2022-11-07,37
2022-11-08,36
2022-11-09,33
2022-11-10,42
2022-11-11,60
2022-11-12,84
2022-11-13,73
2022-11-14,37
2022-11-15,35
2022-11-16,32
2022-11-17,38
2022-11-18,54
2022-11-19,78
2022-11-20,76
2022-11-21,44
2022-11-22,38
2022-11-23,57
2022-11-24,53
2022-11-25,54
2022-11-26,68
2022-11-27,70
2022-11-28,36
2022-11-29,32
2022-11-30,36
2022-12-01,38
2022-12-02,54
2022-12-03,76
2022-12-04,73
2022-12-05,36
2022-12-06,33
2022-12-07,34
2022-12-08,40
2022-12-09,51
2022-12-10,75
2022-12-11,73
2022-12-12,37
2022-12-13,33
2022-12-14,36
2022-12-15,40
2022-12-16,55
2022-12-17,81
2022-12-18,73
2022-12-19,47
2022-12-20,44
2022-12-21,46
2022-12-22,53
2022-12-23,67
2022-12-24,77
2022-12-25,93
2022-12-26,85
2022-12-27,64
2022-12-28,60
2022-12-29,65
2022-12-30,71
2022-12-31,89
2023-01-01,100
2023-01-02,67
2023-01-03,35
2023-01-04,36
2023-01-05,40
2023-01-06,52
2023-01-07,78
2023-01-08,69
2023-01-09,36
2023-01-10,36
2023-01-11,33
2023-01-12,37
2023-01-13,52
2023-01-14,80
2023-01-15,74
2023-01-16,51
2023-01-17,33
2023-01-18,30
2023-01-19,33
2023-01-20,49
2023-01-21,78
2023-01-22,71
2023-01-23,35
2023-01-24,36
2023-01-25,31
2023-01-26,35
2023-01-27,51
2023-01-28,77
2023-01-29,78
2023-01-30,35
2023-01-31,36
2023-02-01,38
2023-02-02,40
2023-02-03,55
2023-02-04,77
2023-02-05,70
2023-02-06,35
2023-02-07,35
2023-02-08,36
2023-02-09,49
2023-02-10,56
2023-02-11,82
2023-02-12,95
2023-02-13,36
2023-02-14,51
2023-02-15,43
2023-02-16,37
2023-02-17,57
2023-02-18,85
2023-02-19,77
2023-02-20,53
2023-02-21,34
2023-02-22,39
2023-02-23,42
2023-02-24,59
2023-02-25,86
2023-02-26,78
2023-02-27,39
2023-02-28,35
2023-03-01,37
2023-03-02,37
2023-03-03,56
2023-03-04,79
2023-03-05,76
2023-03-06,41
2023-03-07,35
2023-03-08,38
2023-03-09,37
2023-03-10,57
2023-03-11,80
2023-03-12,80
2023-03-13,43
2023-03-14,51
2023-03-15,41
2023-03-16,46
2023-03-17,60
2023-03-18,82
2023-03-19,73
2023-03-20,39
2023-03-21,39
2023-03-22,39
2023-03-23,44
2023-03-24,61
2023-03-25,81
2023-03-26,74
2023-03-27,40
2023-03-28,35
2023-03-29,38
2023-03-30,43
2023-03-31,56
2023-04-01,82
2023-04-02,78
2023-04-03,44
2023-04-04,42
2023-04-05,43
2023-04-06,48
2023-04-07,70
2023-04-08,76
2023-04-09,70
2023-04-10,43
2023-04-11,36
2023-04-12,42
2023-04-13,42
2023-04-14,58
2023-04-15,84
2023-04-16,76
2023-04-17,36
2023-04-18,34
2023-04-19,37
2023-04-20,39
2023-04-21,59
2023-04-22,82
2023-04-23,77
2023-04-24,39
2023-04-25,34
2023-04-26,36
2023-04-27,39
2023-04-28,56
2023-04-29,80
2023-04-30,71
2023-05-01,37
2023-05-02,34
2023-05-03,36
2023-05-04,39
2023-05-05,51
2023-05-06,77
2023-05-07,74
2023-05-08,39
2023-05-09,32
2023-05-10,36
2023-05-11,39
2023-05-12,53
2023-05-13,76
2023-05-14,74
2023-05-15,40
2023-05-16,36
2023-05-17,37
2023-05-18,40
2023-05-19,61
2023-05-20,81
2023-05-21,76
2023-05-22,39
2023-05-23,39
2023-05-24,39
2023-05-25,44
