Time,timer
2023-04-26,88
2023-04-27,81
2023-04-28,74
2023-04-29,41
2023-04-30,40
2023-05-01,84
2023-05-02,82
2023-05-03,81
2023-05-04,83
2023-05-05,69
2023-05-06,38
2023-05-07,39
2023-05-08,83
2023-05-09,78
2023-05-10,78
2023-05-11,79
2023-05-12,71
2023-05-13,37
2023-05-14,39
2023-05-15,81
2023-05-16,79
2023-05-17,77
2023-05-18,75
2023-05-19,68
2023-05-20,36
2023-05-21,37
2023-05-22,68
2023-05-23,71
2023-05-24,70
2023-05-25,63
2023-05-26,49
2023-05-27,39
2023-05-28,37
2023-05-29,39
2023-05-30,61
2023-05-31,60
2023-06-01,59
2023-06-02,54
2023-06-03,37
2023-06-04,39
2023-06-05,58
2023-06-06,57
2023-06-07,56
2023-06-08,58
2023-06-09,48
2023-06-10,38
2023-06-11,37
2023-06-12,52
2023-06-13,50
2023-06-14,50
2023-06-15,47
2023-06-16,38
2023-06-17,36
2023-06-18,36
2023-06-19,43
2023-06-20,48
2023-06-21,43
2023-06-22,50
2023-06-23,42
2023-06-24,36
2023-06-25,39
2023-06-26,45
2023-06-27,44
2023-06-28,44
2023-06-29,41
2023-06-30,36
2023-07-01,33
2023-07-02,36
2023-07-03,37
2023-07-04,39
2023-07-05,40
2023-07-06,40
2023-07-07,38
2023-07-08,33
2023-07-09,38
2023-07-10,36
2023-07-11,41
2023-07-12,40
2023-07-13,39
2023-07-14,37
2023-07-15,34
2023-07-16,36
2023-07-17,40
2023-07-18,40
2023-07-19,39
2023-07-20,37
2023-07-21,33
2023-07-22,32
2023-07-23,33
2023-07-24,40
2023-07-25,41
2023-07-26,44
2023-07-27,37
2023-07-28,39
2023-07-29,34
2023-07-30,36
2023-07-31,37
2023-08-01,40
2023-08-02,36
2023-08-03,40
2023-08-04,39
2023-08-05,34
2023-08-06,34
2023-08-07,41
2023-08-08,40
2023-08-09,44
2023-08-10,45
2023-08-11,44
2023-08-12,35
2023-08-13,35
2023-08-14,51
2023-08-15,55
2023-08-16,61
2023-08-17,61
2023-08-18,56
2023-08-19,35
2023-08-20,35
2023-08-21,64
2023-08-22,67
2023-08-23,71
2023-08-24,74
2023-08-25,64
2023-08-26,35
2023-08-27,37
2023-08-28,73
2023-08-29,80
2023-08-30,77
2023-08-31,82
2023-09-01,67
2023-09-02,32
2023-09-03,35
2023-09-04,36
2023-09-05,81
2023-09-06,87
2023-09-07,88
2023-09-08,77
2023-09-09,34
2023-09-10,36
2023-09-11,89
2023-09-12,92
2023-09-13,89
2023-09-14,90
2023-09-15,82
2023-09-16,37
2023-09-17,38
2023-09-18,89
2023-09-19,97
2023-09-20,91
2023-09-21,94
2023-09-22,83
2023-09-23,34
2023-09-24,39
2023-09-25,84
2023-09-26,94
2023-09-27,94
2023-09-28,93
2023-09-29,81
2023-09-30,36
2023-10-01,38
2023-10-02,90
2023-10-03,94
2023-10-04,97
2023-10-05,90
2023-10-06,78
2023-10-07,35
2023-10-08,37
2023-10-09,72
2023-10-10,87
2023-10-11,90
2023-10-12,88
2023-10-13,75
2023-10-14,36
2023-10-15,36
2023-10-16,86
2023-10-17,90
2023-10-18,92
2023-10-19,89
2023-10-20,80
2023-10-21,37
2023-10-22,39
2023-10-23,88
2023-10-24,93
2023-10-25,88
2023-10-26,91
2023-10-27,77
2023-10-28,39
2023-10-29,36
2023-10-30,88
2023-10-31,80
2023-11-01,87
2023-11-02,88
2023-11-03,80
2023-11-04,37
2023-11-05,38
2023-11-06,89
2023-11-07,87
2023-11-08,92
2023-11-09,86
2023-11-10,64
2023-11-11,39
2023-11-12,40
2023-11-13,89
2023-11-14,93
2023-11-15,98
2023-11-16,92
2023-11-17,84
2023-11-18,38
2023-11-19,38
2023-11-20,68
2023-11-21,65
2023-11-22,46
2023-11-23,46
2023-11-24,39
2023-11-25,41
2023-11-26,47
2023-11-27,90
2023-11-28,100
2023-11-29,99
2023-11-30,94
2023-12-01,87
2023-12-02,51
2023-12-03,48
2023-12-04,92
2023-12-05,99
2023-12-06,97
2023-12-07,94
2023-12-08,82
2023-12-09,45
2023-12-10,47
2023-12-11,89
2023-12-12,93
2023-12-13,88
2023-12-14,89
2023-12-15,78
2023-12-16,42
2023-12-17,41
2023-12-18,70
2023-12-19,70
2023-12-20,68
2023-12-21,56
2023-12-22,41
2023-12-23,36
2023-12-24,38
2023-12-25,48
2023-12-26,36
2023-12-27,37
2023-12-28,36
2023-12-29,35
2023-12-30,35
2023-12-31,37
2024-01-01,68
2024-01-02,50
2024-01-03,64
2024-01-04,70
2024-01-05,66
2024-01-06,35
2024-01-07,38
2024-01-08,78
2024-01-09,85
2024-01-10,88
2024-01-11,88
2024-01-12,77
2024-01-13,37
2024-01-14,37
2024-01-15,42
2024-01-16,70
2024-01-17,88
2024-01-18,90
2024-01-19,83
2024-01-20,38
