Time,dominos
2023-12-22,60
2023-12-23,71
2023-12-24,75
2023-12-25,83
2023-12-26,65
2023-12-27,56
2023-12-28,53
2023-12-29,63
2023-12-30,67
2023-12-31,78
2024-01-01,83
2024-01-02,45
2024-01-03,43
2024-01-04,41
2024-01-05,53
2024-01-06,63
2024-01-07,62
2024-01-08,39
2024-01-09,37
2024-01-10,34
2024-01-11,37
2024-01-12,51
2024-01-13,64
2024-01-14,66
2024-01-15,51
2024-01-16,38
2024-01-17,37
2024-01-18,38
2024-01-19,49
2024-01-20,74
2024-01-21,66
2024-01-22,41
2024-01-23,40
2024-01-24,45
2024-01-25,43
2024-01-26,55
2024-01-27,80
2024-01-28,81
2024-01-29,41
2024-01-30,39
2024-01-31,40
2024-02-01,42
2024-02-02,57
2024-02-03,77
2024-02-04,72
2024-02-05,40
2024-02-06,38
2024-02-07,39
2024-02-08,43
2024-02-09,60
2024-02-10,77
2024-02-11,100
2024-02-12,39
2024-02-13,38
2024-02-14,47
2024-02-15,43
2024-02-16,52
2024-02-17,67
2024-02-18,66
2024-02-19,47
2024-02-20,34
2024-02-21,37
2024-02-22,40
2024-02-23,54
2024-02-24,70
2024-02-25,70
2024-02-26,38
2024-02-27,38
2024-02-28,36
2024-02-29,38
2024-03-01,49
2024-03-02,67
2024-03-03,63
2024-03-04,35
2024-03-05,32
2024-03-06,32
2024-03-07,35
2024-03-08,48
2024-03-09,61
2024-03-10,60
2024-03-11,35
2024-03-12,32
2024-03-13,33
2024-03-14,46
2024-03-15,54
2024-03-16,75
2024-03-17,63
2024-03-18,43
2024-03-19,43
2024-03-20,45
2024-03-21,49
2024-03-22,63
2024-03-23,79
2024-03-24,68
2024-03-25,42
2024-03-26,38
2024-03-27,40
2024-03-28,44
2024-03-29,57
2024-03-30,68
2024-03-31,66
2024-04-01,43
2024-04-02,37
2024-04-03,37
2024-04-04,39
2024-04-05,53
2024-04-06,64
2024-04-07,60
2024-04-08,33
2024-04-09,32
2024-04-10,33
2024-04-11,36
2024-04-12,48
2024-04-13,60
2024-04-14,61
2024-04-15,34
2024-04-16,30
2024-04-17,33
2024-04-18,37
2024-04-19,47
2024-04-20,66
2024-04-21,65
2024-04-22,37
2024-04-23,39
2024-04-24,41
2024-04-25,47
2024-04-26,61
2024-04-27,76
2024-04-28,70
2024-04-29,42
2024-04-30,38
2024-05-01,39
2024-05-02,41
2024-05-03,53
2024-05-04,72
2024-05-05,65
2024-05-06,38
2024-05-07,34
2024-05-08,36
2024-05-09,39
2024-05-10,51
2024-05-11,67
2024-05-12,63
2024-05-13,35
2024-05-14,34
2024-05-15,35
2024-05-16,39
2024-05-17,52
2024-05-18,65
2024-05-19,61
2024-05-20,38
2024-05-21,35
2024-05-22,36
2024-05-23,41
2024-05-24,53
2024-05-25,64
2024-05-26,63
2024-05-27,63
2024-05-28,38
2024-05-29,38
2024-05-30,41
2024-05-31,52
2024-06-01,64
2024-06-02,64
2024-06-03,42
2024-06-04,43
2024-06-05,46
2024-06-06,52
2024-06-07,61
2024-06-08,73
2024-06-09,71
2024-06-10,44
2024-06-11,38
2024-06-12,40
2024-06-13,43
2024-06-14,54
2024-06-15,59
2024-06-16,59
2024-06-17,38
2024-06-18,39
2024-06-19,42
2024-06-20,42
2024-06-21,53
2024-06-22,64
2024-06-23,61
2024-06-24,41
2024-06-25,37
2024-06-26,38
2024-06-27,44
2024-06-28,54
2024-06-29,66
2024-06-30,65
2024-07-01,44
2024-07-02,41
2024-07-03,44
2024-07-04,65
2024-07-05,59
2024-07-06,60
2024-07-07,56
2024-07-08,38
2024-07-09,38
2024-07-10,39
2024-07-11,43
2024-07-12,52
2024-07-13,61
2024-07-14,58
2024-07-15,39
2024-07-16,34
2024-07-17,39
2024-07-18,40
2024-07-19,56
2024-07-20,62
2024-07-21,56
2024-07-22,38
2024-07-23,36
2024-07-24,37
2024-07-25,42
2024-07-26,51
2024-07-27,61
2024-07-28,58
2024-07-29,38
2024-07-30,35
2024-07-31,39
2024-08-01,42
2024-08-02,54
2024-08-03,64
2024-08-04,57
2024-08-05,37
2024-08-06,35
2024-08-07,38
2024-08-08,40
2024-08-09,49
2024-08-10,60
2024-08-11,58
2024-08-12,35
2024-08-13,36
2024-08-14,41
2024-08-15,44
2024-08-16,54
2024-08-17,70
2024-08-18,63
2024-08-19,37
2024-08-20,33
2024-08-21,33
2024-08-22,36
2024-08-23,47
2024-08-24,62
2024-08-25,56
2024-08-26,34
2024-08-27,32
2024-08-28,33
2024-08-29,39
2024-08-30,47
2024-08-31,62
2024-09-01,61
2024-09-02,54
2024-09-03,31
2024-09-04,29
2024-09-05,34
2024-09-06,47
2024-09-07,61
2024-09-08,57
2024-09-09,29
2024-09-10,28
2024-09-11,32
2024-09-12,35
2024-09-13,46
2024-09-14,63
2024-09-15,60
2024-09-16,30
