Time,dominos
2023-04-26,47
2023-04-27,50
2023-04-28,65
2023-04-29,89
2023-04-30,80
2023-05-01,49
2023-05-02,44
2023-05-03,43
2023-05-04,49
2023-05-05,60
2023-05-06,80
2023-05-07,79
2023-05-08,45
2023-05-09,41
2023-05-10,45
2023-05-11,45
2023-05-12,61
2023-05-13,79
2023-05-14,74
2023-05-15,46
2023-05-16,45
2023-05-17,45
2023-05-18,52
2023-05-19,66
2023-05-20,82
2023-05-21,83
2023-05-22,48
2023-05-23,45
2023-05-24,50
2023-05-25,55
2023-05-26,68
2023-05-27,84
2023-05-28,79
2023-05-29,71
2023-05-30,46
2023-05-31,50
2023-06-01,53
2023-06-02,67
2023-06-03,81
2023-06-04,78
2023-06-05,51
2023-06-06,51
2023-06-07,53
2023-06-08,61
2023-06-09,76
2023-06-10,94
2023-06-11,89
2023-06-12,53
2023-06-13,49
2023-06-14,50
2023-06-15,54
2023-06-16,68
2023-06-17,78
2023-06-18,79
2023-06-19,57
2023-06-20,47
2023-06-21,52
2023-06-22,52
2023-06-23,69
2023-06-24,82
2023-06-25,79
2023-06-26,55
2023-06-27,52
2023-06-28,49
2023-06-29,56
2023-06-30,69
2023-07-01,82
2023-07-02,83
2023-07-03,66
2023-07-04,80
2023-07-05,57
2023-07-06,52
2023-07-07,65
2023-07-08,78
2023-07-09,77
2023-07-10,52
2023-07-11,48
2023-07-12,52
2023-07-13,56
2023-07-14,70
2023-07-15,81
2023-07-16,80
2023-07-17,52
2023-07-18,45
2023-07-19,51
2023-07-20,53
2023-07-21,67
2023-07-22,79
2023-07-23,77
2023-07-24,51
2023-07-25,46
2023-07-26,50
2023-07-27,51
2023-07-28,66
2023-07-29,82
2023-07-30,79
2023-07-31,52
2023-08-01,47
2023-08-02,49
2023-08-03,56
2023-08-04,66
2023-08-05,78
2023-08-06,73
2023-08-07,49
2023-08-08,44
2023-08-09,45
2023-08-10,45
2023-08-11,60
2023-08-12,76
2023-08-13,73
2023-08-14,50
2023-08-15,51
2023-08-16,55
2023-08-17,59
2023-08-18,73
2023-08-19,95
2023-08-20,89
2023-08-21,53
2023-08-22,41
2023-08-23,47
2023-08-24,50
2023-08-25,66
2023-08-26,80
2023-08-27,76
2023-08-28,45
2023-08-29,44
2023-08-30,47
2023-08-31,50
2023-09-01,64
2023-09-02,82
2023-09-03,77
2023-09-04,73
2023-09-05,44
2023-09-06,37
2023-09-07,47
2023-09-08,58
2023-09-09,81
2023-09-10,79
2023-09-11,41
2023-09-12,37
2023-09-13,40
2023-09-14,45
2023-09-15,59
2023-09-16,82
2023-09-17,78
2023-09-18,41
2023-09-19,38
2023-09-20,40
2023-09-21,51
2023-09-22,63
2023-09-23,83
2023-09-24,83
2023-09-25,47
2023-09-26,41
2023-09-27,42
2023-09-28,48
2023-09-29,66
2023-09-30,84
2023-10-01,85
2023-10-02,45
2023-10-03,50
2023-10-04,54
2023-10-05,59
2023-10-06,80
2023-10-07,100
2023-10-08,99
2023-10-09,58
2023-10-10,49
2023-10-11,51
2023-10-12,51
2023-10-13,68
2023-10-14,89
2023-10-15,81
2023-10-16,45
2023-10-17,42
2023-10-18,46
2023-10-19,51
2023-10-20,66
2023-10-21,85
2023-10-22,82
2023-10-23,47
2023-10-24,45
2023-10-25,47
2023-10-26,59
2023-10-27,70
2023-10-28,95
2023-10-29,86
2023-10-30,50
2023-10-31,67
2023-11-01,56
2023-11-02,49
2023-11-03,64
2023-11-04,87
2023-11-05,76
2023-11-06,44
2023-11-07,44
2023-11-08,43
2023-11-09,52
2023-11-10,97
2023-11-11,88
2023-11-12,79
2023-11-13,46
2023-11-14,42
2023-11-15,45
2023-11-16,47
2023-11-17,65
2023-11-18,85
2023-11-19,84
2023-11-20,51
2023-11-21,51
2023-11-22,64
2023-11-23,68
2023-11-24,56
2023-11-25,74
2023-11-26,83
2023-11-27,48
2023-11-28,45
2023-11-29,50
2023-11-30,52
2023-12-01,66
2023-12-02,94
2023-12-03,81
2023-12-04,47
2023-12-05,44
2023-12-06,44
2023-12-07,50
2023-12-08,56
2023-12-09,85
2023-12-10,86
2023-12-11,47
2023-12-12,42
2023-12-13,44
2023-12-14,49
2023-12-15,65
2023-12-16,80
2023-12-17,86
2023-12-18,47
2023-12-19,50
2023-12-20,50
2023-12-21,63
2023-12-22,72
2023-12-23,85
2023-12-24,90
2023-12-25,99
2023-12-26,78
2023-12-27,67
2023-12-28,63
2023-12-29,75
2023-12-30,81
2023-12-31,94
2024-01-01,100
2024-01-02,54
2024-01-03,51
2024-01-04,50
2024-01-05,64
2024-01-06,75
2024-01-07,74
2024-01-08,47
2024-01-09,44
2024-01-10,40
2024-01-11,44
2024-01-12,61
2024-01-13,76
2024-01-14,79
2024-01-15,62
2024-01-16,46
2024-01-17,44
2024-01-18,46
2024-01-19,59
2024-01-20,89
