Time,priceline
2025-12-11,59
2025-12-12,65
2025-12-13,59
2025-12-14,59
2025-12-15,63
2025-12-16,62
2025-12-17,71
2025-12-18,64
2025-12-19,60
2025-12-20,63
2025-12-21,62
2025-12-22,63
2025-12-23,61
2025-12-24,58
2025-12-25,56
2025-12-26,76
2025-12-27,74
2025-12-28,75
2025-12-29,78
2025-12-30,75
2025-12-31,74
2026-01-01,64
2026-01-02,71
2026-01-03,71
2026-01-04,68
2026-01-05,67
2026-01-06,74
2026-01-07,74
2026-01-08,69
2026-01-09,71
2026-01-10,69
2026-01-11,72
2026-01-12,70
2026-01-13,74
2026-01-14,73
2026-01-15,67
2026-01-16,73
2026-01-17,69
2026-01-18,71
2026-01-19,69
2026-01-20,65
2026-01-21,68
2026-01-22,72
2026-01-23,64
2026-01-24,65
2026-01-25,61
2026-01-26,68
2026-01-27,68
2026-01-28,68
2026-01-29,66
2026-01-30,68
2026-01-31,63
2026-02-01,69
2026-02-02,65
2026-02-03,70
2026-02-04,68
2026-02-05,68
2026-02-06,69
2026-02-07,68
2026-02-08,59
2026-02-09,62
2026-02-10,72
2026-02-11,78
2026-02-12,79
2026-02-13,78
2026-02-14,80
2026-02-15,79
2026-02-16,77
2026-02-17,71
2026-02-18,77
2026-02-19,75
2026-02-20,79
2026-02-21,86
2026-02-22,81
2026-02-23,100
2026-02-24,86
2026-02-25,87
2026-02-26,86
2026-02-27,78
2026-02-28,77
2026-03-01,72
2026-03-02,75
2026-03-03,89
2026-03-04,83
2026-03-05,82
2026-03-06,86
2026-03-07,88
2026-03-08,85
2026-03-09,84
2026-03-10,87
2026-03-11,89
2026-03-12,84
2026-03-13,93
2026-03-14,83
2026-03-15,81
2026-03-16,81
2026-03-17,81
2026-03-18,81
2026-03-19,81
2026-03-20,73
2026-03-21,80
2026-03-22,75
2026-03-23,70
2026-03-24,74
2026-03-25,75
2026-03-26,69
2026-03-27,69
2026-03-28,70
2026-03-29,66
2026-03-30,70
2026-03-31,73
2026-04-01,69
2026-04-02,74
2026-04-03,76
2026-04-04,63
2026-04-05,60
2026-04-06,72
2026-04-07,74
2026-04-08,73
2026-04-09,73
2026-04-10,73
2026-04-11,72
2026-04-12,63
2026-04-13,68
2026-04-14,71
2026-04-15,71
2026-04-16,75
2026-04-17,72
2026-04-18,63
2026-04-19,72
2026-04-20,70
2026-04-21,74
2026-04-22,70
2026-04-23,73
2026-04-24,66
2026-04-25,61
2026-04-26,65
2026-04-27,70
2026-04-28,73
2026-04-29,73
2026-04-30,74
2026-05-01,72
2026-05-02,85
2026-05-03,76
2026-05-04,74
2026-05-05,71
2026-05-06,76
2026-05-07,74
2026-05-08,71
2026-05-09,65
2026-05-10,59
2026-05-11,70
2026-05-12,77
2026-05-13,74
2026-05-14,79
2026-05-15,75
2026-05-16,78
2026-05-17,75
2026-05-18,80
2026-05-19,86
2026-05-20,81
2026-05-21,92
2026-05-22,89
2026-05-23,85
2026-05-24,80
2026-05-25,81
2026-05-26,77
2026-05-27,77
2026-05-28,78
2026-05-29,81
2026-05-30,75
2026-05-31,73
