Time,priceline
2022-08-29,83
2022-08-30,83
2022-08-31,85
2022-09-01,86
2022-09-02,84
2022-09-03,78
2022-09-04,76
2022-09-05,78
2022-09-06,75
2022-09-07,78
2022-09-08,75
2022-09-09,77
2022-09-10,71
2022-09-11,68
2022-09-12,77
2022-09-13,78
2022-09-14,83
2022-09-15,83
2022-09-16,82
2022-09-17,79
2022-09-18,72
2022-09-19,75
2022-09-20,82
2022-09-21,84
2022-09-22,80
2022-09-23,81
2022-09-24,79
2022-09-25,72
2022-09-26,73
2022-09-27,77
2022-09-28,75
2022-09-29,71
2022-09-30,78
2022-10-01,77
2022-10-02,71
2022-10-03,76
2022-10-04,80
2022-10-05,85
2022-10-06,82
2022-10-07,84
2022-10-08,79
2022-10-09,72
2022-10-10,73
2022-10-11,74
2022-10-12,77
2022-10-13,75
2022-10-14,75
2022-10-15,73
2022-10-16,65
2022-10-17,71
2022-10-18,74
2022-10-19,75
2022-10-20,73
2022-10-21,74
2022-10-22,67
2022-10-23,64
2022-10-24,66
2022-10-25,67
2022-10-26,71
2022-10-27,69
2022-10-28,70
2022-10-29,66
2022-10-30,60
2022-10-31,61
2022-11-01,69
2022-11-02,70
2022-11-03,68
2022-11-04,74
2022-11-05,68
2022-11-06,64
2022-11-07,71
2022-11-08,64
2022-11-09,66
2022-11-10,69
2022-11-11,72
2022-11-12,65
2022-11-13,62
2022-11-14,66
2022-11-15,72
2022-11-16,70
2022-11-17,69
2022-11-18,74
2022-11-19,72
2022-11-20,66
2022-11-21,66
2022-11-22,65
2022-11-23,66
2022-11-24,52
2022-11-25,65
2022-11-26,59
2022-11-27,59
2022-11-28,68
2022-11-29,76
2022-11-30,67
2022-12-01,68
2022-12-02,64
2022-12-03,61
2022-12-04,63
2022-12-05,64
2022-12-06,66
2022-12-07,66
2022-12-08,65
2022-12-09,64
2022-12-10,63
2022-12-11,60
2022-12-12,64
2022-12-13,63
2022-12-14,62
2022-12-15,62
2022-12-16,68
2022-12-17,63
2022-12-18,58
2022-12-19,62
2022-12-20,66
2022-12-21,65
2022-12-22,68
2022-12-23,67
2022-12-24,61
2022-12-25,65
2022-12-26,86
2022-12-27,100
2022-12-28,91
2022-12-29,89
2022-12-30,78
2022-12-31,69
2023-01-01,61
2023-01-02,76
2023-01-03,73
2023-01-04,78
2023-01-05,79
2023-01-06,81
2023-01-07,72
2023-01-08,77
2023-01-09,76
2023-01-10,77
2023-01-11,82
2023-01-12,77
2023-01-13,76
2023-01-14,73
2023-01-15,74
2023-01-16,74
2023-01-17,74
2023-01-18,77
2023-01-19,79
2023-01-20,77
2023-01-21,70
2023-01-22,72
2023-01-23,73
2023-01-24,72
2023-01-25,78
2023-01-26,77
2023-01-27,76
2023-01-28,69
2023-01-29,64
2023-01-30,75
2023-01-31,77
2023-02-01,78
2023-02-02,79
2023-02-03,78
2023-02-04,76
2023-02-05,80
2023-02-06,72
2023-02-07,81
2023-02-08,80
2023-02-09,79
2023-02-10,77
2023-02-11,77
2023-02-12,79
2023-02-13,72
2023-02-14,81
2023-02-15,85
2023-02-16,88
2023-02-17,91
2023-02-18,93
2023-02-19,93
2023-02-20,87
2023-02-21,85
2023-02-22,89
2023-02-23,95
2023-02-24,91
2023-02-25,91
2023-02-26,91
2023-02-27,89
2023-02-28,85
2023-03-01,86
2023-03-02,85
2023-03-03,85
2023-03-04,89
2023-03-05,82
2023-03-06,82
2023-03-07,91
2023-03-08,89
2023-03-09,99
2023-03-10,86
2023-03-11,92
2023-03-12,87
2023-03-13,80
2023-03-14,90
2023-03-15,87
2023-03-16,90
2023-03-17,83
2023-03-18,81
2023-03-19,82
2023-03-20,79
2023-03-21,83
2023-03-22,83
2023-03-23,86
2023-03-24,81
2023-03-25,82
2023-03-26,81
2023-03-27,79
2023-03-28,80
2023-03-29,78
2023-03-30,82
2023-03-31,85
2023-04-01,83
2023-04-02,79
2023-04-03,77
2023-04-04,80
2023-04-05,83
2023-04-06,81
2023-04-07,81
2023-04-08,74
2023-04-09,70
2023-04-10,79
2023-04-11,83
2023-04-12,80
2023-04-13,84
2023-04-14,85
2023-04-15,77
2023-04-16,78
2023-04-17,74
2023-04-18,79
2023-04-19,82
2023-04-20,78
2023-04-21,83
2023-04-22,75
2023-04-23,75
2023-04-24,74
2023-04-25,79
2023-04-26,79
2023-04-27,80
2023-04-28,77
2023-04-29,75
2023-04-30,76
2023-05-01,78
2023-05-02,81
2023-05-03,77
2023-05-04,77
2023-05-05,73
2023-05-06,77
2023-05-07,75
2023-05-08,77
2023-05-09,82
2023-05-10,81
2023-05-11,80
2023-05-12,85
2023-05-13,78
2023-05-14,71
2023-05-15,80
2023-05-16,87
2023-05-17,85
2023-05-18,88
2023-05-19,87
2023-05-20,84
2023-05-21,82
2023-05-22,83
2023-05-23,87
2023-05-24,88
2023-05-25,90
